train/global_step,train/loss,train/learning_rate,train/mean_token_accuracy,_timestamp,train/epoch,train/grad_norm,_step,_runtime,train/num_tokens
48,0.9463087320327759,0.0001,0.7660757899284363,1766073537.6397235,0.10289389067524116,0.025671731680631638,47,559.149775926,7470762.0
49,0.8600535988807678,0.0001,0.7852567657828331,1766073549.9244132,0.10503751339764202,0.028996866196393967,48,571.43446103,7629052.0
50,0.8417919278144836,0.0001,0.7882579118013382,1766073560.366403,0.10718113612004287,0.026386605575680733,49,581.876475949,7779609.0
51,0.8688679933547974,0.0001,0.7831907495856285,1766073571.1853373,0.10932475884244373,0.025732094421982765,50,592.695391941,7927458.0
52,0.851184606552124,0.0001,0.7871975675225258,1766073582.06203,0.11146838156484459,0.027245067059993744,51,603.572111029,8078023.0
53,0.8625346422195435,0.0001,0.7841768115758896,1766073593.3093162,0.11361200428724544,0.029345903545618057,52,614.819383651,8230483.0
54,0.8314123153686523,0.0001,0.7915811538696289,1766073604.7696688,0.1157556270096463,0.027833551168441772,53,626.279743669,8375984.0
55,0.9249966740608215,0.0001,0.7697277739644051,1766073617.2743332,0.11789924973204716,0.022657228633761406,54,638.784399163,8547262.0
56,0.8976172208786011,0.0001,0.7760874032974243,1766073629.6958282,0.12004287245444802,0.02519238367676735,55,651.20587637,8704936.0
57,0.8604726791381836,0.0001,0.784968189895153,1766073641.3605025,0.12218649517684887,0.02746136300265789,56,662.870570285,8867795.0
58,0.8657652139663696,0.0001,0.7826284840703011,1766073652.1837738,0.12433011789924973,0.025656064972281456,57,673.693820255,9019339.0
59,0.8731433153152466,0.0001,0.7814975827932358,1766073664.9539099,0.1264737406216506,0.02392713911831379,58,686.463973569,9189045.0
60,0.8600471019744873,0.0001,0.7818767949938774,1766073676.4491353,0.12861736334405144,0.021729927510023117,59,697.959197488,9353955.0
61,0.8186925649642944,0.0001,0.7968459352850914,1766073689.0366096,0.1307609860664523,0.023263879120349884,60,710.546747846,9504744.0
62,0.9077603816986084,0.0001,0.7727581188082695,1766073701.6616454,0.13290460878885316,0.02243831567466259,61,723.171723588,9662901.0
63,0.7992649674415588,0.0001,0.7979231625795364,1766073711.9335554,0.13504823151125403,0.02240164205431938,62,733.443640592,9809122.0
64,0.8492841720581055,0.0001,0.7870652377605438,1766073723.9391239,0.13719185423365488,0.02565016597509384,63,745.449196431,9968473.0
65,0.8783121109008789,0.0001,0.7819159626960754,1766073735.3002727,0.13933547695605572,0.022891975939273834,64,756.8104317,10119334.0
66,0.8352628946304321,0.0001,0.7902906611561775,1766073744.6229603,0.1414790996784566,0.024486659094691277,65,766.133040386,10259437.0
67,0.8843588829040527,0.0001,0.7802578955888748,1766073757.4036431,0.14362272240085744,0.02575829066336155,66,778.913810713,10416011.0
68,0.8725720047950745,0.0001,0.7821425274014473,1766073767.3818023,0.1457663451232583,0.0214250385761261,67,788.891975585,10566185.0
69,0.8455707430839539,0.0001,0.7887738943099976,1766073778.1149845,0.14790996784565916,0.02234746515750885,68,799.625068993,10715715.0
70,0.862535834312439,0.0001,0.782525934278965,1766073791.3722875,0.15005359056806003,0.020927278324961662,69,812.882376535,10880059.0
71,0.8439146876335144,0.0001,0.7861641570925713,1766073801.5484686,0.15219721329046088,0.022256357595324516,70,823.058617455,11036249.0
72,0.8586297035217285,0.0001,0.7838683724403381,1766073811.6816716,0.15434083601286175,0.023279357701539993,71,833.191841144,11186751.0
73,0.8872108459472656,0.0001,0.7770103961229324,1766073824.6886854,0.1564844587352626,0.021070372313261032,72,846.198850433,11356082.0
74,0.8710449934005737,0.0001,0.7816877514123917,1766073836.4579136,0.15862808145766344,0.024941157549619675,73,857.967989839,11514483.0
75,0.8569638729095459,0.0001,0.7826619446277618,1766073846.945145,0.1607717041800643,0.022634675726294518,74,868.455214067,11663606.0
76,0.8563591241836548,0.0001,0.7850621566176414,1766073857.467637,0.16291532690246516,0.025116518139839172,75,878.977694242,11816781.0
77,0.8715873956680298,0.0001,0.7813142165541649,1766073868.9356222,0.16505894962486603,0.02091013267636299,76,890.445661049,11978438.0
78,0.8400212526321411,0.0001,0.7876461297273636,1766073880.8647451,0.16720257234726688,0.021713998168706894,77,902.37481544,12137976.0
79,0.8688712120056152,0.0001,0.7843149453401566,1766073893.4112408,0.16934619506966775,0.024203535169363022,78,914.921280535,12295505.0
80,0.8785252571105957,0.0001,0.7795749455690384,1766073904.9815047,0.1714898177920686,0.024334732443094254,79,926.491581163,12452019.0
81,0.8907576203346252,0.0001,0.7765249386429787,1766073917.7561276,0.17363344051446947,0.024254746735095978,80,939.266202774,12611435.0
82,0.8151209354400635,0.0001,0.7946681454777718,1766073930.131243,0.1757770632368703,0.02223563753068447,81,951.641412511,12770621.0
83,0.8519635200500488,0.0001,0.7858217880129814,1766073940.4400837,0.17792068595927116,0.024261098355054855,82,961.950144476,12917873.0
84,0.8392924070358276,0.0001,0.7894602790474892,1766073949.596646,0.18006430868167203,0.027564359828829765,83,971.106724767,13056173.0
85,0.8900696635246277,0.0001,0.7742092832922935,1766073960.655484,0.18220793140407288,0.023476045578718185,84,982.165713883,13211326.0
86,0.8781347870826721,0.0001,0.7809708639979362,1766073971.1393523,0.18435155412647375,0.02315196767449379,85,992.649528719,13369675.0
87,0.8343807458877563,0.0001,0.7890564724802971,1766073981.2856715,0.1864951768488746,0.023742612451314926,86,1002.795764403,13509971.0
88,0.8634748458862305,0.0001,0.7847794741392136,1766073993.836926,0.18863879957127547,0.02344006858766079,87,1015.347078065,13673080.0
89,0.9071623086929321,0.0001,0.7703462243080139,1766074006.4586167,0.1907824222936763,0.02956267073750496,88,1027.968699117,13838935.0
90,0.8823591470718384,0.0001,0.7762426063418388,1766074018.9463577,0.19292604501607716,0.023862134665250778,89,1040.456424268,14002150.0
91,0.8569386601448059,0.0001,0.7864426895976067,1766074031.0828962,0.19506966773847803,0.027681490406394005,90,1052.592941451,14156247.0
92,0.8575734496116638,0.0001,0.7832027077674866,1766074043.9693205,0.19721329046087888,0.024301087483763695,91,1065.479883171,14323035.0
93,0.9002997875213623,0.0001,0.7764796167612076,1766074057.282059,0.19935691318327975,0.024644926190376282,92,1078.792137911,14490759.0
94,0.858127236366272,0.0001,0.7841678783297539,1766074068.766447,0.2015005359056806,0.02716212347149849,93,1090.276478674,14642384.0
95,0.8488943576812744,0.0001,0.7861819267272949,1766074079.2308412,0.20364415862808147,0.026553720235824585,94,1100.740882423,14786158.0
96,0.8340990543365479,0.0001,0.788007341325283,1766074089.6394682,0.2057877813504823,0.02419041097164154,95,1111.149513496,14929253.0
97,0.7972051501274109,0.0001,0.7959162145853043,1766074101.1340804,0.20793140407288319,0.024439891800284386,96,1122.644134412,15078062.0
98,0.8793738484382629,0.0001,0.7779625132679939,1766074112.3554575,0.21007502679528403,0.02598211169242859,97,1133.865523237,15227850.0
99,0.8530346155166626,0.0001,0.7852349951863289,1766074124.952879,0.21221864951768488,0.024689001962542534,98,1146.462933903,15385692.0
100,0.8162294626235962,0.0001,0.7956328392028809,1766074137.9349055,0.21436227224008575,0.030053481459617615,99,1159.44495767,15540223.0
101,0.8099318742752075,0.0001,0.7955881580710411,1766074164.5503352,0.2165058949624866,0.02873307652771473,100,1186.060420838,15695591.0
102,0.849763810634613,0.0001,0.7887816876173019,1766074176.848446,0.21864951768488747,0.026487594470381737,101,1198.358538882,15855000.0
103,0.8674687147140503,0.0001,0.7797826677560806,1766074188.086553,0.2207931404072883,0.024017103016376495,102,1209.596641821,16010570.0
104,0.8452026844024658,0.0001,0.7845433875918388,1766074200.3858385,0.22293676312968919,0.02604616992175579,103,1221.895898231,16175156.0
105,0.8635532855987549,0.0001,0.7818059772253036,1766074212.8354645,0.22508038585209003,0.0302739180624485,104,1234.345527019,16345184.0
106,0.8587995767593384,0.0001,0.7853055223822594,1766074224.5868309,0.22722400857449088,0.029699282720685005,105,1246.097106782,16496673.0
107,0.8674440383911133,0.0001,0.7844226732850075,1766074235.7269049,0.22936763129689175,0.03030303865671158,106,1257.236978536,16650964.0
108,0.876213788986206,0.0001,0.7805163860321045,1766074246.7396264,0.2315112540192926,0.025100046768784523,107,1268.249868076,16806131.0
109,0.8818846940994263,0.0001,0.7810003757476807,1766074259.2779686,0.23365487674169347,0.025490177795290947,108,1280.788015444,16971757.0
110,0.8326690196990967,0.0001,0.7905155494809151,1766074271.422891,0.2357984994640943,0.024683818221092224,109,1292.93295699,17125261.0
111,0.8248327970504761,0.0001,0.7924091517925262,1766074283.1937487,0.2379421221864952,0.030513785779476166,110,1304.703918726,17285808.0
112,0.8256189227104187,0.0001,0.7920153215527534,1766074294.8278723,0.24008574490889603,0.025588402524590492,111,1316.337935351,17436207.0
113,0.8547671437263489,0.0001,0.7819871306419373,1766074307.5095496,0.2422293676312969,0.035891421139240265,112,1329.019643948,17609651.0
114,0.8517676591873169,0.0001,0.7853001281619072,1766074319.9143827,0.24437299035369775,0.026615764945745468,113,1341.424439846,17764531.0
115,0.8042459487915039,0.0001,0.7988551408052444,1766074331.9958344,0.2465166130760986,0.02973206155002117,114,1353.505899735,17923936.0
116,0.8209573030471802,0.0001,0.7915533035993576,1766074344.2854252,0.24866023579849947,0.035300299525260925,115,1365.795469091,18080869.0
117,0.8628168106079102,0.0001,0.782313883304596,1766074355.8957047,0.2508038585209003,0.023654412478208542,116,1377.40577561,18244414.0
118,0.8660286068916321,0.0001,0.7807935178279877,1766074369.8570793,0.2529474812433012,0.03185030072927475,117,1391.36714654,18401734.0
119,0.8231306076049805,0.0001,0.7913631424307823,1766074381.0369937,0.25509110396570206,0.03557518497109413,118,1402.547142788,18555213.0
120,0.9206407070159912,0.0001,0.7678903415799141,1766074396.7246041,0.2572347266881029,0.0401872955262661,119,1418.234752287,18729596.0
121,0.8332957029342651,0.0001,0.7891824468970299,1766074406.611154,0.25937834941050375,0.05809126794338226,120,1428.121332842,18874599.0
122,0.856214702129364,0.0001,0.7807686626911163,1766074419.4134643,0.2615219721329046,0.054457228630781174,121,1440.923618126,19043580.0
123,0.8465309143066406,0.0001,0.7875324413180351,1766074430.2819648,0.26366559485530544,0.03929640352725983,122,1451.792045587,19188254.0
124,0.8127310872077942,0.0001,0.7939032018184662,1766074441.1597743,0.2658092175777063,0.0286274291574955,123,1462.669854475,19336517.0
125,0.8260303139686584,0.0001,0.7913045138120651,1766074452.7949495,0.2679528403001072,0.056146152317523956,124,1474.30503338,19494094.0
126,0.8476359248161316,0.0001,0.7862084954977036,1766074463.5574117,0.27009646302250806,0.025215690955519676,125,1485.067544848,19648425.0
127,0.8515087366104126,0.0001,0.7844419404864311,1766074475.007615,0.2722400857449089,0.08468231558799744,126,1496.517703389,19798344.0
128,0.8370729684829712,0.0001,0.7881613150238991,1766074486.1824791,0.27438370846730975,0.03454970195889473,127,1507.692671463,19955841.0
129,0.8287844657897949,0.0001,0.7919243797659874,1766074496.690742,0.2765273311897106,0.05796103551983833,128,1518.200819319,20107598.0
130,0.8276593685150146,0.0001,0.7917857393622398,1766074507.1657152,0.27867095391211144,0.042359694838523865,129,1528.67579905,20258362.0
131,0.8778395652770996,0.0001,0.7769167870283127,1766074519.0679636,0.2808145766345123,0.03388965502381325,130,1540.578120489,20412165.0
132,0.8066996335983276,0.0001,0.79627975076437,1766074529.0977042,0.2829581993569132,0.02680056355893612,131,1550.60778241,20561798.0
133,0.8565386533737183,0.0001,0.7820200398564339,1766074540.8421001,0.28510182207931406,0.05094175785779953,132,1562.352241371,20720111.0
134,0.8228704929351807,0.0001,0.7916398420929909,1766074552.3587599,0.2872454448017149,0.03018350712954998,133,1573.868814887,20876095.0
135,0.8418980836868286,0.0001,0.7874749228358269,1766074564.090275,0.28938906752411575,0.05154808610677719,134,1585.600362758,21031975.0
136,0.8093176484107971,0.0001,0.792759045958519,1766074575.932738,0.2915326902465166,0.02724696323275566,135,1597.442807927,21180614.0
137,0.9013933539390564,0.0001,0.7725104913115501,1766074590.7469099,0.2936763129689175,0.026500772684812546,136,1612.25698392,21349138.0
138,0.8833839297294617,0.0001,0.775017224252224,1766074602.7606146,0.2958199356913183,0.05670603737235069,137,1624.270689691,21511590.0
139,0.844799280166626,0.0001,0.7865071222186089,1766074613.8318512,0.2979635584137192,0.027915000915527344,138,1635.341910838,21656819.0
140,0.8674179315567017,0.0001,0.7799474373459816,1766074624.9997897,0.30010718113612006,0.06827978789806366,139,1646.509838014,21811238.0
141,0.8968300819396973,0.0001,0.7729823589324951,1766074637.2440138,0.3022508038585209,0.03649330884218216,140,1658.75409378,21980388.0
142,0.8898125886917114,0.0001,0.7745643109083176,1766074651.8056376,0.30439442658092175,0.07877150923013687,141,1673.315692512,22142594.0
143,0.8800204396247864,0.0001,0.779903769493103,1766074663.332212,0.3065380493033226,0.02631922997534275,142,1684.842301305,22299845.0
144,0.8357602953910828,0.0001,0.7903815507888794,1766074676.0737278,0.3086816720257235,0.03883146867156029,143,1697.58380398,22465527.0
145,0.8120918869972229,0.0001,0.7964309602975845,1766074687.5740392,0.3108252947481243,0.028875460848212242,144,1709.08411303,22618289.0
146,0.8288597464561462,0.0001,0.7929751724004745,1766074698.6155581,0.3129689174705252,0.026951679959893227,145,1720.125670925,22770622.0
147,0.800910234451294,0.0001,0.7959818169474602,1766074709.0090537,0.31511254019292606,0.02860953100025654,146,1730.519105007,22922597.0
148,0.8307856321334839,0.0001,0.7890469878911972,1766074720.9632182,0.3172561629153269,0.028212953358888626,147,1742.473343408,23075685.0
149,0.8340685963630676,0.0001,0.789554551243782,1766074732.9155498,0.31939978563772775,0.026826966553926468,148,1754.425623849,23239973.0
150,0.8737919926643372,0.0001,0.7802943885326385,1766074747.9151015,0.3215434083601286,0.028238952159881592,149,1769.425191309,23407446.0
151,0.7990443706512451,0.0001,0.7985930666327477,1766074758.766103,0.3236870310825295,0.0373959057033062,150,1780.276249789,23555395.0
152,0.8437209725379944,0.0001,0.7890699654817581,1766074770.7584531,0.3258306538049303,0.032774195075035095,151,1792.268515139,23712167.0
153,0.8590912222862244,0.0001,0.7820768654346466,1766074782.384973,0.3279742765273312,0.02963295765221119,152,1803.895058372,23869562.0
154,0.8556556701660156,0.0001,0.7828667834401131,1766074794.696797,0.33011789924973206,0.0276348777115345,153,1816.206872152,24027568.0
155,0.8655200004577637,0.0001,0.7840320393443108,1766074806.7744179,0.3322615219721329,0.0368337482213974,154,1828.284495604,24183451.0
156,0.8373692035675049,0.0001,0.7867798060178757,1766074819.5171008,0.33440514469453375,0.02916043810546398,155,1841.027165196,24342400.0
157,0.869581937789917,0.0001,0.7819141522049904,1766074832.6685176,0.3365487674169346,0.042284753173589706,156,1854.178583694,24500736.0
158,0.82497239112854,0.0001,0.7907348945736885,1766074845.951296,0.3386923901393355,0.03373423218727112,157,1867.461369992,24652820.0
159,0.8378673195838928,0.0001,0.7868185862898827,1766074857.591537,0.3408360128617363,0.05476737394928932,158,1879.101622245,24810632.0
160,0.8262377381324768,0.0001,0.7892042770981789,1766074869.8770015,0.3429796355841372,0.03265494853258133,159,1891.387083398,24968589.0
161,0.8643088340759277,0.0001,0.7811011597514153,1766074882.4730754,0.34512325830653806,0.04460256174206734,160,1903.983146797,25125017.0
162,0.8016393184661865,0.0001,0.7956175059080124,1766074894.7650871,0.34726688102893893,0.034748759120702744,161,1916.275180407,25277188.0
163,0.7889084815979004,0.0001,0.7991884872317314,1766074905.6137753,0.34941050375133975,0.02719951793551445,162,1927.123870821,25430057.0
164,0.7986727952957153,0.0001,0.7992459759116173,1766074917.9848106,0.3515541264737406,0.06966398656368256,163,1939.494956347,25583830.0
165,0.8507402539253235,0.0001,0.7851137444376945,1766074929.5221,0.3536977491961415,0.03880978748202324,164,1951.032179978,25742285.0
166,0.8297438621520996,0.0001,0.7889328598976135,1766074942.7584426,0.3558413719185423,0.027421725913882256,165,1964.268506791,25907065.0
167,0.8152159452438354,0.0001,0.7923117578029633,1766074952.4783428,0.3579849946409432,0.06367866694927216,166,1973.988525172,26051750.0
168,0.8449947834014893,0.0001,0.7882241159677505,1766074963.8553624,0.36012861736334406,0.05789754539728165,167,1985.365430229,26204362.0
169,0.8647450804710388,0.0001,0.7819884270429611,1766074976.7463682,0.36227224008574493,0.03480105474591255,168,1998.256444988,26364857.0
170,0.8269340395927429,0.0001,0.7906065061688423,1766074986.980862,0.36441586280814575,0.029419314116239548,169,2008.490943971,26513585.0
171,0.8586777448654175,0.0001,0.7830303907394409,1766074999.902023,0.3665594855305466,0.04502887278795242,170,2021.412184683,26680409.0
172,0.7989679574966431,0.0001,0.7994343265891075,1766075009.7152126,0.3687031082529475,0.03702333942055702,171,2031.225364091,26817383.0
173,0.8467960357666016,0.0001,0.7864445298910141,1766075020.6701164,0.3708467309753483,0.04134426638484001,172,2042.180207002,26962206.0
174,0.8216251134872437,0.0001,0.7923491224646568,1766075033.3580933,0.3729903536977492,0.033079132437705994,173,2054.868168758,27123276.0
175,0.8551024198532104,0.0001,0.7838826850056648,1766075045.7628505,0.37513397642015006,0.056372400373220444,174,2067.272939026,27290681.0
176,0.8570756316184998,0.0001,0.782319001853466,1766075057.3047192,0.37727759914255093,0.05052460730075836,175,2078.814943491,27449673.0
177,0.8259525895118713,0.0001,0.7904148548841476,1766075068.2349968,0.37942122186495175,0.029815832152962685,176,2089.745083361,27601441.0
178,0.8391062021255493,0.0001,0.7895533069968224,1766075080.8038845,0.3815648445873526,0.07107506692409515,177,2102.313956787,27748300.0
179,0.796002984046936,0.0001,0.8013548105955124,1766075092.0819523,0.3837084673097535,0.04689590260386467,178,2113.592033155,27900973.0
180,0.8394216299057007,0.0001,0.7875772714614868,1766075104.2209659,0.3858520900321543,0.028595447540283203,179,2125.731053991,28057386.0
181,0.8449685573577881,0.0001,0.7863622754812241,1766075116.8093634,0.3879957127545552,0.029485637322068214,180,2138.319447963,28218433.0
182,0.8331481218338013,0.0001,0.7900892421603203,1766075129.4257371,0.39013933547695606,0.028810298070311546,181,2150.935786615,28378531.0
183,0.7714097499847412,0.0001,0.8054239526391029,1766075138.8883548,0.39228295819935693,0.03632663935422897,182,2160.398399588,28517567.0
184,0.7988739013671875,0.0001,0.7959298565983772,1766075150.5829592,0.39442658092175775,0.02868097461760044,183,2172.093036646,28678245.0
185,0.8511844873428345,0.0001,0.7863110229372978,1766075163.7929654,0.3965702036441586,0.04378953576087952,184,2185.303112449,28847748.0
186,0.8325103521347046,0.0001,0.7916546016931534,1766075174.155407,0.3987138263665595,0.028450602665543556,185,2195.665483114,29003477.0
187,0.8304250240325928,0.0001,0.7899063974618912,1766075187.514363,0.4008574490889603,0.031153354793787003,186,2209.024457897,29163981.0
188,0.8217097520828247,0.0001,0.7912788987159729,1766075198.9514077,0.4030010718113612,0.07625830918550491,187,2220.461444951,29313769.0
189,0.8156536817550659,0.0001,0.7917246744036674,1766075211.209068,0.40514469453376206,0.03875147923827171,188,2232.719119612,29474111.0
190,0.8690337538719177,0.0001,0.781498372554779,1766075223.698705,0.40728831725616294,0.030298791825771332,189,2245.208756913,29641339.0
191,0.8031405806541443,0.0001,0.7968291863799095,1766075235.681046,0.40943193997856375,0.030003992840647697,190,2257.191103193,29795124.0
192,0.845181405544281,0.0001,0.7866913750767708,1766075247.4975271,0.4115755627009646,0.033567726612091064,191,2269.007637589,29956920.0
193,0.8560464382171631,0.0001,0.7814653217792511,1766075259.6428254,0.4137191854233655,0.03526116907596588,192,2281.152901211,30113790.0
194,0.822522759437561,0.0001,0.790443666279316,1766075272.2475743,0.41586280814576637,0.028933806344866753,193,2293.757624048,30267060.0
195,0.8382336497306824,0.0001,0.786841869354248,1766075283.335208,0.4180064308681672,0.032175131142139435,194,2304.845268381,30420733.0
196,0.841351330280304,0.0001,0.7864301353693008,1766075295.8344822,0.42015005359056806,0.029826518148183823,195,2317.344571626,30582338.0
197,0.801446795463562,0.0001,0.7994689121842384,1766075305.80315,0.42229367631296894,0.032009195536375046,196,2327.313245602,30735043.0
198,0.8342083692550659,0.0001,0.7888781726360321,1766075316.3755283,0.42443729903536975,0.03460335731506348,197,2337.885596008,30885025.0
199,0.8277102708816528,0.0001,0.7894391566514969,1766075327.0152383,0.4265809217577706,0.03693365678191185,198,2348.52532376,31036663.0
200,0.7880783677101135,0.0001,0.8011272102594376,1766075337.352668,0.4287245444801715,0.07561653107404709,199,2358.862745273,31184340.0
201,0.8380270600318909,0.0001,0.7870051115751266,1766075355.4728036,0.43086816720257237,0.046688612550497055,200,2376.982893712,31345142.0
202,0.8540197610855103,0.0001,0.7826766669750214,1766075365.9934726,0.4330117899249732,0.04951699078083038,201,2387.503553051,31495847.0
203,0.8249279260635376,0.0001,0.7904635444283485,1766075378.174419,0.43515541264737406,0.044388316571712494,202,2399.68448707,31654749.0
204,0.833840012550354,0.0001,0.7889323905110359,1766075387.8071566,0.43729903536977494,0.042225275188684464,203,2409.317236936,31808152.0
205,0.8501352071762085,0.0001,0.7840033397078514,1766075401.2482998,0.43944265809217575,0.03417948633432388,204,2422.75836414,31977458.0
206,0.8213295936584473,0.0001,0.7904345318675041,1766075411.657027,0.4415862808145766,0.0326821468770504,205,2433.167090192,32129990.0
207,0.8712112903594971,0.0001,0.7806497812271118,1766075426.8993902,0.4437299035369775,0.04612251743674278,206,2448.409446002,32295318.0
208,0.8550831079483032,0.0001,0.7851168140769005,1766075438.9888775,0.44587352625937837,0.034544602036476135,207,2460.499104993,32458576.0
