train/epoch,train/num_tokens,train/global_step,train/learning_rate,_timestamp,train/mean_token_accuracy,_step,_runtime,train/grad_norm,train/loss
0.0021413276231263384,136605.0,1,0.0001,1766073141.3293467,0.66801518201828,0,28.372333545,0.35783424973487854,1.6704316139221191
0.004282655246252677,292128.0,2,0.0001,1766073160.2069435,0.6655402779579163,1,47.24973869,0.4555600583553314,1.6197398900985718
0.006423982869379015,444535.0,3,0.0001,1766073174.9706318,0.6866867542266846,2,62.013386072,0.41090428829193115,1.4777553081512451
0.008565310492505354,592263.0,4,0.0001,1766073188.9357753,0.6851485371589661,3,75.978530741,0.31969189643859863,1.4290425777435303
0.010706638115631691,737019.0,5,0.0001,1766073205.4953113,0.7014647722244263,4,92.538092717,0.2253730148077011,1.3289705514907837
0.01284796573875803,896813.0,6,0.0001,1766073222.858356,0.7150419354438782,5,109.901150212,0.16089823842048645,1.2353923320770264
0.014989293361884369,1062679.0,7,0.0001,1766073240.6692827,0.7148443460464478,6,127.712071911,0.17248214781284332,1.2289376258850098
0.017130620985010708,1212566.0,8,0.0001,1766073259.456927,0.7251082062721252,7,146.49968386,0.22390717267990112,1.1820909976959229
0.019271948608137045,1373797.0,9,0.0001,1766073278.3941712,0.7426446676254272,8,165.436911921,0.281857430934906,1.0604796409606934
0.021413276231263382,1516877.0,10,0.0001,1766073296.8939877,0.7349444627761841,9,183.93676761,0.8751057386398315,1.1122808456420898
0.023554603854389723,1663977.0,11,0.0001,1766073315.3557277,0.765062153339386,10,202.398473951,0.2976953983306885,0.9889649152755737
0.02569593147751606,1815907.0,12,0.0001,1766073331.29291,0.7854384779930115,11,218.335690382,0.2313932180404663,0.8982445001602173
0.027837259100642397,1971911.0,13,0.0001,1766073350.4406762,0.7875902056694031,12,237.48342196,0.16774313151836395,0.8699354529380798
0.029978586723768737,2135596.0,14,0.0001,1766073367.8672326,0.7804494500160217,13,254.909994369,0.13198864459991455,0.8888189792633057
0.032119914346895075,2285621.0,15,0.0001,1766073386.623721,0.7904461026191711,14,273.66649625,0.1174837127327919,0.8400508165359497
0.034261241970021415,2441090.0,16,0.0001,1766073406.0229874,0.7914699912071228,15,293.065759826,0.10653543472290039,0.8373917937278748
0.03640256959314775,2591858.0,17,0.0001,1766073421.9093547,0.7979854941368103,16,308.952135267,0.1027674451470375,0.8029868602752686
0.03854389721627409,2754012.0,18,0.0001,1766073438.7800336,0.7905169129371643,17,325.822780287,0.09906669706106186,0.8232806921005249
0.04068522483940043,2916829.0,19,0.0001,1766073458.123078,0.7903084754943848,18,345.165836762,0.20137782394886017,0.8189336061477661
0.042826552462526764,3061305.0,20,0.0001,1766073476.6382508,0.7875717878341675,19,363.681006603,0.09769489616155624,0.830897331237793
0.044967880085653104,3219127.0,21,0.0001,1766073495.186824,0.793990969657898,20,382.229602281,0.08557490259408951,0.8039265871047974
0.047109207708779445,3380158.0,22,0.0001,1766073513.5633016,0.7926115393638611,21,400.606057264,0.09878119081258774,0.8015835285186768
0.04925053533190578,3539898.0,23,0.0001,1766073529.231127,0.7937774062156677,22,416.273898714,0.11133080720901489,0.7982499599456787
0.05139186295503212,3689574.0,24,0.0001,1766073540.7361522,0.7958211898803711,23,427.778912877,0.6698418855667114,0.7812641263008118
0.05353319057815846,3855970.0,25,0.0001,1766073559.574805,0.7870041728019714,24,446.617557613,0.12109271436929703,0.8200944066047668
0.055674518201284794,4018658.0,26,0.0001,1766073576.5987535,0.8001759648323059,25,463.641535182,0.22137929499149323,0.7709338068962097
0.057815845824411134,4171160.0,27,0.0001,1766073594.8611095,0.7845847606658936,26,481.903868881,0.18300184607505798,0.8335666656494141
0.059957173447537475,4314298.0,28,0.0001,1766073606.9999747,0.8080193996429443,27,494.042743206,0.06708839535713196,0.7325310707092285
0.06209850107066381,4468546.0,29,0.0001,1766073622.7951293,0.8013927340507507,28,509.837898796,0.05694793537259102,0.7566394805908203
0.06423982869379015,4635984.0,30,0.0001,1766073641.3582902,0.7892981171607971,29,528.40107276,0.04648188129067421,0.8089662790298462
0.06638115631691649,4790352.0,31,0.0001,1766073655.8849676,0.8056456446647644,30,542.927731808,0.04880847409367561,0.7379244565963745
0.06852248394004283,4956096.0,32,0.0001,1766073672.2978284,0.7943702340126038,31,559.340591061,0.047854818403720856,0.7891722321510315
0.07066381156316917,5107640.0,33,0.0001,1766073685.599777,0.8076282739639282,32,572.642554808,0.04821169748902321,0.7273986339569092
0.0728051391862955,5265237.0,34,0.0001,1766073701.9025445,0.8056809902191162,33,588.945308159,0.03987375274300575,0.7338179349899292
0.07494646680942184,5419378.0,35,0.0001,1766073720.3648818,0.8091790080070496,34,607.407781048,0.03282688558101654,0.7206892967224121
0.07708779443254818,5576075.0,36,0.0001,1766073734.4319258,0.8044487833976746,35,621.474721593,0.03685375675559044,0.7374902963638306
0.07922912205567452,5720029.0,37,0.0001,1766073746.6731737,0.8073772192001343,36,633.716106928,0.04135160893201828,0.7306746244430542
0.08137044967880086,5884915.0,38,0.0001,1766073763.0479336,0.8026662468910217,37,650.090791368,0.03388083726167679,0.7497124671936035
0.0835117773019272,6032758.0,39,0.0001,1766073780.125524,0.8047913312911987,38,667.168345102,0.03167841583490372,0.7394527792930603
0.08565310492505353,6187550.0,40,0.0001,1766073797.1130838,0.8017809987068176,39,684.156021752,0.03625092655420303,0.7500565052032471
0.08779443254817987,6355408.0,41,0.0001,1766073816.3725173,0.7958676218986511,40,703.415321637,0.03455746918916702,0.7663400769233704
