_step,train/grad_norm,train/learning_rate,train/loss,train/mean_token_accuracy,_timestamp,train/num_tokens,_runtime,train/epoch,train/global_step
0,0.18689265847206116,0.0001,1.6930221319198608,0.6568092703819275,1766072986.551993,136605.0,3.850642183,0.0021413276231263384,1
1,0.1938084214925766,0.0001,1.6902680397033691,0.6489598751068115,1766072989.0646548,292128.0,6.363082585,0.004282655246252677,2
2,0.24578148126602173,0.0001,1.6147586107254028,0.6645253896713257,1766072990.979682,444535.0,8.278054157,0.006423982869379015,3
3,0.27972468733787537,0.0001,1.637416124343872,0.6530819535255432,1766072992.8569982,592263.0,10.155349928,0.008565310492505354,4
4,0.2806549370288849,0.0001,1.5701144933700562,0.6624664664268494,1766072995.0189338,737019.0,12.317302411,0.010706638115631691,5
5,0.229674831032753,0.0001,1.4704344272613525,0.6771552562713623,1766072997.3702369,896813.0,14.668600684,0.01284796573875803,6
6,0.21136100590229034,0.0001,1.4575270414352417,0.6742604374885559,1766072999.754354,1062679.0,17.052714756,0.014989293361884369,7
7,0.24525988101959229,0.0001,1.4339559078216553,0.6775686740875244,1766073002.3214674,1212566.0,19.619809322000002,0.017130620985010708,8
8,0.11948008090257645,0.0001,1.3357998132705688,0.6934433579444885,1766073004.8050978,1373797.0,22.103447523,0.019271948608137045,9
9,0.14722761511802673,0.0001,1.3580436706542969,0.6895907521247864,1766073007.3954985,1516877.0,24.693870259,0.021413276231263382,10
10,0.2564229369163513,0.0001,1.3185484409332275,0.6970280408859253,1766073009.8618343,1663977.0,27.160180864,0.023554603854389723,11
11,0.1951047033071518,0.0001,1.2268736362457275,0.7188113331794739,1766073011.9215548,1815907.0,29.219892153,0.02569593147751606,12
12,0.1860978603363037,0.0001,1.1873502731323242,0.7261509895324707,1766073014.4480698,1971911.0,31.746445506,0.027837259100642397,13
13,0.16219621896743774,0.0001,1.1793770790100098,0.7222198247909546,1766073016.7323487,2135596.0,34.030705219,0.029978586723768737,14
14,0.21047601103782654,0.0001,1.1210471391677856,0.736831545829773,1766073019.1538763,2285621.0,36.452242716,0.032119914346895075,15
