train/learning_rate,_step,train/epoch,train/mean_token_accuracy,_runtime,train/loss,train/grad_norm,_timestamp,train/global_step,train/num_tokens
0.0001,0,0.0021436227224008574,0.6678752452135086,61.246016031,1.6704316139221191,0.35416823625564575,1766073171.8304715,1,136605.0
0.0001,1,0.004287245444801715,0.6649422943592072,114.960354882,1.6200826168060303,0.45615530014038086,1766073225.5449786,2,292128.0
0.0001,2,0.006430868167202572,0.6862010210752487,163.743981239,1.479101300239563,0.41741493344306946,1766073274.328692,3,444535.0
0.0001,3,0.00857449088960343,0.6847511976957321,214.160639962,1.4277936220169067,0.313286155462265,1766073324.7453194,4,592263.0
0.0001,4,0.010718113612004287,0.7014628052711487,263.726952984,1.3292038440704346,0.2304864078760147,1766073374.3116548,5,737019.0
0.0001,5,0.012861736334405145,0.7155216187238693,316.842940743,1.2351744174957275,0.15404613316059113,1766073427.4275372,6,896813.0
0.0001,6,0.015005359056806002,0.715042844414711,383.261351649,1.2291405200958252,0.17572039365768433,1766073493.8460395,7,1062679.0
0.0001,7,0.01714898177920686,0.7253175675868988,436.273059423,1.1801395416259766,0.2316158413887024,1766073546.8577566,8,1212566.0
0.0001,8,0.01929260450160772,0.7418274432420731,500.677124913,1.0559858083724976,0.2481464147567749,1766073611.2618313,9,1373797.0
0.0001,9,0.021436227224008574,0.7385455816984177,553.389623059,1.0652782917022705,0.8693392276763916,1766073663.9742491,10,1516877.0
0.0001,10,0.023579849946409433,0.7569809556007385,605.772663458,1.0094534158706665,0.3293880820274353,1766073716.3572896,11,1663977.0
0.0001,11,0.02572347266881029,0.7741369009017944,654.602545178,0.9326447248458862,0.27483952045440674,1766073765.1872454,12,1815907.0
0.0001,12,0.027867095391211148,0.7801447361707687,714.091650552,0.8952958583831787,0.19775933027267456,1766073824.6763475,13,1971911.0
0.0001,13,0.030010718113612004,0.7743229269981384,772.294811052,0.9051879644393921,0.21404989063739777,1766073882.8795264,14,2135596.0
0.0001,14,0.03215434083601286,0.787423312664032,825.82256886,0.8486658334732056,0.18274590373039246,1766073936.4072845,15,2285621.0
0.0001,15,0.03429796355841372,0.7901356071233749,887.187825884,0.8425654172897339,0.1289391815662384,1766073997.772525,16,2441090.0
0.0001,16,0.03644158628081458,0.797725260257721,940.778296724,0.8059773445129395,0.11642460525035858,1766074051.3630364,17,2591858.0
0.0001,17,0.03858520900321544,0.7902856022119522,1004.345595582,0.8245656490325928,0.09302334487438202,1766074114.9302816,18,2754012.0
0.0001,18,0.04072883172561629,0.7912197262048721,1063.571703376,0.8196799755096436,0.09187104552984238,1766074174.1564047,19,2916829.0
0.0001,19,0.04287245444801715,0.7886147052049637,1115.653068388,0.8336113095283508,0.1671326905488968,1766074226.2377667,20,3061305.0
0.0001,20,0.04501607717041801,0.7941698431968689,1167.215166463,0.8051269054412842,0.14213407039642334,1766074277.7998633,21,3219127.0
0.0001,21,0.04715969989281887,0.7926659137010574,1229.16105476,0.8027275800704956,0.08149601519107819,1766074339.745737,22,3380158.0
0.0001,22,0.04930332261521972,0.7935879975557327,1281.014027626,0.8014625310897827,0.11465972661972046,1766074391.5987456,23,3539898.0
0.0001,23,0.05144694533762058,0.7961813360452652,1320.922300921,0.7812820672988892,0.08447819948196411,1766074431.5070066,24,3689574.0
0.0001,24,0.05359056806002144,0.7877874076366425,1382.980505552,0.8230047821998596,0.12521935999393463,1766074493.565183,25,3855970.0
0.0001,25,0.055734190782422297,0.7997787892818451,1437.413466253,0.7716778516769409,0.18368372321128845,1766074547.9981396,26,4018658.0
0.0001,26,0.05787781350482315,0.7835292220115662,1495.253672723,0.8354494571685791,0.09196633845567703,1766074605.8383315,27,4171160.0
0.0001,27,0.06002143622722401,0.8077132701873779,1539.407364984,0.7353503108024597,0.18734270334243774,1766074649.991985,28,4314298.0
0.0001,28,0.06216505894962487,0.8008423745632172,1588.68659037,0.760438084602356,0.07414042204618454,1766074699.2712698,29,4468546.0
0.0001,29,0.06430868167202572,0.7895136028528214,1648.939550285,0.8123276829719543,0.04728316515684128,1766074759.5242174,30,4635984.0
0.0001,30,0.06645230439442658,0.8050526231527328,1696.117877626,0.7412353157997131,0.07151768356561661,1766074806.7025926,31,4790352.0
0.0001,31,0.06859592711682744,0.7935764342546463,1754.903778422,0.7930564284324646,0.07252173125743866,1766074865.4884925,32,4956096.0
0.0001,32,0.0707395498392283,0.8072703331708908,1801.37583065,0.7298240065574646,0.04256562143564224,1766074911.9605465,33,5107640.0
0.0001,33,0.07288317256162916,0.805293083190918,1855.876777077,0.7356203198432922,0.04971352964639664,1766074966.4614882,34,5265237.0
0.0001,34,0.07502679528403002,0.8090968132019043,1906.114510286,0.722381591796875,0.06528487056493759,1766075016.6992323,35,5419378.0
0.0001,35,0.07717041800643087,0.8042861223220825,1954.869113188,0.7380669116973877,0.053589459508657455,1766075065.4538095,36,5576075.0
0.0001,36,0.07931404072883172,0.8080992847681046,1998.357473418,0.731046199798584,0.036902379244565964,1766075108.9420385,37,5720029.0
0.0001,37,0.08145766345123258,0.8034877181053162,2057.626858219,0.7499786615371704,0.029772883281111717,1766075168.211549,38,5884915.0
0.0001,38,0.08360128617363344,0.8050433248281479,2113.016485019,0.74009108543396,0.03926517441868782,1766075223.601174,39,6032758.0
0.0001,39,0.0857449088960343,0.802432656288147,2161.281672812,0.7502446174621582,0.03881043195724487,1766075271.8662603,40,6187550.0
0.0001,40,0.08788853161843516,0.7962595820426941,2224.078538747,0.7665817737579346,0.03034738451242447,1766075334.6632097,41,6355408.0
