train/mean_token_accuracy,_timestamp,train/global_step,_step,_runtime,train/epoch,train/learning_rate,train/loss,train/num_tokens,train/grad_norm
0.6568924188613892,1766072786.6402433,1,0,5.365229864,0.0021436227224008574,0.0001,1.6930222511291504,136605.0,0.18806234002113342
0.6483717858791351,1766072790.6613595,2,1,9.38609461,0.004287245444801715,0.0001,1.688580870628357,292128.0,0.19384177029132843
0.6648343205451965,1766072794.0823221,3,2,12.807050036,0.006430868167202572,0.0001,1.6150639057159424,444535.0,0.24691921472549438
0.6524742543697357,1766072797.5540977,4,3,16.278813014,0.00857449088960343,0.0001,1.6389193534851074,592263.0,0.28269943594932556
0.662061482667923,1766072800.9799585,5,4,19.704676293,0.010718113612004287,0.0001,1.5700385570526123,737019.0,0.28164178133010864
0.6768687069416046,1766072804.7695165,6,5,23.494235296,0.012861736334405145,0.0001,1.4714579582214355,896813.0,0.23345240950584412
0.6746857166290283,1766072808.8740594,7,6,27.59879268,0.015005359056806002,0.0001,1.4599205255508423,1062679.0,0.21138642728328705
0.6765815019607544,1766072812.508053,8,7,31.232760483,0.01714898177920686,0.0001,1.4352699518203735,1212566.0,0.24937376379966736
0.6931239664554596,1766072816.9503329,9,8,35.675065673,0.01929260450160772,0.0001,1.3364149332046509,1373797.0,0.11908609420061111
0.6899990439414978,1766072820.9839175,10,9,39.708631315,0.021436227224008574,0.0001,1.3579999208450317,1516877.0,0.14849302172660828
0.6970148086547852,1766072824.8642395,11,10,43.588947126,0.023579849946409433,0.0001,1.317312240600586,1663977.0,0.22884494066238403
0.7197474539279938,1766072828.3014364,12,11,47.026162797,0.02572347266881029,0.0001,1.2249832153320312,1815907.0,0.17450466752052307
0.7255659401416779,1766072832.4269476,13,12,51.151660732,0.027867095391211148,0.0001,1.1866698265075684,1971911.0,0.1843901425600052
0.7231466770172119,1766072836.3832302,14,13,55.107956327,0.030010718113612004,0.0001,1.1780273914337158,2135596.0,0.16097863018512726
0.7381826043128967,1766072840.369077,15,14,59.093798163,0.03215434083601286,0.0001,1.1187840700149536,2285621.0,0.19275476038455963
0.7442610561847687,1766072844.2261925,16,15,62.950917012,0.03429796355841372,0.0001,1.090384602546692,2441090.0,0.16983510553836823
0.7588578760623932,1766072848.016101,17,16,66.740808102,0.03644158628081458,0.0001,1.0295453071594238,2591858.0,0.159328892827034
0.7554047405719757,1766072852.0469747,18,17,70.77168812,0.03858520900321544,0.0001,1.0226008892059326,2754012.0,0.15060162544250488
0.7612296342849731,1766072855.8527067,19,18,74.577418735,0.04072883172561629,0.0001,1.0037124156951904,2916829.0,0.16582752764225006
0.7564760744571686,1766072859.4421182,20,19,78.166844438,0.04287245444801715,0.0001,1.0181840658187866,3061305.0,0.15139715373516083
0.766261875629425,1766072863.0889869,21,20,81.813697364,0.04501607717041801,0.0001,0.9667178392410278,3219127.0,0.1328761726617813
0.7682246267795563,1766072867.325569,22,21,86.050267808,0.04715969989281887,0.0001,0.9564319849014282,3380158.0,0.10806617140769958
0.7714065611362457,1766072870.8948278,23,22,89.619554729,0.04930332261521972,0.0001,0.9473652839660645,3539898.0,0.09707435220479965
0.7734839022159576,1766072873.4842048,24,23,92.208936321,0.05144694533762058,0.0001,0.9276620745658875,3689574.0,0.10705269873142242
0.7638247907161713,1766072878.1341262,25,24,96.858850227,0.05359056806002144,0.0001,0.9642414450645447,3855970.0,0.07946934551000595
0.777203232049942,1766072881.8078127,26,25,100.532520006,0.055734190782422297,0.0001,0.9085446000099182,4018658.0,0.0765443667769432
0.7600237727165222,1766072885.934833,27,26,104.659551427,0.05787781350482315,0.0001,0.9831708669662476,4171160.0,0.07593163102865219
0.7837190330028534,1766072889.0482545,28,27,107.772982988,0.06002143622722401,0.0001,0.8773196935653687,4314298.0,0.06950356066226959
0.7782685458660126,1766072892.4604957,29,28,111.185211493,0.06216505894962487,0.0001,0.8999612331390381,4468546.0,0.06698427349328995
0.7662725448608398,1766072896.6483479,30,29,115.373064019,0.06430868167202572,0.0001,0.9527446031570435,4635984.0,0.058222413063049316
0.7836571931838989,1766072899.6796234,31,30,118.404339762,0.06645230439442658,0.0001,0.8775055408477783,4790352.0,0.053492847830057144
0.7701914310455322,1766072903.503219,32,31,122.227927244,0.06859592711682744,0.0001,0.929562509059906,4956096.0,0.044029779732227325
0.7851985991001129,1766072906.4221442,33,32,125.146884434,0.0707395498392283,0.0001,0.8638765215873718,5107640.0,0.04488002136349678
0.7830508053302765,1766072910.1551552,34,33,128.879897152,0.07288317256162916,0.0001,0.8721932172775269,5265237.0,0.04316045343875885
0.7854513227939606,1766072913.90946,35,34,132.634182952,0.07502679528403002,0.0001,0.8602373600006104,5419378.0,0.04146967828273773
0.7802720069885254,1766072917.2420938,36,35,135.966806307,0.07717041800643087,0.0001,0.8736354112625122,5576075.0,0.04009975492954254
0.7844859659671783,1766072920.1849213,37,36,138.909657625,0.07931404072883172,0.0001,0.8692412376403809,5720029.0,0.04023567587137222
0.7801617383956909,1766072924.3621256,38,37,143.086850684,0.08145766345123258,0.0001,0.8849554061889648,5884915.0,0.03530751168727875
0.7799065411090851,1766072927.9596374,39,38,146.684362352,0.08360128617363344,0.0001,0.8793503046035767,6032758.0,0.03464276343584061
0.7798459827899933,1766072931.4081547,40,39,150.132868714,0.0857449088960343,0.0001,0.8862110376358032,6187550.0,0.03553159162402153
0.7743171751499176,1766072935.681708,41,40,154.406434424,0.08788853161843516,0.0001,0.8964391350746155,6355408.0,0.03061775304377079
