train/epoch,train/learning_rate,train/global_step,eval/runtime,train/num_tokens,eval/samples_per_second,eval/loss,eval/steps_per_second,_runtime,_timestamp,train/loss,train/grad_norm,train/mean_token_accuracy,_step,eval/num_tokens,eval/mean_token_accuracy
0.017543859649122806,0.0,1,,8290.0,,,,17.524698556,1764008004.0770855,1.7601,0.4461815655231476,0.6598548889160156,0,,
0.03508771929824561,0.0001,2,,17616.0,,,,26.051028692,1764008012.6036158,1.6871,0.41412580013275146,0.670427680015564,1,,
0.05263157894736842,0.0002,3,,24669.0,,,,31.876450775,1764008018.429041,1.9308,0.8367916345596313,0.6421157121658325,2,,
0.07017543859649122,0.0001998532193533522,4,,33092.0,,,,38.820988127,1764008025.373542,1.5917,1.1335240602493286,0.6729739308357239,3,,
0.08771929824561403,0.0001994133561813695,5,,41479.0,,,,45.417925115,1764008031.9704733,1.5407,0.5829192399978638,0.6713278293609619,4,,
0.10526315789473684,0.0001986818452262924,6,,50552.0,,,,51.872138404,1764008038.4247284,1.3314,0.46410617232322693,0.6920357942581177,5,,
0.12280701754385964,0.00019766107252481004,7,,57693.0,,,,57.895191213,1764008044.4477608,1.332,0.8075379133224487,0.7072040438652039,6,,
0.14035087719298245,0.0001963543676253048,8,,68806.0,,,,65.797783313,1764008052.3503172,1.1395,0.5411063432693481,0.7236095070838928,7,,
0.15789473684210525,0.00019476599272755723,9,,77265.0,,,,72.103593394,1764008058.6561866,1.3203,0.5909708738327026,0.6901291608810425,8,,
0.17543859649122806,0.00019290112878033653,10,,,,,,90.222106472,1764008076.7747543,0.7654,0.32051411271095276,,9,,
0.17543859649122806,,10,13.9571,,7.165,1.1409605741500854,0.502,104.208400609,1764008090.7610838,,,,10,92434.0,0.7182142308780125
0.19298245614035087,0.00019076585858222227,11,,101865.0,,,,112.320617392,1764008098.8732748,1.1232,0.41440579295158386,0.7621437609195709,11,,
0.21052631578947367,0.00018836714694077996,12,,109358.0,,,,117.867383379,1764008104.420026,1.1079,0.4672563076019287,0.7189883589744568,12,,
0.22807017543859648,0.0001857128179548063,13,,118344.0,,,,125.063442856,1764008111.6160629,1.1576,0.3976048529148102,0.6975239515304565,13,,
0.24561403508771928,0.00018281152949374527,14,,125686.0,,,,131.779431852,1764008118.3320231,1.14,0.45748940110206604,0.7073203921318054,14,,
0.2631578947368421,0.00017967274495751744,15,,134845.0,,,,138.282339673,1764008124.8349445,0.9836,0.34521472454071045,0.7434073686599731,15,,
0.2807017543859649,0.00017630670240887644,16,,144337.0,,,,144.55746564,1764008131.110114,1.0506,0.308220773935318,0.7218116521835327,16,,
0.2982456140350877,0.00017272438117897645,17,,153529.0,,,,151.451524858,1764008138.004069,1.0807,0.29840996861457825,0.7121674418449402,17,,
0.3157894736842105,0.0001689374660550757,18,,162404.0,,,,157.64679415,1764008144.1993747,0.967,0.26242876052856445,0.7416148781776428,18,,
0.3333333333333333,0.00016495830916718945,19,,171582.0,,,,163.800695811,1764008150.353342,1.0773,0.2420549839735031,0.7123826146125793,19,,
0.3508771929824561,0.00016079988969800927,20,,,,,,170.553622381,1764008157.1063077,0.9511,0.2377491295337677,,20,,
0.3508771929824561,,20,14.2682,,7.009,0.9875431656837463,0.491,184.84550445,1764008171.3981564,,,,21,181891.0,0.734271594456264
0.3684210526315789,0.0001564757715475066,21,,191813.0,,,,191.409595614,1764008177.962213,1.028,0.2388722151517868,0.7320760786533356,22,,
0.38596491228070173,0.00015200005909031064,22,,199827.0,,,,197.195288338,1764008183.7478123,1.0082,0.2533146142959595,0.7265449166297913,23,,
0.40350877192982454,0.00014738735117016978,23,,207991.0,,,,204.05313255,1764008190.605766,1.0289,0.25739145278930664,0.7159872055053711,24,,
0.42105263157894735,0.00014265269348155766,24,,216870.0,,,,209.831902757,1764008196.3845265,0.9641,0.2205878496170044,0.7384580373764038,25,,
0.43859649122807015,0.00013781152949374526,25,,226285.0,,,,217.305249555,1764008203.8578746,0.9144,0.21889981627464294,0.7513570785522461,26,,
0.45614035087719296,0.00013287965007741386,26,,233809.0,,,,223.089141093,1764008209.6417603,1.058,0.2508031129837036,0.7226812243461609,27,,
0.47368421052631576,0.0001278731419981171,27,,243114.0,,,,229.365537372,1764008215.9180188,0.8626,0.20234368741512299,0.7523963451385498,28,,
0.49122807017543857,0.00012280833544459568,28,,251814.0,,,,236.290862336,1764008222.843464,1.0415,0.2128179371356964,0.7150921821594238,29,,
0.5087719298245614,0.0001177017507630956,29,,262113.0,,,,243.7441242,1764008230.2967145,0.8889,0.18019430339336395,0.7474462389945984,30,,
0.5263157894736842,0.00011257004457143266,30,,,,,,249.522597277,1764008236.0751677,0.9351,0.31704843044281006,,31,,
0.5263157894736842,,30,14.2576,,7.014,0.9185580611228943,0.491,263.807717818,1764008250.360392,,,,32,268186.0,0.7454572575432914
0.543859649122807,0.00010742995542856735,31,,277439.0,,,,270.694415437,1764008257.2470074,0.8991,0.21686995029449463,0.7484188079833984,33,,
0.5614035087719298,0.00010229824923690446,32,,286245.0,,,,278.306323263,1764008264.8588984,0.8197,0.21292661130428314,0.7675848007202148,34,,
0.5789473684210527,9.719166455540436e-05,33,,293194.0,,,,283.971681736,1764008270.5243363,1.0202,0.25333064794540405,0.7269447445869446,35,,
0.5964912280701754,9.212685800188294e-05,34,,303941.0,,,,291.669121259,1764008278.2216897,0.8014,0.18236421048641205,0.765172004699707,36,,
0.6140350877192983,8.712034992258619e-05,35,,314301.0,,,,298.392084931,1764008284.9445963,1.0006,0.21715357899665833,0.7208897471427917,37,,
