_timestamp,train/epoch,train/loss,train/learning_rate,train/mean_token_accuracy,_runtime,train/global_step,train/grad_norm,train/num_tokens,_step,eval/accuracy
1765916115.0568767,0.0021436227224008574,1.6945645809173584,1e-05,0.6562617868185043,7.881787963,1.0,0.5294751524925232,136605.0,0,
1765916121.7969854,0.004287245444801715,1.6990442276000977,1e-05,0.646949902176857,14.621682122,2.0,0.48365405201911926,292128.0,1,
1765916127.7444365,0.006430868167202572,1.6491789817810059,1e-05,0.6622494906187057,20.569111704,3.0,0.4916335642337799,444535.0,2,
1765916133.8739097,0.00857449088960343,1.714148759841919,1e-05,0.6475071012973785,26.698593265,4.0,0.5167657136917114,592263.0,3,
1765916139.5294905,0.010718113612004287,1.6965389251708984,1e-05,0.6538147032260895,32.354178558,5.0,0.524106502532959,737019.0,4,
1765916145.9140134,0.012861736334405145,1.64546537399292,1e-05,0.6602863967418671,38.738691385,6.0,0.5115995407104492,896813.0,5,
1765916153.812256,0.015005359056806002,1.6710221767425537,1e-05,0.6523473262786865,46.636895709,7.0,0.49792641401290894,1062679.0,6,
1765916160.2510195,0.01714898177920686,1.7110154628753662,1e-05,0.6451130658388138,53.07568518,8.0,0.5510748028755188,1212566.0,7,
1765916168.0905187,0.01929260450160772,1.627077341079712,1e-05,0.66096630692482,60.915169694,9.0,0.5260640382766724,1373797.0,8,
1765916174.3075814,0.021436227224008574,1.7212568521499634,1e-05,0.647788792848587,67.132262157,10.0,0.5921748280525208,1516877.0,9,
1765916180.5454533,0.023579849946409433,1.7079843282699585,1e-05,0.6470160186290741,73.370126458,11.0,0.5973867177963257,1663977.0,10,
1765916186.469094,0.02572347266881029,1.6425998210906982,1e-05,0.6622007936239243,79.293790407,12.0,0.5924677848815918,1815907.0,11,
1765916193.3583593,0.027867095391211148,1.6276262998580933,1e-05,0.6629206389188766,86.183016724,13.0,0.5931795835494995,1971911.0,12,
1765916200.2981818,0.030010718113612004,1.6379221677780151,1e-05,0.6583953350782394,93.122869846,14.0,0.5911393761634827,2135596.0,13,
1765916207.115031,0.03215434083601286,1.6552226543426514,1e-05,0.6541992872953415,99.939709216,15.0,0.6370284557342529,2285621.0,14,
1765916214.3766792,0.03429796355841372,1.6432185173034668,1e-05,0.6569899171590805,107.201347525,16.0,0.6290472149848938,2441090.0,15,
1765916220.7210112,0.03644158628081458,1.6336390972137451,1e-05,0.661723181605339,113.545685975,17.0,0.6647251844406128,2591858.0,16,
1765916228.2169492,0.03858520900321544,1.608275055885315,1e-05,0.6584592908620834,121.041615449,18.0,0.6413090825080872,2754012.0,17,
1765916235.247109,0.04072883172561629,1.605478286743164,1e-05,0.6606883257627487,128.071799991,19.0,0.646628737449646,2916829.0,18,
1765916241.3841906,0.04287245444801715,1.709028959274292,1e-05,0.6425798982381821,134.208861867,20.0,0.7386882305145264,3061305.0,19,
1765916247.6338573,0.04501607717041801,1.614012598991394,1e-05,0.6589174121618271,140.458497024,21.0,0.6895577311515808,3219127.0,20,
1765916254.5062222,0.04715969989281887,1.6009451150894165,1e-05,0.6607817709445953,147.330896706,22.0,0.6916210055351257,3380158.0,21,
1765916260.7355464,0.04930332261521972,1.5979607105255127,1e-05,0.6621457636356354,153.560225673,23.0,0.6878226399421692,3539898.0,22,
1765916265.6155095,0.05144694533762058,1.626018762588501,1e-05,0.6563555300235748,158.440177077,24.0,0.7411485910415649,3689574.0,23,
1765916273.169426,0.05359056806002144,1.59382164478302,1e-05,0.6587614417076111,165.994118976,25.0,0.6755642890930176,3855970.0,24,
1765916279.683494,0.055734190782422297,1.5536860227584839,1e-05,0.6673635095357895,172.508150308,26.0,0.6807418465614319,4018658.0,25,
1765916286.325398,0.05787781350482315,1.6658682823181152,1e-05,0.6443150341510773,179.150075645,27.0,0.731347382068634,4171160.0,26,
1765916291.5696962,0.06002143622722401,1.6044032573699951,1e-05,0.6601563692092896,184.394382677,28.0,0.760831892490387,4314298.0,27,
1765916297.5881884,0.06216505894962487,1.574134111404419,1e-05,0.660414531826973,190.412845477,29.0,0.7140071392059326,4468546.0,28,
1765916304.758109,0.06430868167202572,1.5669838190078735,1e-05,0.6605036109685898,197.582788393,30.0,0.6583428978919983,4635984.0,29,
1765916310.626463,0.06645230439442658,1.5446428060531616,1e-05,0.6679840236902237,203.45111323,31.0,0.7022959589958191,4790352.0,30,
1765916317.667066,0.06859592711682744,1.5457000732421875,1e-05,0.6639656722545624,210.491713281,32.0,0.659426212310791,4956096.0,31,
1765916323.3642023,0.0707395498392283,1.5329527854919434,1e-05,0.667245626449585,216.188871565,33.0,0.7127917408943176,5107640.0,32,
1765916329.7894428,0.07288317256162916,1.5063258409500122,1e-05,0.6712483316659927,222.614106432,34.0,0.6814934611320496,5265237.0,33,
1765916335.927224,0.07502679528403002,1.5053389072418213,1e-05,0.6716945767402649,228.751884635,35.0,0.6843069195747375,5419378.0,34,
1765916341.6996222,0.07717041800643087,1.504138708114624,1e-05,0.6680472791194916,234.524298951,36.0,0.6751686930656433,5576075.0,35,
1765916346.888122,0.07931404072883172,1.5519732236862183,1e-05,0.6620169579982758,239.712790616,37.0,0.7274938225746155,5720029.0,36,
1765916353.879357,0.08145766345123258,1.4762344360351562,1e-05,0.6742118895053864,246.70405485,38.0,0.6379625201225281,5884915.0,37,
1765916360.1229334,0.08360128617363344,1.5274819135665894,1e-05,0.6631635427474976,252.947593958,39.0,0.7041409611701965,6032758.0,38,
1765916366.116366,0.0857449088960343,1.500476360321045,1e-05,0.667822077870369,258.941040037,40.0,0.6628614664077759,6187550.0,39,
1765916373.7395604,0.08788853161843516,1.4649088382720947,1e-05,0.6715361177921295,266.564243825,41.0,0.6184892654418945,6355408.0,40,
1765916380.5724065,0.09003215434083602,1.46779203414917,1e-05,0.6714902222156525,273.397071029,42.0,0.6295400261878967,6519771.0,41,
1765916386.5628114,0.09217577706323687,1.4687414169311523,1e-05,0.6731672435998917,279.387481421,43.0,0.6686158180236816,6672296.0,42,
1765916395.1020563,0.09431939978563773,1.4588797092437744,1e-05,0.6718172580003738,287.926721532,44.0,0.6058502793312073,6843136.0,43,
1765916402.2119408,0.09646302250803858,1.5042192935943604,1e-05,0.6626137942075729,295.036607402,45.0,0.6827097535133362,6993296.0,44,
1765916408.6182437,0.09860664523043944,1.4529707431793213,1e-05,0.6764829307794571,301.4429218,46.0,0.6888328790664673,7142356.0,45,
1765916414.2705965,0.1007502679528403,1.4389790296554565,1e-05,0.6775347292423248,307.095266711,47.0,0.6760426759719849,7294167.0,46,
1765916422.3991451,0.10289389067524116,1.4437716007232666,1e-05,0.6724224239587784,315.223775396,48.0,0.5860345363616943,7470762.0,47,
1765916430.0528615,0.10503751339764202,1.412868857383728,1e-05,0.6826468706130981,322.877540919,49.0,0.6617499589920044,7629052.0,48,
1765916435.3705628,0.10718113612004287,1.4108436107635498,1e-05,0.6821196526288986,328.195231824,50.0,0.6961477994918823,7779609.0,49,
1765916441.8557792,0.10932475884244373,1.4396713972091675,1e-05,0.6758920699357986,334.680455281,51.0,0.7175062894821167,7927458.0,50,
1765916447.4087155,0.11146838156484459,1.4062206745147705,1e-05,0.6833478510379791,340.233357632,52.0,0.7045819163322449,8078023.0,51,
1765916453.3029203,0.11361200428724544,1.4036146402359009,1e-05,0.6843846440315247,346.127580444,53.0,0.7060441970825195,8230483.0,52,
1765916459.494485,0.1157556270096463,1.3887968063354492,1e-05,0.6888392418622971,352.319129741,54.0,0.7500333786010742,8375984.0,53,
1765916466.38512,0.11789924973204716,1.3966035842895508,1e-05,0.6828343719244003,359.209793176,55.0,0.6355636119842529,8547262.0,54,
1765916473.2026565,0.12004287245444802,1.4008878469467163,1e-05,0.6843034625053406,366.027332494,56.0,0.6552433371543884,8704936.0,55,
1765916480.0905228,0.12218649517684887,1.3411766290664673,1e-05,0.6961719244718552,372.915182165,57.0,0.4774109721183777,8867795.0,56,
1765916485.9913604,0.12433011789924973,1.372593879699707,1e-05,0.6888917833566666,378.816029525,58.0,0.4746004045009613,9019339.0,57,
1765916492.364368,0.1264737406216506,1.3259820938110352,1e-05,0.6968246251344681,385.189047337,59.0,0.429383248090744,9189045.0,58,
1765916498.5093164,0.12861736334405144,1.3157304525375366,1e-05,0.6968709379434586,391.334004075,60.0,0.4461051821708679,9353955.0,59,
1765916505.447547,0.1307609860664523,1.3093605041503906,1e-05,0.705462247133255,398.272222139,61.0,0.4957633316516876,9504744.0,60,
1765916512.4855933,0.13290460878885316,1.3666796684265137,1e-05,0.6855731755495071,405.310238088,62.0,0.4643886685371399,9662901.0,61,
1765916518.0372264,0.13504823151125403,1.2892345190048218,1e-05,0.7071476429700851,410.861875664,63.0,0.4906942844390869,9809122.0,62,
1765916524.893036,0.13719185423365488,1.2933204174041748,1e-05,0.7063082009553909,417.717704503,64.0,0.45978814363479614,9968473.0,63,
1765916532.0030015,0.13933547695605572,1.3363733291625977,1e-05,0.6965021193027496,424.827685164,65.0,0.4939941167831421,10119334.0,64,
1765916537.1133065,0.1414790996784566,1.3201130628585815,1e-05,0.7012792974710464,429.937986889,66.0,0.5250545740127563,10259437.0,65,
1765916544.80566,0.14362272240085744,1.3122291564941406,1e-05,0.6997210085391998,437.630346842,67.0,0.4655914008617401,10416011.0,66,
1765916550.0607212,0.1457663451232583,1.3097734451293945,1e-05,0.7019614726305008,442.885400746,68.0,0.48525115847587585,10566185.0,67,
1765916555.537733,0.14790996784565916,1.2756502628326416,1e-05,0.7083939909934998,448.362398885,69.0,0.4777621030807495,10715715.0,68,
1765916563.5541947,0.15005359056806003,1.2490638494491577,1e-05,0.7115872800350189,456.378864797,70.0,0.4451517164707184,10880059.0,69,
1765916568.7696233,0.15219721329046088,1.2434906959533691,1e-05,0.7132629454135895,461.594307413,71.0,0.4538905620574951,11036249.0,70,
1765916574.8887436,0.15434083601286175,1.2639098167419434,1e-05,0.7091703563928604,467.713408917,72.0,0.48057594895362854,11186751.0,71,
1765916581.53974,0.1564844587352626,1.2374677658081055,1e-05,0.7137751579284668,474.364408323,73.0,0.42682042717933655,11356082.0,72,
1765916588.3365526,0.15862808145766344,1.2413833141326904,1e-05,0.7152136266231537,481.161207583,74.0,0.4524884819984436,11514483.0,73,
1765916594.1694565,0.1607717041800643,1.2396106719970703,1e-05,0.7149145156145096,486.994156721,75.0,0.5345766544342041,11663606.0,74,
1765916600.0591009,0.16291532690246516,1.2206048965454102,1e-05,0.7202741205692291,492.88376646,76.0,0.49179890751838684,11816781.0,75,
1765916605.9989588,0.16505894962486603,1.2118632793426514,1e-05,0.7213552743196487,498.823629022,77.0,0.4400244951248169,11978438.0,76,
1765916612.3911142,0.16720257234726688,1.1757869720458984,1e-05,0.7299688756465912,505.215795978,78.0,0.4659370481967926,12137976.0,77,
1765916618.9211648,0.16934619506966775,1.1986289024353027,1e-05,0.7285325676202774,511.745840906,79.0,0.4577844440937042,12295505.0,78,
1765916625.4419837,0.1714898177920686,1.2049882411956787,1e-05,0.7247377932071686,518.26664736,80.0,0.46540114283561707,12452019.0,79,
1765916632.9787393,0.17363344051446947,1.2021045684814453,1e-05,0.7238018065690994,525.803385573,81.0,0.45978450775146484,12611435.0,80,
1765916640.0640142,0.1757770632368703,1.1199363470077515,1e-05,0.7435136586427689,532.888684581,82.0,0.4682040810585022,12770621.0,81,
1765916645.7206383,0.17792068595927116,1.171743392944336,1e-05,0.7322550415992737,538.545298827,83.0,0.5099428296089172,12917873.0,82,
1765916650.8372319,0.18006430868167203,1.164275884628296,1e-05,0.7367134690284729,543.661898458,84.0,0.5472275614738464,13056173.0,83,
1765916656.8832262,0.18220793140407288,1.1780067682266235,1e-05,0.7271918058395386,549.707894178,85.0,0.4930514693260193,13211326.0,84,
1765916662.8862128,0.18435155412647375,1.1508135795593262,1e-05,0.7349463105201721,555.710862032,86.0,0.487740159034729,13369675.0,85,
1765916668.5651698,0.1864951768488746,1.1280262470245361,1e-05,0.7402374297380447,561.389819512,87.0,0.5460758805274963,13509971.0,86,
1765916676.0634408,0.18863879957127547,1.1117358207702637,1e-05,0.7425364702939987,568.888108037,88.0,0.4834209084510803,13673080.0,87,
1765916682.4169087,0.1907824222936763,1.1429147720336914,1e-05,0.7297804802656174,575.241563953,89.0,0.47099173069000244,13838935.0,88,
1765916689.7705321,0.19292604501607716,1.1151260137557983,1e-05,0.7373942881822586,582.595197431,90.0,0.4822094440460205,14002150.0,89,
1765916696.4656258,0.19506966773847803,1.0938258171081543,1e-05,0.7479347735643387,589.290299997,91.0,0.5027711391448975,14156247.0,90,
1765916703.5501711,0.19721329046087888,1.0701870918273926,1e-05,0.7490358650684357,596.374844771,92.0,0.4660656750202179,14323035.0,91,
1765916710.827544,0.19935691318327975,1.106065273284912,1e-05,0.7434876561164856,603.652212432,93.0,0.45790499448776245,14490759.0,92,
1765916716.8013222,0.2015005359056806,1.0726804733276367,1e-05,0.7491688430309296,609.625997513,94.0,0.4986957311630249,14642384.0,93,
1765916722.1662943,0.20364415862808147,1.0686360597610474,1e-05,0.7511847913265228,614.990960983,95.0,0.52121502161026,14786158.0,94,
1765916727.6997914,0.2057877813504823,1.0460329055786133,1e-05,0.7544254064559937,620.524455982,96.0,0.5182392597198486,14929253.0,95,
1765916734.5880227,0.20793140407288319,0.991037905216217,1e-05,0.7660369873046875,627.412701974,97.0,0.4772416949272156,15078062.0,96,
1765916740.5863712,0.21007502679528403,1.0679339170455933,1e-05,0.7483404725790024,633.411047115,98.0,0.46889856457710266,15227850.0,97,
1765916747.6595442,0.21221864951768488,1.0253064632415771,1e-05,0.7590323984622955,640.484196505,99.0,0.44152671098709106,15385692.0,98,
1765916754.9659123,0.21436227224008575,0.9860491752624512,1e-05,0.7692136466503143,647.79057361,100.0,0.4283640384674072,15540223.0,99,
1765916782.9065356,0.2165058949624866,0.9740782380104065,1e-05,0.771764874458313,675.73124199,101.0,0.41726428270339966,15695591.0,100,
1765916789.3050365,0.21864951768488747,1.0026051998138428,1e-05,0.7664820849895477,682.129705769,102.0,0.3962918221950531,15855000.0,101,
1765916795.3309407,0.2207931404072883,1.020808458328247,1e-05,0.7580962926149368,688.155630795,103.0,0.3967415392398834,16010570.0,102,
1765916801.8835135,0.22293676312968919,0.9899768233299255,1e-05,0.7626503705978394,694.708209156,104.0,0.3680723011493683,16175156.0,103,
1765916809.6693308,0.22508038585209003,0.9964669942855835,1e-05,0.7623036354780197,702.494027908,105.0,0.35081225633621216,16345184.0,104,
1765916816.213977,0.22722400857449088,0.9976757168769836,1e-05,0.7637190371751785,709.038664185,106.0,0.383575439453125,16496673.0,105,
1765916822.4629354,0.22936763129689175,0.9996958374977112,1e-05,0.7637971341609955,715.287605813,107.0,0.3777281641960144,16650964.0,106,
1765916828.8022606,0.2315112540192926,1.0046011209487915,1e-05,0.7606711536645889,721.626929248,108.0,0.3775090277194977,16806131.0,107,
1765916835.4786818,0.23365487674169347,1.0003228187561035,1e-05,0.7630627751350403,728.303361706,109.0,0.33631986379623413,16971757.0,108,
1765916842.558985,0.2357984994640943,0.9545683264732361,1e-05,0.7726745754480362,735.383621442,110.0,0.32130855321884155,17125261.0,109,
1765916849.3581605,0.2379421221864952,0.9409236311912537,1e-05,0.773735985159874,742.182841633,111.0,0.28535324335098267,17285808.0,110,
1765916856.2959557,0.24008574490889603,0.9408955574035645,1e-05,0.7757929265499115,749.120924269,112.0,0.2886876165866852,17436207.0,111,
1765916863.1052163,0.2422293676312969,0.9578124284744263,1e-05,0.7661546617746353,755.929975091,113.0,0.24339227378368378,17609651.0,112,
1765916869.9782271,0.24437299035369775,0.9606767892837524,1e-05,0.7697840631008148,762.802916894,114.0,0.24619239568710327,17764531.0,113,
1765916876.954233,0.2465166130760986,0.9104541540145874,1e-05,0.7820544838905334,769.77900347,115.0,0.22415953874588013,17923936.0,114,
1765916884.2780085,0.24866023579849947,0.927924633026123,1e-05,0.7760102897882462,777.102693378,116.0,0.21212761104106903,18080869.0,115,
1765916890.348365,0.2508038585209003,0.9650976657867432,1e-05,0.7669445872306824,783.173158259,117.0,0.19570991396903992,18244414.0,116,
1765916897.7872238,0.2529474812433012,0.96821528673172,1e-05,0.7678048461675644,790.611941933,118.0,0.19611601531505585,18401734.0,117,
1765916904.0107517,0.25509110396570206,0.9260474443435669,1e-05,0.7767782807350159,796.835521899,119.0,0.19365279376506805,18555213.0,118,
1765916912.1519349,0.2572347266881029,1.0126855373382568,1e-05,0.7538750171661377,804.976597637,120.0,0.17616496980190277,18729596.0,119,
1765916917.555656,0.25937834941050375,0.9397405385971069,1e-05,0.7733683586120605,810.380354719,121.0,0.19915765523910522,18874599.0,120,
1765916925.0864182,0.2615219721329046,0.947544276714325,1e-05,0.7678970247507095,817.9111047,122.0,0.17231139540672302,19043580.0,121,
1765916930.899295,0.26366559485530544,0.9499984979629517,1e-05,0.7724516093730927,823.723970684,123.0,0.19422456622123718,19188254.0,122,
1765916936.6865973,0.2658092175777063,0.9119558334350586,1e-05,0.7789563089609146,829.511278399,124.0,0.18447144329547882,19336517.0,123,
1765916943.5190172,0.2679528403001072,0.9224292039871216,1e-05,0.7777256071567535,836.343783244,125.0,0.17973147332668304,19494094.0,124,
1765916949.4830215,0.27009646302250806,0.9442764520645142,1e-05,0.7708576321601868,842.307783079,126.0,0.1784677356481552,19648425.0,125,
1765916955.6047728,0.2722400857449089,0.9483515620231628,1e-05,0.7703623622655869,848.429556626,127.0,0.19054760038852692,19798344.0,126,
1765916961.7624242,0.27438370846730975,0.9313021898269653,1e-05,0.7733316272497177,854.587111449,128.0,0.1718994677066803,19955841.0,127,
1765916967.542915,0.2765273311897106,0.9232314229011536,1e-05,0.7771968841552734,860.367611536,129.0,0.17378108203411102,20107598.0,128,
1765916973.1696925,0.27867095391211144,0.9197506308555603,1e-05,0.7793997079133987,865.994368251,130.0,0.17229360342025757,20258362.0,129,
1765916979.5279622,0.2808145766345123,0.9716590642929077,1e-05,0.7637926489114761,872.35270837,131.0,0.16677208244800568,20412165.0,130,
1765916985.011963,0.2829581993569132,0.8984498977661133,1e-05,0.7828333079814911,877.836713765,132.0,0.17657195031642914,20561798.0,131,
1765916991.202885,0.28510182207931406,0.9452269077301025,1e-05,0.7696647495031357,884.027579736,133.0,0.15813899040222168,20720111.0,132,
1765916997.4610543,0.2872454448017149,0.9106886386871338,1e-05,0.7787494659423828,890.285761103,134.0,0.16453707218170166,20876095.0,133,
1765917004.0047476,0.28938906752411575,0.9285001754760742,1e-05,0.7749810367822647,896.829513749,135.0,0.16124019026756287,21031975.0,134,
1765917011.2144089,0.2915326902465166,0.901077389717102,1e-05,0.7794922292232513,904.039203779,136.0,0.16436246037483215,21180614.0,135,
1765917019.6113806,0.2936763129689175,0.9841927289962769,1e-05,0.7611125111579895,912.436123083,137.0,0.15240535140037537,21349138.0,136,
1765917026.7840497,0.2958199356913183,0.9697915315628052,1e-05,0.7623182833194733,919.608808509,138.0,0.14948605000972748,21511590.0,137,
1765917032.8276308,0.2979635584137192,0.937230110168457,1e-05,0.7730622738599777,925.652398897,139.0,0.1608773171901703,21656819.0,138,
1765917038.9739256,0.30010718113612006,0.9542292356491089,1e-05,0.7674341648817062,931.79861506,140.0,0.15215079486370087,21811238.0,139,
1765917045.5361,0.3022508038585209,0.9774105548858643,1e-05,0.7608685046434402,938.360860839,141.0,0.13960692286491394,21980388.0,140,
1765917053.2277992,0.30439442658092175,0.9706496596336365,1e-05,0.7620358765125275,946.052484272,142.0,0.14301568269729614,22142594.0,141,
1765917059.5989904,0.3065380493033226,0.9659689664840698,1e-05,0.7647749036550522,952.423668557,143.0,0.14430047571659088,22299845.0,142,
1765917066.8303046,0.3086816720257235,0.9139574766159058,1e-05,0.7777623236179352,959.654980963,144.0,0.13485854864120483,22465527.0,143,
1765917073.839141,0.3108252947481243,0.8977742195129395,1e-05,0.7821471840143204,966.663815186,145.0,0.14446476101875305,22618289.0,144,
1765917080.1477952,0.3129689174705252,0.9129309058189392,1e-05,0.7781043499708176,972.97256726,146.0,0.14419586956501007,22770622.0,145,
1765917085.9466503,0.31511254019292606,0.8838375210762024,1e-05,0.7835523337125778,978.771329636,147.0,0.1400422751903534,22922597.0,146,
1765917092.5314326,0.3172561629153269,0.9088635444641113,1e-05,0.7775244265794754,985.356098035,148.0,0.1356949806213379,23075685.0,147,
1765917099.2161484,0.31939978563772775,0.913771390914917,1e-05,0.7772384881973267,992.040808809,149.0,0.13591763377189636,23239973.0,148,
1765917107.3987067,0.3215434083601286,0.950898289680481,1e-05,0.7674411535263062,1000.223345018,150.0,0.13256888091564178,23407446.0,149,
1765917113.3459682,0.3236870310825295,0.8787294626235962,1e-05,0.7858978509902954,1006.170649284,151.0,0.14269103109836578,23555395.0,150,
1765917119.5128376,0.3258306538049303,0.9231753945350647,1e-05,0.7771939337253571,1012.337504516,152.0,0.1348087042570114,23712167.0,151,
1765917125.9465973,0.3279742765273312,0.9383642673492432,1e-05,0.769418016076088,1018.771265532,153.0,0.13466346263885498,23869562.0,152,
1765917132.6689286,0.33011789924973206,0.930821418762207,1e-05,0.7699870765209198,1025.493599771,154.0,0.1322496086359024,24027568.0,153,
1765917139.1508052,0.3322615219721329,0.9455221891403198,1e-05,0.7709139883518219,1031.975472799,155.0,0.14096540212631226,24183451.0,154,
1765917146.3146675,0.33440514469453375,0.9149547815322876,1e-05,0.7751696854829788,1039.139348638,156.0,0.1358264684677124,24342400.0,155,
1765917154.350724,0.3365487674169346,0.9437776803970337,1e-05,0.7704601436853409,1047.175380069,157.0,0.13503673672676086,24500736.0,156,
1765917161.8702407,0.3386923901393355,0.9024943709373474,1e-05,0.7784392982721329,1054.694929398,158.0,0.1401132345199585,24652820.0,157,
1765917168.1471426,0.3408360128617363,0.9116820096969604,1e-05,0.7746935337781906,1060.971801399,159.0,0.13235054910182953,24810632.0,158,
1765917175.4716332,0.3429796355841372,0.9032918214797974,1e-05,0.7760040163993835,1068.296316745,160.0,0.1342015564441681,24968589.0,159,
1765917182.140603,0.34512325830653806,0.9398531317710876,1e-05,0.7691712528467178,1074.965263726,161.0,0.13832880556583405,25125017.0,160,
1765917188.572152,0.34726688102893893,0.8761392831802368,1e-05,0.7844647616147995,1081.396823943,162.0,0.13731315732002258,25277188.0,161,
1765917194.5156035,0.34941050375133975,0.8646959066390991,1e-05,0.7876787483692169,1087.340287778,163.0,0.13848021626472473,25430057.0,162,
1765917202.03924,0.3515541264737406,0.8721052408218384,1e-05,0.7877074778079987,1094.863923774,164.0,0.13195115327835083,25583830.0,163,
1765917208.6770175,0.3536977491961415,0.9243738055229187,1e-05,0.7730605006217957,1101.501697838,165.0,0.1343456655740738,25742285.0,164,
1765917216.096864,0.3558413719185423,0.9022037982940674,1e-05,0.776703730225563,1108.92154464,166.0,0.12755218148231506,25907065.0,165,
1765917221.5045302,0.3579849946409432,0.8939687013626099,1e-05,0.7797393500804901,1114.329226874,167.0,0.14274908602237701,26051750.0,166,
1765917227.892516,0.36012861736334406,0.9183721542358398,1e-05,0.7751475125551224,1120.717187167,168.0,0.1338563859462738,26204362.0,167,
1765917235.159676,0.36227224008574493,0.9379898309707642,1e-05,0.769615113735199,1127.984362639,169.0,0.1341124325990677,26364857.0,168,
1765917240.725374,0.36441586280814575,0.9009228944778442,1e-05,0.7788898348808289,1133.55006063,170.0,0.1354062408208847,26513585.0,169,
1765917248.0374224,0.3665594855305466,0.9272310733795166,1e-05,0.7731608897447586,1140.862080611,171.0,0.1280120611190796,26680409.0,170,
1765917253.3205457,0.3687031082529475,0.8784606456756592,1e-05,0.7867866605520248,1146.145220652,172.0,0.14718346297740936,26817383.0,171,
1765917259.3478584,0.3708467309753483,0.9222081899642944,1e-05,0.7749622911214828,1152.172539507,173.0,0.1444171518087387,26962206.0,172,
1765917266.4892843,0.3729903536977492,0.8935818672180176,1e-05,0.7806040495634079,1159.313963443,174.0,0.13018380105495453,27123276.0,173,
1765917273.444366,0.37513397642015006,0.9240554571151733,1e-05,0.771807461977005,1166.269061942,175.0,0.12366699427366257,27290681.0,174,
1765917279.8148882,0.37727759914255093,0.9264886379241943,1e-05,0.771415650844574,1172.639574569,176.0,0.13088171184062958,27449673.0,175,
1765917285.7996452,0.37942122186495175,0.8964259624481201,1e-05,0.7787990123033524,1178.62432637,177.0,0.13263823091983795,27601441.0,176,
1765917292.2615557,0.3815648445873526,0.9122555255889893,1e-05,0.7776600569486618,1185.086212159,178.0,0.13582976162433624,27748300.0,177,
1765917298.6635754,0.3837084673097535,0.866563081741333,1e-05,0.787392646074295,1191.488235598,179.0,0.1359604001045227,27900973.0,178,
1765917305.4170942,0.3858520900321543,0.909725546836853,1e-05,0.7763972282409668,1198.241740394,180.0,0.12929385900497437,28057386.0,179,
1765917312.014192,0.3879957127545552,0.9120549559593201,1e-05,0.7754208892583847,1204.838884729,181.0,0.12620025873184204,28218433.0,180,
1765917319.695712,0.39013933547695606,0.9007706642150879,1e-05,0.7784873992204666,1212.520370898,182.0,0.12670859694480896,28378531.0,181,
1765917324.3978631,0.39228295819935693,0.843397855758667,1e-05,0.7938571572303772,1217.222546358,183.0,0.1435050219297409,28517567.0,182,
1765917330.3601942,0.39442658092175775,0.8674559593200684,1e-05,0.78394715487957,1223.18487628,184.0,0.1299007385969162,28678245.0,183,
1765917337.4675481,0.3965702036441586,0.912165105342865,1e-05,0.7752457410097122,1230.292192488,185.0,0.12077617645263672,28847748.0,184,
1765917343.271879,0.3987138263665595,0.8997126817703247,1e-05,0.7784128189086914,1236.09656773,186.0,0.13069471716880798,29003477.0,185,
