_runtime,train/loss,train/global_step,train/epoch,train/mean_token_accuracy,_timestamp,train/grad_norm,train/num_tokens,train/learning_rate,_step,eval/accuracy
9.709590953,1.6945645809173584,1.0,0.0021436227224008574,0.6562617868185043,1765916129.5234022,0.1324656456708908,136605.0,1e-05,0,
16.516366888,1.6991190910339355,2.0,0.004287245444801715,0.6469215899705887,1765916136.330439,0.12126719206571579,292128.0,1e-05,1,
22.591973199,1.6496727466583252,3.0,0.006430868167202572,0.6618612408638,1765916142.4060717,0.12263823300600052,444535.0,1e-05,2,
28.790477671,1.715123176574707,4.0,0.00857449088960343,0.6471296846866608,1765916148.6046543,0.12911343574523926,592263.0,1e-05,3,
34.564885732,1.6961724758148193,5.0,0.010718113612004287,0.6541445702314377,1765916154.3789673,0.13110552728176117,737019.0,1e-05,4,
41.181224657,1.6458526849746704,6.0,0.012861736334405145,0.6604696959257126,1765916160.9953015,0.12705111503601074,896813.0,1e-05,5,
49.219655662,1.672762393951416,7.0,0.015005359056806002,0.652880534529686,1765916169.0338259,0.12516498565673828,1062679.0,1e-05,6,
55.753485414,1.714087963104248,8.0,0.01714898177920686,0.6455881595611572,1765916175.5675879,0.13983525335788727,1212566.0,1e-05,7,
63.666680196,1.6283912658691406,9.0,0.01929260450160772,0.6611055731773376,1765916183.4808033,0.13175322115421295,1373797.0,1e-05,8,
69.987011484,1.7246770858764648,10.0,0.021436227224008574,0.6474060714244843,1765916189.801099,0.1499345600605011,1516877.0,1e-05,9,
76.320602335,1.7078219652175903,11.0,0.023579849946409433,0.6480877846479416,1765916196.1347206,0.14987222850322723,1663977.0,1e-05,10,
82.330098054,1.6446186304092407,12.0,0.02572347266881029,0.6623298823833466,1765916202.144258,0.14772240817546844,1815907.0,1e-05,11,
89.276893076,1.6300244331359863,13.0,0.027867095391211148,0.6621820628643036,1765916209.0910864,0.14895309507846832,1971911.0,1e-05,12,
96.30141039,1.641324758529663,14.0,0.030010718113612004,0.6581689566373825,1765916216.1155064,0.1494685858488083,2135596.0,1e-05,13,
103.301163573,1.658271312713623,15.0,0.03215434083601286,0.6547673940658569,1765916223.1153638,0.162017360329628,2285621.0,1e-05,14,
110.644662764,1.6453830003738403,16.0,0.03429796355841372,0.6580124497413635,1765916230.4588747,0.15995538234710693,2441090.0,1e-05,15,
117.105663942,1.6358122825622559,17.0,0.03644158628081458,0.6617409437894821,1765916236.9198668,0.1668025255203247,2591858.0,1e-05,16,
124.757017556,1.6103521585464478,18.0,0.03858520900321544,0.6586935371160507,1765916244.5712063,0.16263261437416077,2754012.0,1e-05,17,
131.900106287,1.6078978776931763,19.0,0.04072883172561629,0.6601302474737167,1765916251.7143338,0.16384197771549225,2916829.0,1e-05,18,
138.112837471,1.7120282649993896,20.0,0.04287245444801715,0.6427161693572998,1765916257.9270098,0.18722091615200043,3061305.0,1e-05,19,
144.376892022,1.6164867877960205,21.0,0.04501607717041801,0.6597775369882584,1765916264.1910582,0.17447134852409363,3219127.0,1e-05,20,
151.386243793,1.605955958366394,22.0,0.04715969989281887,0.6607557684183121,1765916271.2004406,0.1756158322095871,3380158.0,1e-05,21,
157.697691763,1.6034964323043823,23.0,0.04930332261521972,0.6619777828454971,1765916277.5118706,0.176840677857399,3539898.0,1e-05,22,
162.631647876,1.6341651678085327,24.0,0.05144694533762058,0.6553422808647156,1765916282.4458513,0.19279593229293823,3689574.0,1e-05,23,
170.349264908,1.6006011962890625,25.0,0.05359056806002144,0.6580990552902222,1765916290.1634738,0.17560583353042603,3855970.0,1e-05,24,
177.012896323,1.5588178634643555,26.0,0.055734190782422297,0.6674204915761948,1765916296.8271072,0.1740894913673401,4018658.0,1e-05,25,
183.719031662,1.6715748310089111,27.0,0.05787781350482315,0.643868699669838,1765916303.5332077,0.1898016631603241,4171160.0,1e-05,26,
189.017480721,1.6078816652297974,28.0,0.06002143622722401,0.6597310900688171,1765916308.8316672,0.1949048489332199,4314298.0,1e-05,27,
195.196388742,1.5796923637390137,29.0,0.06216505894962487,0.6603326350450516,1765916315.0104382,0.18450748920440674,4468546.0,1e-05,28,
202.426419184,1.5727778673171997,30.0,0.06430868167202572,0.6601646840572357,1765916322.240598,0.16991698741912842,4635984.0,1e-05,29,
208.392177276,1.5478909015655518,31.0,0.06645230439442658,0.6675944477319717,1765916328.206257,0.18019524216651917,4790352.0,1e-05,30,
215.500045821,1.5506466627120972,32.0,0.06859592711682744,0.6629532128572464,1765916335.3141973,0.1692192554473877,4956096.0,1e-05,31,
221.266045356,1.5412648916244507,33.0,0.0707395498392283,0.6671638041734695,1765916341.0802767,0.18302752077579498,5107640.0,1e-05,32,
227.714479338,1.5121692419052124,34.0,0.07288317256162916,0.670159637928009,1765916347.5285132,0.17423713207244873,5265237.0,1e-05,33,
234.029394978,1.5101168155670166,35.0,0.07502679528403002,0.6705699563026428,1765916353.8435848,0.1761268973350525,5419378.0,1e-05,34,
239.915392048,1.509382724761963,36.0,0.07717041800643087,0.6679943650960922,1765916359.7295783,0.17406104505062103,5576075.0,1e-05,35,
245.156746805,1.5568928718566895,37.0,0.07931404072883172,0.6605651527643204,1765916364.970886,0.18727804720401764,5720029.0,1e-05,36,
252.198519415,1.4813002347946167,38.0,0.08145766345123258,0.6725637167692184,1765916372.0126987,0.16406606137752533,5884915.0,1e-05,37,
258.605516362,1.5343284606933594,39.0,0.08360128617363344,0.6625394374132156,1765916378.4196987,0.18123842775821686,6032758.0,1e-05,38,
264.829870568,1.507381558418274,40.0,0.0857449088960343,0.6671402454376221,1765916384.6440587,0.17150764167308807,6187550.0,1e-05,39,
272.517088718,1.4718337059020996,41.0,0.08788853161843516,0.6707504838705063,1765916392.3312745,0.16135720908641815,6355408.0,1e-05,40,
279.450664217,1.475069522857666,42.0,0.09003215434083602,0.6695273965597153,1765916399.2647755,0.162661612033844,6519771.0,1e-05,41,
285.561670093,1.4767251014709473,43.0,0.09217577706323687,0.6715207397937775,1765916405.3758059,0.17295889556407928,6672296.0,1e-05,42,
294.190060738,1.465722918510437,44.0,0.09431939978563773,0.670162171125412,1765916414.0041673,0.1553301215171814,6843136.0,1e-05,43,
301.387059363,1.5106806755065918,45.0,0.09646302250803858,0.6608985960483551,1765916421.2012296,0.17520955204963684,6993296.0,1e-05,44,
307.977088839,1.4627063274383545,46.0,0.09860664523043944,0.6755365133285522,1765916427.7912774,0.17434224486351013,7142356.0,1e-05,45,
313.654373082,1.4455146789550781,47.0,0.1007502679528403,0.6769059300422668,1765916433.4685109,0.1737981140613556,7294167.0,1e-05,46,
321.880804041,1.4510143995285034,48.0,0.10289389067524116,0.671546146273613,1765916441.6949952,0.15135009586811066,7470762.0,1e-05,47,
329.615654299,1.419600248336792,49.0,0.10503751339764202,0.6819057762622833,1765916449.4297369,0.16824711859226227,7629052.0,1e-05,48,
334.974675419,1.4167652130126953,50.0,0.10718113612004287,0.6806354969739914,1765916454.788853,0.17604222893714905,7779609.0,1e-05,49,
341.571767107,1.4458974599838257,51.0,0.10932475884244373,0.6752065718173981,1765916461.385997,0.18046411871910095,7927458.0,1e-05,50,
347.212411412,1.4132953882217407,52.0,0.11146838156484459,0.6826004236936569,1765916467.0266151,0.17979082465171814,8078023.0,1e-05,51,
353.163180535,1.4100711345672607,53.0,0.11361200428724544,0.6833614557981491,1765916472.9772954,0.18028321862220764,8230483.0,1e-05,52,
359.486517113,1.3968901634216309,54.0,0.1157556270096463,0.6873152405023575,1765916479.3006973,0.18910209834575653,8375984.0,1e-05,53,
366.50034057,1.4024001359939575,55.0,0.11789924973204716,0.6806216239929199,1765916486.3144927,0.1532265692949295,8547262.0,1e-05,54,
373.447091062,1.408453345298767,56.0,0.12004287245444802,0.6821267753839493,1765916493.261164,0.1531623899936676,8704936.0,1e-05,55,
380.495103343,1.349483847618103,57.0,0.12218649517684887,0.6943713873624802,1765916500.309321,0.1193016991019249,8867795.0,1e-05,56,
386.458933356,1.380732774734497,58.0,0.12433011789924973,0.687610313296318,1765916506.2730129,0.12192491441965103,9019339.0,1e-05,57,
392.879976425,1.3336248397827148,59.0,0.1264737406216506,0.6957604140043259,1765916512.694086,0.106498584151268,9189045.0,1e-05,58,
399.094828905,1.32466459274292,60.0,0.12861736334405144,0.6955770552158356,1765916518.9089308,0.11018602550029755,9353955.0,1e-05,59,
406.121147111,1.318695068359375,61.0,0.1307609860664523,0.7030011266469955,1765916525.9353354,0.11923956871032715,9504744.0,1e-05,60,
413.198813547,1.3763189315795898,62.0,0.13290460878885316,0.6835388094186783,1765916533.0129771,0.11454898118972778,9662901.0,1e-05,61,
418.812130027,1.3006720542907715,63.0,0.13504823151125403,0.704078808426857,1765916538.626358,0.12622904777526855,9809122.0,1e-05,62,
425.834350164,1.3048598766326904,64.0,0.13719185423365488,0.7024034559726715,1765916545.6485152,0.11727971583604813,9968473.0,1e-05,63,
432.995211775,1.3485864400863647,65.0,0.13933547695605572,0.6933268308639526,1765916552.8093896,0.11972136050462723,10119334.0,1e-05,64,
438.112312472,1.3336060047149658,66.0,0.1414790996784566,0.6975262612104416,1765916557.9265144,0.1299702376127243,10259437.0,1e-05,65,
445.893928159,1.325506329536438,67.0,0.14362272240085744,0.6973202377557755,1765916565.708097,0.11562523990869522,10416011.0,1e-05,66,
451.209602138,1.3236404657363892,68.0,0.1457663451232583,0.6985273212194443,1765916571.0238116,0.11878035962581635,10566185.0,1e-05,67,
456.732577136,1.2901148796081543,69.0,0.14790996784565916,0.705960288643837,1765916576.5467675,0.1198829934000969,10715715.0,1e-05,68,
464.780971877,1.261922836303711,70.0,0.15005359056806003,0.7094072103500366,1765916584.5951712,0.1072314977645874,10880059.0,1e-05,69,
470.113703023,1.2561769485473633,71.0,0.15219721329046088,0.7107081413269043,1765916589.9278824,0.11071658134460449,11036249.0,1e-05,70,
