train/loss,train/global_step,_step,train/mean_token_accuracy,_timestamp,train/epoch,train/grad_norm,train/num_tokens,_runtime,train/learning_rate,eval/accuracy
1.6945645809173584,1.0,0,0.6562617868185043,1765916132.3405793,0.0021436227224008574,1.1074247360229492,136605.0,9.814232595,1e-05,
1.69968581199646,2.0,1,0.6468856930732727,1765916139.3625872,0.004287245444801715,1.0144983530044556,292128.0,16.835963259,1e-05,
1.6488467454910278,3.0,2,0.6619914621114731,1765916145.5341926,0.006430868167202572,1.024112343788147,444535.0,23.007544991,1e-05,
1.715122103691101,4.0,3,0.6468666195869446,1765916151.822748,0.00857449088960343,1.0861575603485107,592263.0,29.296103193,1e-05,
1.694483995437622,5.0,4,0.6540790051221848,1765916157.7014225,0.010718113612004287,1.0910985469818115,737019.0,35.174786423,1e-05,
1.643607497215271,6.0,5,0.6613779962062836,1765916164.3637927,0.012861736334405145,1.0624579191207886,896813.0,41.837150199999996,1e-05,
1.6699678897857666,7.0,6,0.6525415480136871,1765916172.4569073,0.015005359056806002,1.0313959121704102,1062679.0,49.930251569,1e-05,
1.7108689546585083,8.0,7,0.645675539970398,1765916179.0305378,0.01714898177920686,1.1443010568618774,1212566.0,56.503905623,1e-05,
1.6239820718765259,9.0,8,0.6611767113208771,1765916187.028761,0.01929260450160772,1.0778040885925293,1373797.0,64.502118334,1e-05,
1.7194836139678955,10.0,9,0.6481146514415741,1765916193.466101,0.021436227224008574,1.214911937713623,1516877.0,70.939431429,1e-05,
1.704726219177246,11.0,10,0.6472665220499039,1765916199.9380295,0.023579849946409433,1.2231009006500244,1663977.0,77.411359643,1e-05,
1.6396901607513428,12.0,11,0.6624301224946976,1765916205.9609444,0.02572347266881029,1.2256455421447754,1815907.0,83.434292661,1e-05,
1.6244885921478271,13.0,12,0.6627609133720398,1765916212.976637,0.027867095391211148,1.2194560766220093,1971911.0,90.449940514,1e-05,
1.6340497732162476,14.0,13,0.6585123836994171,1765916220.090163,0.030010718113612004,1.2103707790374756,2135596.0,97.563519898,1e-05,
1.6520721912384033,15.0,14,0.653913214802742,1765916227.0549395,0.03215434083601286,1.3015938997268677,2285621.0,104.528273093,1e-05,
1.6366678476333618,16.0,15,0.6580159515142441,1765916234.4997888,0.03429796355841372,1.2714048624038696,2441090.0,111.973170033,1e-05,
1.6273441314697266,17.0,16,0.662101998925209,1765916241.1052835,0.03644158628081458,1.324954628944397,2591858.0,118.578675924,1e-05,
1.6016088724136353,18.0,17,0.6588961035013199,1765916248.8066466,0.03858520900321544,1.2831311225891113,2754012.0,126.280015148,1e-05,
1.6000025272369385,19.0,18,0.6616157293319702,1765916256.042201,0.04072883172561629,1.2908822298049927,2916829.0,133.515565894,1e-05,
1.703394889831543,20.0,19,0.6435489505529404,1765916262.338806,0.04287245444801715,1.4644588232040405,3061305.0,139.812151007,1e-05,
1.6068475246429443,21.0,20,0.6605031043291092,1765916268.7007399,0.04501607717041801,1.3574082851409912,3219127.0,146.174080292,1e-05,
1.5925240516662598,22.0,21,0.662171795964241,1765916275.7227497,0.04715969989281887,1.347614049911499,3380158.0,153.196097017,1e-05,
1.5894739627838135,23.0,22,0.6631228923797607,1765916282.1596255,0.04930332261521972,1.3472156524658203,3539898.0,159.632987967,1e-05,
1.616426944732666,24.0,23,0.6567306071519852,1765916287.1288419,0.05144694533762058,1.4334388971328735,3689574.0,164.602191084,1e-05,
1.5870895385742188,25.0,24,0.6592264473438263,1765916294.9423203,0.05359056806002144,1.3164900541305542,3855970.0,172.415654834,1e-05,
1.5456082820892334,26.0,25,0.6686475723981857,1765916301.5992792,0.055734190782422297,1.3142532110214233,4018658.0,179.072620849,1e-05,
1.6572784185409546,27.0,26,0.6457462906837463,1765916308.3874135,0.05787781350482315,1.4210388660430908,4171160.0,185.860768728,1e-05,
1.5960936546325684,28.0,27,0.6600885391235352,1765916313.749612,0.06002143622722401,1.4800578355789185,4314298.0,191.222958006,1e-05,
1.566936731338501,29.0,28,0.6615450233221054,1765916320.077418,0.06216505894962487,1.4032548666000366,4468546.0,197.550775212,1e-05,
1.5596063137054443,30.0,29,0.6608551889657974,1765916327.3508184,0.06430868167202572,1.2782036066055298,4635984.0,204.824164537,1e-05,
1.5356265306472778,31.0,30,0.6687878221273422,1765916333.417633,0.06645230439442658,1.3548095226287842,4790352.0,210.890988684,1e-05,
1.5374305248260498,32.0,31,0.6637387722730637,1765916340.592878,0.06859592711682744,1.2722848653793335,4956096.0,218.066255066,1e-05,
1.5264455080032349,33.0,32,0.6677661240100861,1765916346.3907285,0.0707395498392283,1.3603848218917847,5107640.0,223.864089729,1e-05,
1.4971837997436523,34.0,33,0.6714149415493011,1765916352.9428809,0.07288317256162916,1.3012398481369019,5265237.0,230.416232244,1e-05,
1.4954471588134766,35.0,34,0.6722176969051361,1765916359.3219078,0.07502679528403002,1.3149179220199585,5419378.0,236.795267981,1e-05,
1.4949803352355957,36.0,35,0.6691581606864929,1765916365.2538803,0.07717041800643087,1.2951592206954956,5576075.0,242.727227511,1e-05,
1.5436631441116333,37.0,36,0.6638193577528,1765916370.6003122,0.07931404072883172,1.400030493736267,5720029.0,248.073709198,1e-05,
1.46764075756073,38.0,37,0.675162062048912,1765916377.793974,0.08145766345123258,1.234952688217163,5884915.0,255.267283475,1e-05,
1.519078254699707,39.0,38,0.6647015810012817,1765916384.2906601,0.08360128617363344,1.3592544794082642,6032758.0,261.76400643,1e-05,
1.4924240112304688,40.0,39,0.6694258600473404,1765916390.5340424,0.0857449088960343,1.2890733480453491,6187550.0,268.00741885,1e-05,
