_timestamp,train/global_step,train/mean_token_accuracy,train/loss,train/epoch,train/learning_rate,_runtime,train/grad_norm,_step,train/num_tokens,eval/accuracy
1765916122.7498856,1.0,0.6562617868185043,1.6945645809173584,0.0021436227224008574,0.0001,7.752411311,0.5013050436973572,0,136605.0,
1765916129.5650587,2.0,0.6476729214191437,1.690540075302124,0.004287245444801715,0.0001,14.567379205,0.5318468809127808,1,292128.0,
1765916135.4981017,3.0,0.6646256744861603,1.615784764289856,0.006430868167202572,0.0001,20.500381441000002,0.6874908804893494,2,444535.0,
1765916141.6578562,4.0,0.652317151427269,1.6358239650726318,0.00857449088960343,0.0001,26.660166517,0.8070361614227295,3,592263.0,
1765916147.4078925,5.0,0.6620812267065048,1.56400465965271,0.010718113612004287,0.0001,32.410170296,0.7826714515686035,4,737019.0,
1765916153.9162009,6.0,0.6757584065198898,1.4704475402832031,0.012861736334405145,0.0001,38.918503028,0.6804829239845276,5,896813.0,
1765916161.8044956,7.0,0.6744635552167892,1.4559211730957031,0.015005359056806002,0.0001,46.806777278,0.6261112689971924,6,1062679.0,
1765916168.2556608,8.0,0.6770792007446289,1.4295542240142822,0.01714898177920686,0.0001,53.257948455,0.7311672568321228,7,1212566.0,
1765916176.0538661,9.0,0.6928489357233047,1.331524133682251,0.01929260450160772,0.0001,61.056143962,0.3549492061138153,8,1373797.0,
1765916182.3312373,10.0,0.6923842579126358,1.351883053779602,0.021436227224008574,0.0001,67.333552649,0.42156079411506653,9,1516877.0,
1765916188.6660273,11.0,0.6978705823421478,1.3125911951065063,0.023579849946409433,0.0001,73.668312458,0.7961673736572266,10,1663977.0,
1765916194.5944958,12.0,0.7214615643024445,1.2195870876312256,0.02572347266881029,0.0001,79.596795712,0.5434741973876953,11,1815907.0,
1765916201.4938095,13.0,0.7286299169063568,1.1821023225784302,0.027867095391211148,0.0001,86.496114356,0.6213755011558533,12,1971911.0,
1765916208.3778894,14.0,0.7276532500982285,1.1731503009796143,0.030010718113612004,0.0001,93.380186043,0.4672250747680664,13,2135596.0,
1765916215.1771288,15.0,0.7369372993707657,1.116344928741455,0.03215434083601286,0.0001,100.17940581,0.7089089751243591,14,2285621.0,
1765916222.444675,16.0,0.7449122816324234,1.0857973098754883,0.03429796355841372,0.0001,107.446973219,0.5180784463882446,15,2441090.0,
1765916228.8496048,17.0,0.7589036673307419,1.0262787342071533,0.03644158628081458,0.0001,113.851882934,0.4683625102043152,16,2591858.0,
1765916236.352899,18.0,0.7548878341913223,1.0201489925384521,0.03858520900321544,0.0001,121.355183191,0.44065210223197937,17,2754012.0,
1765916243.4256523,19.0,0.7618280500173569,1.000882863998413,0.04072883172561629,0.0001,128.427936954,0.4280163049697876,18,2916829.0,
1765916249.6010222,20.0,0.7581662684679031,1.0173373222351074,0.04287245444801715,0.0001,134.603308492,0.43479669094085693,19,3061305.0,
1765916255.859673,21.0,0.7669140547513962,0.9653385877609253,0.04501607717041801,0.0001,140.861934084,0.3900526165962219,20,3219127.0,
1765916262.7357984,22.0,0.7679324597120285,0.9567022323608398,0.04715969989281887,0.0001,147.738098685,0.2891838252544403,21,3380158.0,
1765916269.0214763,23.0,0.7715834230184555,0.9481693506240845,0.04930332261521972,0.0001,154.023753196,0.2703627645969391,22,3539898.0,
1765916273.888086,24.0,0.7731852829456329,0.9292158484458923,0.05144694533762058,0.0001,158.890373886,0.27421632409095764,23,3689574.0,
1765916281.5027092,25.0,0.7643673121929169,0.9658445119857788,0.05359056806002144,0.0001,166.504976323,0.22229386866092682,24,3855970.0,
1765916288.0034199,26.0,0.7767644822597504,0.9103690981864929,0.055734190782422297,0.0001,173.0056967,0.21251586079597473,25,4018658.0,
1765916294.669219,27.0,0.7592219263315201,0.9848430156707764,0.05787781350482315,0.0001,179.67150517,0.218517005443573,26,4171160.0,
1765916299.9393375,28.0,0.7834104746580124,0.8787920475006104,0.06002143622722401,0.0001,184.941620116,0.20242257416248322,27,4314298.0,
1765916306.0797758,29.0,0.7776641398668289,0.9002526998519897,0.06216505894962487,0.0001,191.082029273,0.17775322496891022,28,4468546.0,
1765916313.2386293,30.0,0.7665586173534393,0.9534357786178589,0.06430868167202572,0.0001,198.240898552,0.16027431190013885,29,4635984.0,
1765916319.2172601,31.0,0.7836496978998184,0.8791593313217163,0.06645230439442658,0.0001,204.219519493,0.16842806339263916,30,4790352.0,
1765916326.2732184,32.0,0.7707134038209915,0.9310588836669922,0.06859592711682744,0.0001,211.275509314,0.13186784088611603,31,4956096.0,
1765916331.9437647,33.0,0.7848576009273529,0.8654303550720215,0.0707395498392283,0.0001,216.946063693,0.13121865689754486,32,5107640.0,
1765916338.3748915,34.0,0.783109724521637,0.8731515407562256,0.07288317256162916,0.0001,223.377176916,0.11824921518564224,33,5265237.0,
1765916344.581694,35.0,0.7853947132825851,0.8610265851020813,0.07502679528403002,0.0001,229.583983595,0.1174955666065216,34,5419378.0,
1765916350.340817,36.0,0.7800485044717789,0.8743733167648315,0.07717041800643087,0.0001,235.343100256,0.10962661355733871,35,5576075.0,
1765916355.6222684,37.0,0.7851729840040207,0.8701263666152954,0.07931404072883172,0.0001,240.624556737,0.12198805809020996,36,5720029.0,
1765916362.661893,38.0,0.7805273532867432,0.8862107992172241,0.08145766345123258,0.0001,247.664183446,0.12386748194694519,37,5884915.0,
1765916368.9665797,39.0,0.780298501253128,0.8800878524780273,0.08360128617363344,0.0001,253.968870273,0.11138699948787689,38,6032758.0,
