_step,train/global_step,train/loss,train/epoch,train/learning_rate,_runtime,train/num_tokens,train/mean_token_accuracy,_timestamp,train/grad_norm,eval/accuracy
0,1.0,1.670913815498352,0.0021436227224008574,0.001,44.332048337,136605.0,0.6688115298748016,1765916609.2581697,0.1278184950351715,
1,2.0,1.4100871086120605,0.004287245444801715,0.001,81.838406701,292128.0,0.6837925612926483,1765916646.7648275,0.12311632931232452,
2,3.0,1.9061834812164307,0.006430868167202572,0.001,113.514124936,444535.0,0.639146476984024,1765916678.4405224,0.7576160430908203,
3,4.0,1.2979369163513184,0.00857449088960343,0.001,142.35247834,592263.0,0.7023135125637054,1765916707.2788682,0.4328303039073944,
4,5.0,1.0007067918777466,0.010718113612004287,0.001,171.784966894,737019.0,0.7506002187728882,1765916736.7113724,0.13143645226955414,
5,6.0,1.1855127811431885,0.012861736334405145,0.001,205.896737043,896813.0,0.7312645614147186,1765916770.8231335,0.3436301350593567,
6,7.0,1.0979692935943604,0.015005359056806002,0.001,244.359667706,1062679.0,0.7518714666366577,1765916809.286058,0.2051844745874405,
7,8.0,1.0176570415496826,0.01714898177920686,0.001,277.047450342,1212566.0,0.7642217874526978,1765916841.9738414,0.2042791098356247,
8,9.0,0.933833122253418,0.01929260450160772,0.001,317.659359577,1373797.0,0.772711992263794,1765916882.5857546,0.11012065410614014,
9,10.0,0.9030605554580688,0.021436227224008574,0.001,353.263354956,1516877.0,0.7731873691082001,1765916918.1897497,0.12425003200769424,
10,11.0,0.8958965539932251,0.023579849946409433,0.001,385.250299036,1663977.0,0.7759067118167877,1765916950.1766887,0.3895081877708435,
11,12.0,0.8236753940582275,0.02572347266881029,0.001,417.503549298,1815907.0,0.7921793460845947,1765916982.4299486,0.07231840491294861,
12,13.0,0.8218942880630493,0.027867095391211148,0.001,454.008097746,1971911.0,0.7930302321910858,1765917018.934506,0.05469641089439392,
13,14.0,0.8638277053833008,0.030010718113612004,0.001,490.376065464,2135596.0,0.7804282903671265,1765917055.3025112,0.059028510004282,
14,15.0,0.8296328783035278,0.03215434083601286,0.001,523.316260682,2285621.0,0.7900255620479584,1765917088.2426226,0.14506255090236664,
15,16.0,0.888354480266571,0.03429796355841372,0.001,557.414598146,2441090.0,0.78315269947052,1765917122.340991,0.2105097472667694,
16,17.0,0.8105418682098389,0.03644158628081458,0.001,591.272467764,2591858.0,0.7957877516746521,1765917156.198885,0.13476039469242096,
17,18.0,0.8463020920753479,0.03858520900321544,0.001,626.780117959,2754012.0,0.7839354872703552,1765917191.706519,0.08983433991670609,
18,19.0,0.8267927169799805,0.04072883172561629,0.001,661.998407805,2916829.0,0.786971777677536,1765917226.9248285,0.1317550092935562,
19,20.0,0.846264660358429,0.04287245444801715,0.001,695.092751913,3061305.0,0.7862091362476349,1765917260.0191586,0.07303200662136078,
20,21.0,0.814669668674469,0.04501607717041801,0.001,726.390365986,3219127.0,0.7933855950832367,1765917291.3167732,0.08007174730300903,
21,22.0,0.7968701124191284,0.04715969989281887,0.001,763.818889798,3380158.0,0.7920022010803223,1765917328.7453163,0.08874320983886719,
22,23.0,0.8032354712486267,0.04930332261521972,0.001,795.542036562,3539898.0,0.7928787171840668,1765917360.468493,0.07823842763900757,
23,24.0,0.7961449027061462,0.05144694533762058,0.001,819.413417257,3689574.0,0.7961597740650177,1765917384.3398056,0.06744445860385895,
24,25.0,0.8086227774620056,0.05359056806002144,0.001,859.319304648,3855970.0,0.7873214185237885,1765917424.2456934,0.07252085208892822,
25,26.0,0.7623435854911804,0.055734190782422297,0.001,892.04716257,4018658.0,0.8007218539714813,1765917456.973568,0.22341327369213104,
26,27.0,0.8287261724472046,0.05787781350482315,0.001,928.492514528,4171160.0,0.7858873009681702,1765917493.418899,0.09623942524194717,
27,28.0,0.7266604900360107,0.06002143622722401,0.001,954.198660943,4314298.0,0.8088625967502594,1765917519.125036,0.10096898674964905,
28,29.0,0.7645936012268066,0.06216505894962487,0.001,984.47546738,4468546.0,0.7987606525421143,1765917549.401866,0.14565333724021912,
29,30.0,0.8130884170532227,0.06430868167202572,0.001,1022.108931872,4635984.0,0.7896417379379272,1765917587.035345,0.051988326013088226,
30,31.0,0.7538123726844788,0.06645230439442658,0.001,1049.863930111,4790352.0,0.8054077327251434,1765917614.7903116,0.07204718142747879,
31,32.0,0.8326850533485413,0.06859592711682744,0.001,1083.609573786,4956096.0,0.7906370759010315,1765917648.5359523,0.7271034717559814,
32,33.0,0.7607834339141846,0.0707395498392283,0.001,1110.545950841,5107640.0,0.8058681786060333,1765917675.472399,0.13059532642364502,
33,34.0,0.7597572803497314,0.07288317256162916,0.001,1144.196652323,5265237.0,0.8017740547657013,1765917709.123074,0.0805700272321701,
34,35.0,0.729621171951294,0.07502679528403002,0.001,1177.068189394,5419378.0,0.8081398010253906,1765917741.994589,0.07354458421468735,
35,36.0,0.7551862001419067,0.07717041800643087,0.001,1206.721413873,5576075.0,0.8014301359653473,1765917771.6477077,0.3127537667751312,
36,37.0,0.736799418926239,0.07931404072883172,0.001,1233.524145006,5720029.0,0.8053118288516998,1765917798.4505506,0.0976424291729927,
37,38.0,0.7819124460220337,0.08145766345123258,0.001,1269.367249586,5884915.0,0.8000946938991547,1765917834.293577,0.388877272605896,
38,39.0,0.7458139657974243,0.08360128617363344,0.001,1303.522652457,6032758.0,0.803761750459671,1765917868.448998,0.2820103168487549,
39,40.0,0.7606722712516785,0.0857449088960343,0.001,1334.503530143,6187550.0,0.7997449338436127,1765917899.4299297,0.1082439124584198,
40,41.0,0.7796121835708618,0.08788853161843516,0.001,1372.656209082,6355408.0,0.7938752472400665,1765917937.5826035,0.06273233145475388,
41,42.0,0.770763635635376,0.09003215434083602,0.001,1406.346203679,6519771.0,0.7960069179534912,1765917971.2726321,0.04910661280155182,
42,43.0,0.7286674380302429,0.09217577706323687,0.001,1436.565390106,6672296.0,0.8053059279918671,1765918001.4918046,0.20929338037967682,
43,44.0,0.7842885255813599,0.09431939978563773,0.001,1476.984289235,6843136.0,0.7924773097038269,1765918041.910698,0.14889930188655853,
44,45.0,0.7588082551956177,0.09646302250803858,0.001,1517.066940134,6993296.0,0.7965551614761353,1765918081.993358,0.06241059675812721,
45,46.0,0.7107713222503662,0.09860664523043944,0.001,1553.05042146,7142356.0,0.80937659740448,1765918117.9768405,0.022017497569322586,
46,47.0,0.7144924402236938,0.1007502679528403,0.001,1581.735056268,7294167.0,0.8086888492107391,1765918146.6614058,0.04234003648161888,
47,48.0,0.8151699900627136,0.10289389067524116,0.001,1623.149371796,7470762.0,0.7863152623176575,1765918188.0757914,0.02979094721376896,
48,49.0,0.7258014678955078,0.10503751339764202,0.001,1662.992590647,7629052.0,0.8058731853961945,1765918227.9190328,0.03439367562532425,
49,50.0,0.7057671546936035,0.10718113612004287,0.001,1688.979237611,7779609.0,0.8117815852165222,1765918253.9056232,0.03195686638355255,
50,51.0,0.7284591794013977,0.10932475884244373,0.001,1724.191939367,7927458.0,0.8050828874111176,1765918289.1183574,0.035065848380327225,
51,52.0,0.7088742256164551,0.11146838156484459,0.001,1752.639008053,8078023.0,0.8101380467414856,1765918317.5654356,0.06472955644130707,
52,53.0,0.7193608283996582,0.11361200428724544,0.001,1782.68105956,8230483.0,0.8068770170211792,1765918347.6074705,0.04005686566233635,
53,54.0,0.6906279921531677,0.1157556270096463,0.001,1813.89620485,8375984.0,0.8143223226070404,1765918378.822598,0.0221547894179821,
54,55.0,0.7856619358062744,0.11789924973204716,0.001,1849.617251719,8547262.0,0.7911646068096161,1765918414.5436578,0.03111906722187996,
55,56.0,0.757959246635437,0.12004287245444802,0.001,1883.664254757,8704936.0,0.7984945774078369,1765918448.590668,0.019870931282639503,
56,57.0,0.7217604517936707,0.12218649517684887,0.001,1919.108835275,8867795.0,0.8068151772022247,1765918484.035249,0.028336914256215096,
57,58.0,0.7279157638549805,0.12433011789924973,0.001,1947.425054092,9019339.0,0.8043070733547211,1765918512.3514645,0.017241591587662697,
58,59.0,0.7391316890716553,0.1264737406216506,0.001,1983.637580258,9189045.0,0.8031209409236908,1765918548.5640213,0.02592233195900917,
59,60.0,0.7221126556396484,0.12861736334405144,0.001,2014.692465294,9353955.0,0.806108295917511,1765918579.618886,0.018931636586785316,
60,61.0,0.6781323552131653,0.1307609860664523,0.001,2052.296976464,9504744.0,0.819207102060318,1765918617.2233992,0.02893853187561035,
61,62.0,0.768244743347168,0.13290460878885316,0.001,2088.136804835,9662901.0,0.7947812676429749,1765918653.0632179,0.03201546147465706,
62,63.0,0.6600595116615295,0.13504823151125403,0.001,2117.146604061,9809122.0,0.8207133114337921,1765918682.07292,0.017913443967700005,
63,64.0,0.7143020033836365,0.13719185423365488,0.001,2155.829178311,9968473.0,0.8104553520679474,1765918720.7555897,0.02722153440117836,
64,65.0,0.7374387979507446,0.13933547695605572,0.001,2192.848362131,10119334.0,0.8034074306488037,1765918757.774761,0.02741164341568947,
65,66.0,0.6924750804901123,0.1414790996784566,0.001,2216.889687444,10259437.0,0.8147893249988556,1765918781.8161132,0.038453005254268646,
66,67.0,0.7488361597061157,0.14362272240085744,0.001,2257.297012155,10416011.0,0.8017053604125977,1765918822.2233572,0.031329333782196045,
67,68.0,0.7309169769287109,0.1457663451232583,0.001,2286.256273238,10566185.0,0.8044849336147308,1765918851.182583,0.03083336539566517,
68,69.0,0.703708291053772,0.14790996784565916,0.001,2315.785632755,10715715.0,0.8122527003288269,1765918880.7120361,0.029803190380334854,
69,70.0,0.718476414680481,0.15005359056806003,0.001,2353.151663901,10880059.0,0.8068170547485352,1765918918.0780468,0.027522511780261993,
70,71.0,0.706048309803009,0.15219721329046088,0.001,2381.312715222,11036249.0,0.809234231710434,1765918946.2391765,0.027164679020643234,
71,72.0,0.7212798595428467,0.15434083601286175,0.001,2413.208941476,11186751.0,0.8058100342750549,1765918978.1353698,0.027808023616671562,
72,73.0,0.7483317852020264,0.1564844587352626,0.001,2448.709165917,11356082.0,0.7982532978057861,1765919013.635581,0.0217391699552536,
73,74.0,0.7293128967285156,0.15862808145766344,0.001,2480.707748914,11514483.0,0.8045749962329865,1765919045.6342328,0.028042022138834,
74,75.0,0.7126168012619019,0.1607717041800643,0.001,2510.136239137,11663606.0,0.8070665895938873,1765919075.0626376,0.022893430665135384,
75,76.0,0.7199569344520569,0.16291532690246516,0.001,2546.950955052,11816781.0,0.8059523403644562,1765919111.8773491,0.0272575281560421,
76,77.0,0.728829026222229,0.16505894962486603,0.001,2577.435929641,11978438.0,0.8041508197784424,1765919142.3623128,0.02268252708017826,
77,78.0,0.7002823352813721,0.16720257234726688,0.001,2607.42436097,12137976.0,0.8108282387256622,1765919172.350803,0.020731961354613304,
78,79.0,0.7302604913711548,0.16934619506966775,0.001,2640.171698584,12295505.0,0.806942492723465,1765919205.098141,0.021601229906082153,
79,80.0,0.7354580163955688,0.1714898177920686,0.001,2672.80921527,12452019.0,0.8021703064441681,1765919237.7355342,0.021038955077528954,
80,81.0,0.747463583946228,0.17363344051446947,0.001,2709.78798655,12611435.0,0.7995623350143433,1765919274.7143893,0.021976688876748085,
81,82.0,0.6818681359291077,0.1757770632368703,0.001,2747.502397994,12770621.0,0.8161477744579315,1765919312.4286969,0.01705135591328144,
82,83.0,0.7097270488739014,0.17792068595927116,0.001,2775.187481055,12917873.0,0.809280663728714,1765919340.1139135,0.01909482665359974,
83,84.0,0.693190336227417,0.18006430868167203,0.001,2801.257326118,13056173.0,0.8137642443180084,1765919366.183779,0.019482357427477837,
84,85.0,0.7475508451461792,0.18220793140407288,0.001,2832.571417299,13211326.0,0.7988286316394806,1765919397.4978535,0.015692003071308136,
85,86.0,0.7360365986824036,0.18435155412647375,0.001,2861.959721388,13369675.0,0.8035922944545746,1765919426.8861787,0.018441995605826378,
86,87.0,0.6905791163444519,0.1864951768488746,0.001,2897.034933321,13509971.0,0.8120993375778198,1765919461.9613535,0.019432054832577705,
87,88.0,0.7279320359230042,0.18863879957127547,0.001,2932.166941278,13673080.0,0.8056948482990265,1765919497.0934083,0.023539170622825623,
88,89.0,0.7632656097412109,0.1907824222936763,0.001,2967.451373855,13838935.0,0.7932340502738953,1765919532.3778367,0.018610524013638496,
89,90.0,0.7466810941696167,0.19292604501607716,0.001,3007.79805488,14002150.0,0.7983475625514984,1765919572.7244499,0.02507607266306877,
90,91.0,0.7158913612365723,0.19506966773847803,0.001,3042.632876489,14156247.0,0.808438241481781,1765919607.5592937,0.01662430912256241,
91,92.0,0.7207832336425781,0.19721329046087888,0.001,3076.676082471,14323035.0,0.8065406382083893,1765919641.6024082,0.01919705979526043,
92,93.0,0.7568860650062561,0.19935691318327975,0.001,3113.407541477,14490759.0,0.7992589175701141,1765919678.3338897,0.021119648590683937,
93,94.0,0.7125973701477051,0.2015005359056806,0.001,3144.066808267,14642384.0,0.8079480528831482,1765919708.9932344,0.017178451642394066,
94,95.0,0.7009605169296265,0.20364415862808147,0.001,3173.861541245,14786158.0,0.8093893527984619,1765919738.7879608,0.01812395080924034,
95,96.0,0.6906347274780273,0.2057877813504823,0.001,3202.12242596,14929253.0,0.8121550679206848,1765919767.0488737,0.015037388540804386,
