train/num_tokens,train/learning_rate,_step,_runtime,_timestamp,train/loss,train/mean_token_accuracy,train/global_step,train/epoch,train/grad_norm,eval/accuracy
136605.0,0.0001,0,45.533239206,1765916582.2110808,1.670913815498352,0.6688115298748016,1.0,0.0021436227224008574,2.536121368408203,
292128.0,0.0001,1,80.070120558,1765916616.7481713,1.6121747493743896,0.6659259796142578,2.0,0.004287245444801715,3.4351959228515625,
444535.0,0.0001,2,108.899485239,1765916645.5775373,1.4500598907470703,0.6885914206504822,3.0,0.006430868167202572,2.8453052043914795,
592263.0,0.0001,3,135.243431725,1765916671.9214976,1.3869004249572754,0.6899206936359406,4.0,0.00857449088960343,2.1466257572174072,
737019.0,0.0001,4,162.751483196,1765916699.4295316,1.2888667583465576,0.7058244347572327,5.0,0.010718113612004287,1.634704351425171,
896813.0,0.0001,5,193.664526903,1765916730.3426228,1.1974257230758667,0.7221452593803406,6.0,0.012861736334405145,1.2696391344070435,
1062679.0,0.0001,6,229.174939578,1765916765.8529747,1.1719403266906738,0.7265284061431885,7.0,0.015005359056806002,1.7106066942214966,
1212566.0,0.0001,7,259.01188068,1765916795.6899464,1.1075811386108398,0.7293542623519897,8.0,0.01714898177920686,4.602625370025635,
1373797.0,0.0001,8,296.41595644,1765916833.094011,0.9894083738327026,0.7607422769069672,9.0,0.01929260450160772,2.140634059906006,
1516877.0,0.0001,9,329.144821278,1765916865.8228765,0.9570281505584717,0.7694807350635529,10.0,0.021436227224008574,2.33453369140625,
1663977.0,0.0001,10,359.094431244,1765916895.7725248,0.9100128412246704,0.7789381146430969,11.0,0.023579849946409433,1.9693001508712769,
1815907.0,0.0001,11,388.609843063,1765916925.28787,0.8379637598991394,0.7926714718341827,12.0,0.02572347266881029,1.3305766582489014,
1971911.0,0.0001,12,422.725891903,1765916959.403964,0.823316216468811,0.794539600610733,13.0,0.027867095391211148,0.8085433840751648,
2135596.0,0.0001,13,455.882638763,1765916992.5607066,0.8556786179542542,0.7865146696567535,14.0,0.030010718113612004,1.156462550163269,
2285621.0,0.0001,14,486.033786285,1765917022.7118297,0.8109438419342041,0.7944568395614624,15.0,0.03215434083601286,0.7070719003677368,
2441090.0,0.0001,15,517.628178346,1765917054.3062165,0.8106508255004883,0.7946650087833405,16.0,0.03429796355841372,0.6172478199005127,
2591858.0,0.0001,16,548.698219496,1765917085.3762753,0.7757916450500488,0.801251620054245,17.0,0.03644158628081458,0.5964257717132568,
2754012.0,0.0001,17,580.945801572,1765917117.6238542,0.7983816266059875,0.793915331363678,18.0,0.03858520900321544,0.5664979815483093,
2916829.0,0.0001,18,613.119832488,1765917149.7978954,0.7920591831207275,0.7940815687179565,19.0,0.04072883172561629,0.5369859337806702,
