train/mean_token_accuracy,_step,train/loss,train/grad_norm,train/num_tokens,_runtime,_timestamp,train/epoch,train/global_step,train/learning_rate,eval/accuracy
0.6562617868185043,0,1.6945645809173584,0.7757539749145508,136605.0,9.664709645,1765916133.722617,0.0021436227224008574,1.0,0.001,
0.6743069440126419,1,1.4773855209350586,1.1228379011154175,292128.0,16.507671306,1765916140.5658457,0.004287245444801715,2.0,0.001,
0.7047973424196243,2,1.3066816329956055,0.8401862978935242,444535.0,22.538219305,1765916146.5963924,0.006430868167202572,3.0,0.001,
0.7294289767742157,3,1.146966576576233,0.5713100433349609,592263.0,28.780233803,1765916152.8384,0.00857449088960343,4.0,0.001,
0.7474038600921631,4,1.056005597114563,2.6721091270446777,737019.0,34.677172312,1765916158.7353337,0.010718113612004287,5.0,0.001,
0.7683821767568588,5,0.9826812744140625,1.249220371246338,896813.0,41.266719158,1765916165.32488,0.012861736334405145,6.0,0.001,
0.759229451417923,6,0.983688473701477,0.7072271704673767,1062679.0,49.283565004,1765916173.341732,0.015005359056806002,7.0,0.001,
0.7700724899768829,7,0.9300378561019897,0.5583610534667969,1212566.0,55.811429446,1765916179.8696067,0.01714898177920686,8.0,0.001,
0.7767134606838226,8,0.895356297492981,0.4258698523044586,1373797.0,63.872934163,1765916187.931122,0.01929260450160772,9.0,0.001,
0.7793314158916473,9,0.9028040170669556,0.7363008260726929,1516877.0,70.267105086,1765916194.3253114,0.021436227224008574,10.0,0.001,
0.7775947898626328,10,0.8972137570381165,0.16520223021507263,1663977.0,76.724597828,1765916200.7827506,0.023579849946409433,11.0,0.001,
0.7866010516881943,11,0.8652725219726562,0.5107380151748657,1815907.0,82.783908638,1765916206.8420873,0.02572347266881029,12.0,0.001,
0.7846353501081467,12,0.8634932041168213,0.24655772745609283,1971911.0,89.806817427,1765916213.8650084,0.027867095391211148,13.0,0.001,
0.7747297435998917,13,0.9041008353233337,0.1783326119184494,2135596.0,96.845070441,1765916220.9032497,0.030010718113612004,14.0,0.001,
0.7836515754461288,14,0.8599958419799805,0.15696315467357635,2285621.0,103.867189853,1765916227.9253724,0.03215434083601286,15.0,0.001,
0.7812950611114502,15,0.8760595321655273,0.10304562747478485,2441090.0,111.290249406,1765916235.3484173,0.03429796355841372,16.0,0.001,
0.7905114591121674,16,0.8389664888381958,0.21207615733146667,2591858.0,117.823398463,1765916241.8815787,0.03644158628081458,17.0,0.001,
0.7794115841388702,17,0.8704631328582764,0.11482332646846771,2754012.0,125.548118563,1765916249.6062768,0.03858520900321544,18.0,0.001,
0.7804987579584122,18,0.8735169172286987,0.15035896003246307,2916829.0,132.78293321,1765916256.8411086,0.04072883172561629,19.0,0.001,
0.7768404483795166,19,0.8908148407936096,0.16422685980796814,3061305.0,139.115537479,1765916263.1737163,0.04287245444801715,20.0,0.001,
0.7839748114347458,20,0.8615761995315552,0.08891966193914413,3219127.0,145.421544279,1765916269.4797285,0.04501607717041801,21.0,0.001,
0.7822615802288055,21,0.8637581467628479,0.18412812054157257,3380158.0,152.434289359,1765916276.4924822,0.04715969989281887,22.0,0.001,
0.7843445539474487,22,0.864269495010376,0.10157938301563263,3539898.0,158.842511686,1765916282.9007242,0.04930332261521972,23.0,0.001,
0.7854521125555038,23,0.8474926352500916,0.18896377086639404,3689574.0,163.796947367,1765916287.8551373,0.05144694533762058,24.0,0.001,
0.7755411863327026,24,0.8929107189178467,0.0793924629688263,3855970.0,171.557712872,1765916295.615915,0.05359056806002144,25.0,0.001,
0.7875458598136902,25,0.84234619140625,0.5431996583938599,4018658.0,178.197262364,1765916302.2554297,0.055734190782422297,26.0,0.001,
0.7695978283882141,26,0.9188096523284912,0.30647772550582886,4171160.0,184.98222587,1765916309.0404062,0.05787781350482315,27.0,0.001,
0.7939208000898361,27,0.8145262598991394,0.10757188498973846,4314298.0,190.328065745,1765916314.3862817,0.06002143622722401,28.0,0.001,
0.7865965664386749,28,0.8422896862030029,0.11619129776954651,4468546.0,196.656592056,1765916320.7147744,0.06216505894962487,29.0,0.001,
0.7748886048793793,29,0.9016159772872925,0.1566641628742218,4635984.0,203.916103025,1765916327.9743094,0.06430868167202572,30.0,0.001,
0.7920399159193039,30,0.8277784585952759,0.07621732354164124,4790352.0,209.923077641,1765916333.981258,0.06645230439442658,31.0,0.001,
0.7786355465650558,31,0.8830167651176453,0.10252951085567474,4956096.0,217.101078157,1765916341.1592534,0.06859592711682744,32.0,0.001,
0.7928615063428879,32,0.8188925981521606,0.06488855183124542,5107640.0,222.859000406,1765916346.9171782,0.0707395498392283,33.0,0.001,
0.7908812314271927,33,0.8274878263473511,0.11949855089187622,5265237.0,229.395058796,1765916353.4532402,0.07288317256162916,34.0,0.001,
0.7934238910675049,34,0.8145774602890015,0.08709380775690079,5419378.0,235.734590629,1765916359.792757,0.07502679528403002,35.0,0.001,
0.7882022708654404,35,0.8304163813591003,0.08235375583171844,5576075.0,241.669997543,1765916365.7281942,0.07717041800643087,36.0,0.001,
0.791941300034523,36,0.8246558904647827,0.11554234474897385,5720029.0,246.981852631,1765916371.040043,0.07931404072883172,37.0,0.001,
0.787198081612587,37,0.8463457226753235,0.0889066532254219,5884915.0,254.162356644,1765916378.2205515,0.08145766345123258,38.0,0.001,
0.7873629927635193,38,0.8387196063995361,0.06416085362434387,6032758.0,260.66490875,1765916384.7231243,0.08360128617363344,39.0,0.001,
0.7862611263990402,39,0.847122848033905,0.06601518392562866,6187550.0,266.872758256,1765916390.9309583,0.0857449088960343,40.0,0.001,
