train/global_step,_step,_runtime,train/epoch,train/num_tokens,train/learning_rate,train/loss,train/grad_norm,train/mean_token_accuracy,_timestamp,eval/accuracy
1.0,0,9.531334603,0.0021436227224008574,136605.0,0.001,1.6945645809173584,0.3688499927520752,0.6562617868185043,1765916136.8943648,
2.0,1,16.26073831,0.004287245444801715,292128.0,0.001,1.4876761436462402,0.5784149765968323,0.6718479692935944,1765916143.624073,
3.0,2,22.230611951,0.006430868167202572,444535.0,0.001,1.3149707317352295,0.4535799026489258,0.7042471766471863,1765916149.5939627,
4.0,3,28.431404558,0.00857449088960343,592263.0,0.001,1.1604585647583008,0.2794807255268097,0.7287561148405075,1765916155.794768,
5.0,4,34.190214616,0.010718113612004287,737019.0,0.001,1.0273982286453247,0.8809275031089783,0.7459820508956909,1765916161.553567,
6.0,5,40.615863964,0.012861736334405145,896813.0,0.001,0.9677435159683228,0.2149220108985901,0.7693846374750137,1765916167.9792316,
7.0,6,48.56007453,0.015005359056806002,1062679.0,0.001,0.9922696352005005,0.17783911526203156,0.7610643655061722,1765916175.9234364,
8.0,7,54.995022274,0.01714898177920686,1212566.0,0.001,0.9335026144981384,0.13642793893814087,0.7685911357402802,1765916182.3583767,
9.0,8,62.84531719,0.01929260450160772,1373797.0,0.001,0.8906185626983643,0.09714633971452713,0.7792101055383682,1765916190.2086766,
10.0,9,69.090951033,0.021436227224008574,1516877.0,0.001,0.8897706866264343,0.11507771909236908,0.7811185419559479,1765916196.454306,
11.0,10,75.432959856,0.023579849946409433,1663977.0,0.001,0.8967148065567017,0.09724389016628265,0.7772903293371201,1765916202.7963474,
12.0,11,81.39799819,0.02572347266881029,1815907.0,0.001,0.8516377210617065,0.0926898866891861,0.7883813679218292,1765916208.7613604,
13.0,12,88.319129425,0.027867095391211148,1971911.0,0.001,0.8588550090789795,0.0810115709900856,0.7859212756156921,1765916215.6824934,
14.0,13,95.255452288,0.030010718113612004,2135596.0,0.001,0.8988441228866577,0.06057018041610718,0.7759917974472046,1765916222.6188066,
15.0,14,102.064593515,0.03215434083601286,2285621.0,0.001,0.8556540012359619,0.06319592893123627,0.7842121869325638,1765916229.427953,
16.0,15,109.408126778,0.03429796355841372,2441090.0,0.001,0.8730524182319641,0.0937693640589714,0.7816922664642334,1765916236.7714996,
17.0,16,115.806362295,0.03644158628081458,2591858.0,0.001,0.8346210718154907,0.05549005791544914,0.7910690903663635,1765916243.169723,
18.0,17,123.31032191,0.03858520900321544,2754012.0,0.001,0.8669674396514893,0.04755856469273567,0.7799980938434601,1765916250.6736867,
19.0,18,130.389950992,0.04072883172561629,2916829.0,0.001,0.8682847619056702,0.05343187227845192,0.7819579839706421,1765916257.753358,
20.0,19,136.603623218,0.04287245444801715,3061305.0,0.001,0.8879380822181702,0.2110195904970169,0.7777115702629089,1765916263.9669948,
21.0,20,142.875738567,0.04501607717041801,3219127.0,0.001,0.8597766757011414,0.24995745718479156,0.7834565490484238,1765916270.239119,
22.0,21,149.770815621,0.04715969989281887,3380158.0,0.001,0.8610968589782715,0.09472797065973282,0.7827220410108566,1765916277.1341975,
23.0,22,156.086480387,0.04930332261521972,3539898.0,0.001,0.8615284562110901,0.10087355226278305,0.7848884463310242,1765916283.449838,
24.0,23,160.983731527,0.05144694533762058,3689574.0,0.001,0.8451452255249023,0.055611852556467056,0.7860261052846909,1765916288.3471217,
25.0,24,168.58853565,0.05359056806002144,3855970.0,0.001,0.8915203809738159,0.10877875983715057,0.7760043293237686,1765916295.951909,
26.0,25,175.130243124,0.055734190782422297,4018658.0,0.001,0.8391609787940979,0.052521541714668274,0.7886621952056885,1765916302.4936128,
27.0,26,181.806806254,0.05787781350482315,4171160.0,0.001,0.9174561500549316,0.13172751665115356,0.7693249732255936,1765916309.1701505,
28.0,27,187.037081753,0.06002143622722401,4314298.0,0.001,0.8112925887107849,0.03962888568639755,0.7946236431598663,1765916314.4004402,
29.0,28,193.145302511,0.06216505894962487,4468546.0,0.001,0.840962290763855,0.14585839211940765,0.7871400117874146,1765916320.5086603,
30.0,29,200.293082957,0.06430868167202572,4635984.0,0.001,0.8992849588394165,0.04684460535645485,0.7753331214189529,1765916327.6564732,
31.0,30,206.187278067,0.06645230439442658,4790352.0,0.001,0.8261468410491943,0.14717483520507812,0.7922020554542542,1765916333.550651,
32.0,31,213.25699411,0.06859592711682744,4956096.0,0.001,0.8801881074905396,0.0415370911359787,0.7787422835826874,1765916340.6203725,
33.0,32,218.948366365,0.0707395498392283,5107640.0,0.001,0.8160160779953003,0.1348097324371338,0.7937331646680832,1765916346.3117437,
34.0,33,225.397973914,0.07288317256162916,5265237.0,0.001,0.8271277546882629,0.16793595254421234,0.7912977188825607,1765916352.761385,
35.0,34,231.604882003,0.07502679528403002,5419378.0,0.001,0.8360507488250732,0.1701432317495346,0.7906611859798431,1765916358.9682684,
36.0,35,237.39750395,0.07717041800643087,5576075.0,0.001,0.8706710338592529,1.462425708770752,0.7814700454473495,1765916364.7608705,
37.0,36,242.613047947,0.07931404072883172,5720029.0,0.001,0.8355120420455933,0.402421236038208,0.7920394688844681,1765916369.976411,
38.0,37,249.688986628,0.08145766345123258,5884915.0,0.001,0.8561927080154419,0.10947946459054947,0.7873053699731827,1765916377.0523393,
39.0,38,255.974531105,0.08360128617363344,6032758.0,0.001,0.8450288772583008,0.08509083837270737,0.787170872092247,1765916383.3379145,
40.0,39,262.039648191,0.0857449088960343,6187550.0,0.001,0.847926914691925,0.06509455293416977,0.7864536345005035,1765916389.403045,
41.0,40,269.612529545,0.08788853161843516,6355408.0,0.001,0.8640889525413513,0.0826047882437706,0.781071737408638,1765916396.975924,
42.0,41,276.511508801,0.09003215434083602,6519771.0,0.001,0.862092137336731,0.08550532162189484,0.782482698559761,1765916403.8748813,
43.0,42,282.581354421,0.09217577706323687,6672296.0,0.001,0.8240829110145569,0.08018787950277328,0.7898573726415634,1765916409.9447474,
44.0,43,291.221719545,0.09431939978563773,6843136.0,0.001,0.8845208883285522,0.0706360936164856,0.7751340121030807,1765916418.5851202,
45.0,44,298.41357511,0.09646302250803858,6993296.0,0.001,0.861641526222229,0.07840095460414886,0.7790369242429733,1765916425.7769418,
46.0,45,304.922410574,0.09860664523043944,7142356.0,0.001,0.8173202872276306,0.05308588594198227,0.7929118275642395,1765916432.2857766,
47.0,46,310.576572206,0.1007502679528403,7294167.0,0.001,0.8140747547149658,0.07924754172563553,0.7952385246753693,1765916437.93997,
48.0,47,318.801130857,0.10289389067524116,7470762.0,0.001,0.9154185056686401,0.08558353781700134,0.7704342603683472,1765916446.1644979,
49.0,48,326.48611431,0.10503751339764202,7629052.0,0.001,0.8274015784263611,0.08774640411138535,0.790854200720787,1765916453.8495004,
50.0,49,331.796818357,0.10718113612004287,7779609.0,0.001,0.8080844879150391,0.07641927152872086,0.7947437763214111,1765916459.1601825,
51.0,50,338.316729756,0.10932475884244373,7927458.0,0.001,0.8339420557022095,0.03678333759307861,0.7888738512992859,1765916465.6800869,
52.0,51,343.935661731,0.11146838156484459,8078023.0,0.001,0.8169384598731995,0.056931838393211365,0.7932348996400833,1765916471.2990334,
