_step,_timestamp,train/mean_token_accuracy,train/learning_rate,_runtime,train/loss,train/epoch,train/grad_norm,train/num_tokens,train/global_step,eval/accuracy
0,1765916128.1372187,0.6562617868185043,0.0001,9.932760534,1.6945645809173584,0.0021436227224008574,0.1324160099029541,136605.0,1.0,
1,1765916135.100203,0.6481839567422867,0.0001,16.895506245,1.6894299983978271,0.004287245444801715,0.13619717955589294,292128.0,2.0,
2,1765916141.441611,0.6644505709409714,0.0001,23.237022093,1.616805911064148,0.006430868167202572,0.17478948831558228,444535.0,3.0,
3,1765916147.816017,0.6526732295751572,0.0001,29.611312286,1.6386542320251465,0.00857449088960343,0.20234175026416779,592263.0,4.0,
4,1765916153.6219447,0.6626389920711517,0.0001,35.417255947,1.5683891773223877,0.010718113612004287,0.19728606939315796,737019.0,5.0,
5,1765916160.194072,0.676067590713501,0.0001,41.989350726,1.4734740257263184,0.012861736334405145,0.1660517454147339,896813.0,6.0,
6,1765916168.4282572,0.6746127009391785,0.0001,50.223718507,1.4563771486282349,0.015005359056806002,0.1516188532114029,1062679.0,7.0,
7,1765916175.1004405,0.6777655482292175,0.0001,56.89572356,1.4336206912994385,0.01714898177920686,0.17438632249832153,1212566.0,8.0,
8,1765916183.2061012,0.6925180554389954,0.0001,65.001386855,1.3364235162734985,0.01929260450160772,0.0822664201259613,1373797.0,9.0,
9,1765916189.6573381,0.6894881576299667,0.0001,71.452631881,1.3599910736083984,0.021436227224008574,0.10421109199523926,1516877.0,10.0,
10,1765916196.0475874,0.6969680935144424,0.0001,77.842890366,1.3195133209228516,0.023579849946409433,0.17396514117717743,1663977.0,11.0,
11,1765916202.201302,0.7188621610403061,0.0001,83.996588713,1.228011131286621,0.02572347266881029,0.14486780762672424,1815907.0,12.0,
12,1765916209.2802217,0.7259529531002045,0.0001,91.075591373,1.1887657642364502,0.027867095391211148,0.1281994879245758,1971911.0,13.0,
13,1765916216.5386806,0.7231968194246292,0.0001,98.333986015,1.1809848546981812,0.030010718113612004,0.12477655708789825,2135596.0,14.0,
14,1765916223.5598893,0.7370321303606033,0.0001,105.3551456,1.1211755275726318,0.03215434083601286,0.13275037705898285,2285621.0,15.0,
15,1765916231.1572435,0.7428891807794571,0.0001,112.952543639,1.0934616327285767,0.03429796355841372,0.12127397954463959,2441090.0,16.0,
16,1765916237.7646596,0.7585518211126328,0.0001,119.559953382,1.032484769821167,0.03644158628081458,0.1111573800444603,2591858.0,17.0,
17,1765916245.536418,0.7541170418262482,0.0001,127.331699423,1.0256340503692627,0.03858520900321544,0.11562134325504303,2754012.0,18.0,
18,1765916252.8687544,0.7613461464643478,0.0001,134.664028113,1.006095051765442,0.04072883172561629,0.11508338898420334,2916829.0,19.0,
19,1765916259.209726,0.7574058622121811,0.0001,141.005018643,1.0203702449798584,0.04287245444801715,0.1029011681675911,3061305.0,20.0,
20,1765916265.6110291,0.765878289937973,0.0001,147.406320378,0.9677989482879639,0.04501607717041801,0.09208404272794724,3219127.0,21.0,
21,1765916272.6843996,0.768341451883316,0.0001,154.479688895,0.9582209587097168,0.04715969989281887,0.07935269922018051,3380158.0,22.0,
22,1765916279.1696706,0.7714707106351852,0.0001,160.964960666,0.9483175873756409,0.04930332261521972,0.07057777047157288,3539898.0,23.0,
23,1765916284.1894822,0.7727612406015396,0.0001,165.984762281,0.9287573099136353,0.05144694533762058,0.0759490430355072,3689574.0,24.0,
24,1765916291.9417803,0.7644691914319992,0.0001,173.737055825,0.9642438292503357,0.05359056806002144,0.0560997910797596,3855970.0,25.0,
25,1765916298.7682784,0.7765870541334152,0.0001,180.56355364,0.9088155627250671,0.055734190782422297,0.05278319865465164,4018658.0,26.0,
26,1765916305.6381583,0.7592211216688156,0.0001,187.433447612,0.9843828678131104,0.05787781350482315,0.051811303943395615,4171160.0,27.0,
27,1765916311.0623531,0.7831539660692215,0.0001,192.857619336,0.8795345425605774,0.06002143622722401,0.048945631831884384,4314298.0,28.0,
28,1765916317.256359,0.7770696580410004,0.0001,199.051612152,0.901734471321106,0.06216505894962487,0.04657214507460594,4468546.0,29.0,
29,1765916324.5979402,0.7663331031799316,0.0001,206.393216454,0.9543388485908508,0.06430868167202572,0.0436544232070446,4635984.0,30.0,
30,1765916330.6728144,0.7835860550403595,0.0001,212.468095968,0.8786953687667847,0.06645230439442658,0.043120868504047394,4790352.0,31.0,
31,1765916337.8694339,0.7701234966516495,0.0001,219.664741146,0.9305403232574463,0.06859592711682744,0.03313920646905899,4956096.0,32.0,
32,1765916343.7766228,0.7853365987539291,0.0001,225.571915224,0.8647751212120056,0.0707395498392283,0.03354940563440323,5107640.0,33.0,
33,1765916350.428638,0.7829560041427612,0.0001,232.223911295,0.8729739189147949,0.07288317256162916,0.02956700138747692,5265237.0,34.0,
34,1765916356.7684488,0.7850882261991501,0.0001,238.563727819,0.8606815338134766,0.07502679528403002,0.028990086168050766,5419378.0,35.0,
35,1765916362.790553,0.7800975292921066,0.0001,244.58585769,0.8736298084259033,0.07717041800643087,0.02869446948170662,5576075.0,36.0,
36,1765916368.0657787,0.7852569967508316,0.0001,249.861064206,0.8694002628326416,0.07931404072883172,0.02705457992851734,5720029.0,37.0,
37,1765916375.2647426,0.7808103412389755,0.0001,257.060033712,0.8853225708007812,0.08145766345123258,0.024992747232317924,5884915.0,38.0,
38,1765916381.6968277,0.7802401036024094,0.0001,263.492105158,0.8796913027763367,0.08360128617363344,0.025359204038977623,6032758.0,39.0,
39,1765916387.867762,0.779803067445755,0.0001,269.663036821,0.8863595724105835,0.0857449088960343,0.02240542322397232,6187550.0,40.0,
40,1765916395.7234726,0.7744016796350479,0.0001,277.518775056,0.8970913887023926,0.08788853161843516,0.021151937544345856,6355408.0,41.0,
41,1765916402.788084,0.7764317244291306,0.0001,284.583363521,0.8948920369148254,0.09003215434083602,0.02053518034517765,6519771.0,42.0,
42,1765916408.9948754,0.7843922227621078,0.0001,290.790143615,0.8592842221260071,0.09217577706323687,0.020680230110883713,6672296.0,43.0,
43,1765916417.7740774,0.7693063020706177,0.0001,299.569413464,0.9153919219970703,0.09431939978563773,0.020358536392450333,6843136.0,44.0,
44,1765916425.1049256,0.7721549570560455,0.0001,306.900282959,0.8978777527809143,0.09646302250803858,0.023502863943576813,6993296.0,45.0,
45,1765916431.713037,0.7868687808513641,0.0001,313.50839224,0.8519015312194824,0.09860664523043944,0.019613580778241158,7142356.0,46.0,
46,1765916437.5679598,0.7870208919048309,0.0001,319.363351474,0.8518527150154114,0.1007502679528403,0.020141147077083588,7294167.0,47.0,
47,1765916445.927156,0.7636846154928207,0.0001,327.722528513,0.9464203119277954,0.10289389067524116,0.01849079318344593,7470762.0,48.0,
48,1765916453.6772087,0.7846297025680542,0.0001,335.472573239,0.8591878414154053,0.10503751339764202,0.01787668466567993,7629052.0,49.0,
49,1765916459.2639637,0.7872709184885025,0.0001,341.059244605,0.8412252068519592,0.10718113612004287,0.01727323606610298,7779609.0,50.0,
50,1765916465.908495,0.7821290791034698,0.0001,347.703796744,0.8690378665924072,0.10932475884244373,0.018041865900158882,7927458.0,51.0,
51,1765916471.6422212,0.7870911955833435,0.0001,353.437526282,0.851171612739563,0.11146838156484459,0.01714704930782318,8078023.0,52.0,
52,1765916477.7829216,0.7837058156728745,0.0001,359.578210058,0.8623993992805481,0.11361200428724544,0.016871323809027672,8230483.0,53.0,
53,1765916484.1295063,0.7914743274450302,0.0001,365.92480538,0.8310374021530151,0.1157556270096463,0.02137260138988495,8375984.0,54.0,
54,1765916491.1791296,0.7692142575979233,0.0001,372.974527913,0.9247151017189026,0.11789924973204716,0.01721370406448841,8547262.0,55.0,
55,1765916498.2462306,0.7760229706764221,0.0001,380.041609771,0.8972176313400269,0.12004287245444802,0.016446338966488838,8704936.0,56.0,
56,1765916505.4080772,0.7832366973161697,0.0001,387.203401457,0.860340416431427,0.12218649517684887,0.01925685629248619,8867795.0,57.0,
57,1765916511.510605,0.7828616797924042,0.0001,393.305916983,0.8659623861312866,0.12433011789924973,0.016426516696810722,9019339.0,58.0,
58,1765916518.1516201,0.7812393605709076,0.0001,399.947029489,0.8731081485748291,0.1264737406216506,0.016950810328125954,9189045.0,59.0,
59,1765916524.5110168,0.7821723818778992,0.0001,406.306278581,0.8597003817558289,0.12861736334405144,0.016161752864718437,9353955.0,60.0,
60,1765916531.6293848,0.7964241057634354,0.0001,413.42469146,0.8180726170539856,0.1307609860664523,0.015348881483078003,9504744.0,61.0,
61,1765916538.8369966,0.7724373936653137,0.0001,420.632265392,0.9076111316680908,0.13290460878885316,0.015989694744348526,9662901.0,62.0,
62,1765916544.5680656,0.7979071587324142,0.0001,426.363477579,0.7990463972091675,0.13504823151125403,0.015789609402418137,9809122.0,63.0,
63,1765916551.756247,0.7882260233163834,0.0001,433.551649669,0.8490743637084961,0.13719185423365488,0.01640404388308525,9968473.0,64.0,
64,1765916559.1660764,0.7808070331811905,0.0001,440.961341054,0.8784840106964111,0.13933547695605572,0.01616048999130726,10119334.0,65.0,
65,1765916564.3461204,0.7903740853071213,0.0001,446.141415118,0.8353153467178345,0.1414790996784566,0.0168469175696373,10259437.0,66.0,
66,1765916572.2797203,0.7793629616498947,0.0001,454.07500314,0.8841163516044617,0.14362272240085744,0.01527341827750206,10416011.0,67.0,
67,1765916577.7281427,0.7813534438610077,0.0001,459.523507554,0.8725419044494629,0.1457663451232583,0.014840935356914997,10566185.0,68.0,
