train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765916249.2398677,2591858.0,17.0,16,1.040285348892212,0.07050332427024841,0.7568464875221252,128.006349606,0.03644158628081458,
0.0001,1765916257.588173,2754012.0,18.0,17,1.0316381454467773,0.05155608430504799,0.7523780763149261,136.35466788,0.03858520900321544,
0.0001,1765916265.4338908,2916829.0,19.0,18,1.01171875,0.05130484700202942,0.759184330701828,144.20038518,0.04072883172561629,
0.0001,1765916272.3438985,3061305.0,20.0,19,1.0261211395263672,0.05381150543689728,0.7575844973325729,151.110374834,0.04287245444801715,
0.0001,1765916279.3068047,3219127.0,21.0,20,0.971298098564148,0.04289490357041359,0.7660354524850845,158.073281039,0.04501607717041801,
0.0001,1765916286.9683073,3380158.0,22.0,21,0.9613072872161865,0.0429428368806839,0.7673988789319992,165.734763159,0.04715969989281887,
0.0001,1765916293.9675734,3539898.0,23.0,22,0.9509619474411011,0.040978092700242996,0.7712192684412003,172.734054174,0.04930332261521972,
0.0001,1765916299.436519,3689574.0,24.0,23,0.9303746223449707,0.03467300534248352,0.7726695537567139,178.202971226,0.05144694533762058,
0.0001,1765916307.8865426,3855970.0,25.0,24,0.9661852121353149,0.027604300528764725,0.7647819817066193,186.653030855,0.05359056806002144,
0.0001,1765916315.170072,4018658.0,26.0,25,0.9102736711502075,0.02680690586566925,0.7769735157489777,193.936565223,0.055734190782422297,
0.0001,1765916322.545241,4171160.0,27.0,26,0.9854861497879028,0.0283495020121336,0.7595161348581314,201.311710503,0.05787781350482315,
0.0001,1765916328.3934236,4314298.0,28.0,27,0.8793400526046753,0.025479964911937714,0.7831524908542633,207.159907865,0.06002143622722401,
0.0001,1765916335.2099462,4468546.0,29.0,28,0.9010511636734009,0.023308876901865005,0.7776689529418945,213.976415506,0.06216505894962487,
0.0001,1765916343.1277761,4635984.0,30.0,29,0.9539046287536621,0.02106158621609211,0.7667961716651917,221.894252978,0.06430868167202572,
0.0001,1765916349.7010458,4790352.0,31.0,30,0.8785440921783447,0.019509408622980118,0.7838768064975739,228.46751421,0.06645230439442658,
0.0001,1765916357.5228126,4956096.0,32.0,31,0.9306128025054932,0.015767520293593407,0.7706865519285202,236.289275539,0.06859592711682744,
0.0001,1765916363.848826,5107640.0,33.0,32,0.8652287721633911,0.017322750762104988,0.7848990261554718,242.615319187,0.0707395498392283,
0.0001,1765916370.9680073,5265237.0,34.0,33,0.8736387491226196,0.016929052770137787,0.7829560339450836,249.73449286,0.07288317256162916,
0.0001,1765916377.8689375,5419378.0,35.0,34,0.861879825592041,0.017074907198548317,0.7853037267923355,256.635428397,0.07502679528403002,
0.0001,1765916384.3250942,5576075.0,36.0,35,0.8743129968643188,0.014647484757006168,0.7800397425889969,263.091560937,0.07717041800643087,
0.0001,1765916390.1424642,5720029.0,37.0,36,0.8700534105300903,0.013626052998006344,0.7850895971059799,268.908942138,0.07931404072883172,
0.0001,1765916397.9850152,5884915.0,38.0,37,0.8860715627670288,0.01251906156539917,0.7807474583387375,276.751511537,0.08145766345123258,
0.0001,1765916404.9677877,6032758.0,39.0,38,0.8804195523262024,0.013020236976444721,0.7801174521446228,283.734255249,0.08360128617363344,
0.0001,1765916411.7180662,6187550.0,40.0,39,0.8867175579071045,0.013040566816926003,0.7795840799808502,290.484530421,0.0857449088960343,
0.0001,1765916420.181073,6355408.0,41.0,40,0.8973370790481567,0.011519132182002068,0.7744610905647278,298.947568503,0.08788853161843516,
0.0001,1765916427.8191454,6519771.0,42.0,41,0.8949518203735352,0.010355674661695957,0.7763012647628784,306.585629773,0.09003215434083602,
