_step,_runtime,_timestamp,train/loss,train/learning_rate,train/grad_norm,train/mean_token_accuracy,train/epoch,train/num_tokens,train/global_step,eval/accuracy
0,41.303523623,1765916574.8366551,1.670913815498352,0.0001,0.7088205218315125,0.6688115298748016,0.0021436227224008574,136605.0,1.0,
1,75.046425811,1765916608.5797434,1.624087929725647,0.0001,0.9282863140106201,0.6645987331867218,0.004287245444801715,292128.0,2.0,
2,103.309571099,1765916636.8428447,1.481451392173767,0.0001,0.8272112011909485,0.6854105293750763,0.006430868167202572,444535.0,3.0,
3,129.3074318,1765916662.840684,1.4292731285095215,0.0001,0.6216312050819397,0.6847830712795258,0.00857449088960343,592263.0,4.0,
4,156.305924516,1765916689.8392243,1.3281230926513672,0.0001,0.4610117971897125,0.7006855905056,0.010718113612004287,737019.0,5.0,
5,186.722245918,1765916720.2555327,1.232803225517273,0.0001,0.32418113946914673,0.7164614796638489,0.012861736334405145,896813.0,6.0,
6,221.169366281,1765916754.702663,1.2251849174499512,0.0001,0.3390904664993286,0.7148539423942566,0.015005359056806002,1062679.0,7.0,
7,251.047219441,1765916784.5805414,1.173386573791504,0.0001,0.4742986559867859,0.7268816530704498,0.01714898177920686,1212566.0,8.0,
8,287.30305906,1765916820.8363633,1.053274393081665,0.0001,0.6117912530899048,0.7417576313018799,0.01929260450160772,1373797.0,9.0,
9,319.025308894,1765916852.5585961,1.0206390619277954,0.0001,0.5756794810295105,0.7546462118625641,0.021436227224008574,1516877.0,10.0,
10,348.666130962,1765916882.1993876,0.9644676446914673,0.0001,0.8824211955070496,0.7650114297866821,0.023579849946409433,1663977.0,11.0,
11,377.779898742,1765916911.3131814,0.8933618068695068,0.0001,0.713877260684967,0.7826385200023651,0.02572347266881029,1815907.0,12.0,
12,411.363447115,1765916944.8967557,0.8615695238113403,0.0001,0.5379506945610046,0.7881520688533783,0.027867095391211148,1971911.0,13.0,
13,443.715638729,1765916977.248918,0.8794611692428589,0.0001,0.3852112293243408,0.7812019288539886,0.030010718113612004,2135596.0,14.0,
14,473.318160945,1765917006.8514771,0.8324315547943115,0.0001,0.27017998695373535,0.7909789681434631,0.03215434083601286,2285621.0,15.0,
15,504.337788721,1765917037.8711097,0.8335888385772705,0.0001,0.35697656869888306,0.790973573923111,0.03429796355841372,2441090.0,16.0,
16,534.158287862,1765917067.691592,0.7974323034286499,0.0001,0.21463839709758759,0.7989473044872284,0.03644158628081458,2591858.0,17.0,
17,567.028192136,1765917100.5615,0.8189249038696289,0.0001,0.17979343235492706,0.7907634079456329,0.03858520900321544,2754012.0,18.0,
18,598.526998314,1765917132.0602684,0.8151630163192749,0.0001,0.14830926060676575,0.7909813225269318,0.04072883172561629,2916829.0,19.0,
19,627.916465907,1765917161.4497015,0.8260030150413513,0.0001,0.1451685130596161,0.788294643163681,0.04287245444801715,3061305.0,20.0,
