_timestamp,train/global_step,_step,train/loss,train/epoch,train/grad_norm,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_runtime,eval/accuracy
1765916133.5052197,1.0,0,1.6945645809173584,0.0021436227224008574,0.0662040114402771,136605.0,1e-05,0.6562617868185043,10.448725203,
1765916141.042703,2.0,1,1.7007014751434326,0.004287245444801715,0.06090939790010452,292128.0,1e-05,0.6463567465543747,17.985979469,
1765916147.8109546,3.0,2,1.6496200561523438,0.006430868167202572,0.061578959226608276,444535.0,1e-05,0.6619725823402405,24.754199728,
1765916154.7030668,4.0,3,1.7146180868148804,0.00857449088960343,0.0646338164806366,592263.0,1e-05,0.6472281664609909,31.646314932,
1765916160.9643772,5.0,4,1.6953411102294922,0.010718113612004287,0.06514129042625427,737019.0,1e-05,0.6532845944166183,37.90761557,
1765916168.1599512,6.0,5,1.6448144912719727,0.012861736334405145,0.0629086047410965,896813.0,1e-05,0.6610379815101624,45.103213583,
1765916176.990623,7.0,6,1.6718127727508545,0.015005359056806002,0.06181217357516289,1062679.0,1e-05,0.6529695689678192,53.933881615,
1765916184.1940205,8.0,7,1.7137198448181152,0.01714898177920686,0.069096140563488,1212566.0,1e-05,0.6451631188392639,61.137258722,
1765916192.8556995,9.0,8,1.6281760931015015,0.01929260450160772,0.06567080318927765,1373797.0,1e-05,0.6609248518943787,69.798956276,
1765916199.7768607,10.0,9,1.7233160734176636,0.021436227224008574,0.07392789423465729,1516877.0,1e-05,0.6471437960863113,76.720130118,
1765916206.6612718,11.0,10,1.7080539464950562,0.023579849946409433,0.07363083958625793,1663977.0,1e-05,0.6474839746952057,83.604510337,
1765916213.208828,12.0,11,1.6457951068878174,0.02572347266881029,0.07394440472126007,1815907.0,1e-05,0.6620131582021713,90.152081902,
1765916220.805846,13.0,12,1.6323857307434082,0.027867095391211148,0.07504016160964966,1971911.0,1e-05,0.6619244962930679,97.749090813,
1765916228.5045621,14.0,13,1.6402193307876587,0.030010718113612004,0.07380174845457077,2135596.0,1e-05,0.6582670360803604,105.447804939,
1765916236.0012302,15.0,14,1.6601672172546387,0.03215434083601286,0.0811900645494461,2285621.0,1e-05,0.6543376445770264,112.944479698,
1765916244.0625224,16.0,15,1.6451590061187744,0.03429796355841372,0.07870212197303772,2441090.0,1e-05,0.657670646905899,121.005754409,
1765916251.1571436,17.0,16,1.6375277042388916,0.03644158628081458,0.08270307630300522,2591858.0,1e-05,0.6613859981298447,128.100404708,
1765916259.436137,18.0,17,1.612085223197937,0.03858520900321544,0.08086717128753662,2754012.0,1e-05,0.6581299155950546,136.379404373,
1765916267.2268286,19.0,18,1.6096320152282715,0.04072883172561629,0.08140988647937775,2916829.0,1e-05,0.6603496372699738,144.170067753,
1765916273.9789946,20.0,19,1.715843677520752,0.04287245444801715,0.0932944044470787,3061305.0,1e-05,0.6418750733137131,150.92222645,
1765916280.9033237,21.0,20,1.6187247037887573,0.04501607717041801,0.08759956806898117,3219127.0,1e-05,0.6591029316186905,157.846562672,
1765916288.499039,22.0,21,1.608235478401184,0.04715969989281887,0.08775261789560318,3380158.0,1e-05,0.6605377048254013,165.442259614,
1765916295.37518,23.0,22,1.6053431034088135,0.04930332261521972,0.08825115859508514,3539898.0,1e-05,0.6618351191282272,172.318393214,
1765916300.7826066,24.0,23,1.6355783939361572,0.05144694533762058,0.09554228186607361,3689574.0,1e-05,0.6551687121391296,177.725857244,
1765916309.1600761,25.0,24,1.6044871807098389,0.05359056806002144,0.08776457607746124,3855970.0,1e-05,0.6574867218732834,186.103307889,
1765916316.4164062,26.0,25,1.5619274377822876,0.055734190782422297,0.08695480972528458,4018658.0,1e-05,0.6672338396310806,193.359657289,
1765916323.7596369,27.0,26,1.675450086593628,0.05787781350482315,0.09373864531517029,4171160.0,1e-05,0.6443674713373184,200.702881734,
1765916329.54556,28.0,27,1.6139166355133057,0.06002143622722401,0.09888235479593277,4314298.0,1e-05,0.659526452422142,206.488810713,
1765916336.2431087,29.0,28,1.5853173732757568,0.06216505894962487,0.09406334161758423,4468546.0,1e-05,0.6595305949449539,213.186349133,
1765916344.1409144,30.0,29,1.577423334121704,0.06430868167202572,0.08638693392276764,4635984.0,1e-05,0.6595721691846848,221.084143766,
1765916350.6627207,31.0,30,1.5549468994140625,0.06645230439442658,0.09193120151758194,4790352.0,1e-05,0.6667523235082626,227.605971184,
1765916358.425014,32.0,31,1.555750846862793,0.06859592711682744,0.0862334743142128,4956096.0,1e-05,0.6630749404430389,235.368243713,
1765916364.7752087,33.0,32,1.5467878580093384,0.0707395498392283,0.09211649745702744,5107640.0,1e-05,0.6667187213897705,241.718448631,
1765916371.8816056,34.0,33,1.5205681324005127,0.07288317256162916,0.0886063352227211,5265237.0,1e-05,0.6696826815605164,248.824845815,
1765916378.7184596,35.0,34,1.5196532011032104,0.07502679528403002,0.0899934470653534,5419378.0,1e-05,0.6703251302242279,255.661684914,
1765916385.1010091,36.0,35,1.517879605293274,0.07717041800643087,0.08936816453933716,5576075.0,1e-05,0.6676239371299744,262.044234417,
1765916390.8456671,37.0,36,1.566418170928955,0.07931404072883172,0.0960143506526947,5720029.0,1e-05,0.6606599390506744,267.788880631,
1765916398.5288255,38.0,37,1.4883050918579102,0.08145766345123258,0.08495008945465088,5884915.0,1e-05,0.6724237650632858,275.472064856,
1765916405.427031,39.0,38,1.5422070026397705,0.08360128617363344,0.09298259764909744,6032758.0,1e-05,0.6615116596221924,282.370280353,
