train/epoch,train/num_tokens,_step,_timestamp,train/loss,train/learning_rate,train/mean_token_accuracy,train/grad_norm,train/global_step,_runtime,eval/accuracy
0.0021436227224008574,136605.0,0,1765929552.0149279,1.694303274154663,1e-06,0.6566445082426071,136.35055541992188,1.0,15.925741634,
0.004287245444801715,292128.0,1,1765929564.5525804,1.6981606483459473,1e-06,0.6471357345581055,164.31134033203125,2.0,28.463106299,
0.006430868167202572,444535.0,2,1765929575.9140596,1.641749382019043,1e-06,0.6619644314050674,359.26702880859375,3.0,39.824585195,
0.00857449088960343,592263.0,3,1765929587.646096,1.7043424844741821,1e-06,0.6470202952623367,210.30447387695312,4.0,51.556611201,
0.010718113612004287,737019.0,4,1765929599.3837807,1.681546926498413,1e-06,0.6535212844610214,111.2037582397461,5.0,63.294281168,
0.012861736334405145,896813.0,5,1765929618.9487126,1.6270861625671387,1e-06,0.6609010994434357,67.02803039550781,6.0,82.859326687,
0.015005359056806002,1062679.0,6,1765929634.335559,1.655858039855957,1e-06,0.6527064293622971,36.10191345214844,7.0,98.246161874,
0.01714898177920686,1212566.0,7,1765929646.4521577,1.6936991214752197,1e-06,0.6457014828920364,67.60657501220703,8.0,110.362714646,
0.01929260450160772,1373797.0,8,1765929661.0883892,1.6089462041854858,1e-06,0.6610365360975266,58.62617111206055,9.0,124.998951438,
0.021436227224008574,1516877.0,9,1765929673.0798159,1.6833436489105225,1e-06,0.6494509875774384,78.07798767089844,10.0,136.990365082,
0.023579849946409433,1663977.0,10,1765929685.0704215,1.665907859802246,1e-06,0.6492784768342972,76.40068054199219,11.0,148.980965394,
0.02572347266881029,1815907.0,11,1765929696.6392093,1.6024283170700073,1e-06,0.6643697172403336,73.48868560791016,12.0,160.549745859,
0.027867095391211148,1971911.0,12,1765929710.2015374,1.588484525680542,1e-06,0.6647657155990601,67.48709869384766,13.0,174.112115301,
0.030010718113612004,2135596.0,13,1765929723.63787,1.5972645282745361,1e-06,0.6601485013961792,59.74197769165039,14.0,187.548413866,
0.03215434083601286,2285621.0,14,1765929735.845023,1.611641764640808,1e-06,0.6558914482593536,66.18021392822266,15.0,199.755557536,
0.03429796355841372,2441090.0,15,1765929749.7840903,1.601513385772705,1e-06,0.6598206907510757,54.557708740234375,16.0,213.694647108,
0.03644158628081458,2591858.0,16,1765929762.1847534,1.5796818733215332,1e-06,0.664664015173912,33.89900588989258,17.0,226.09533729,
0.03858520900321544,2754012.0,17,1765929776.9431267,1.5248510837554932,1e-06,0.6625469774007797,22.29283905029297,18.0,240.853673257,
0.04072883172561629,2916829.0,18,1765929790.4316518,1.5113486051559448,1e-06,0.6665387600660324,22.797204971313477,19.0,254.342220403,
0.04287245444801715,3061305.0,19,1765929802.4564636,1.6022437810897827,1e-06,0.6500329673290253,30.74531364440918,20.0,266.367058935,
0.04501607717041801,3219127.0,20,1765929814.25482,1.5107488632202148,1e-06,0.6667188704013824,33.201904296875,21.0,278.165371795,
0.04715969989281887,3380158.0,21,1765929828.6446476,1.500002384185791,1e-06,0.6678847819566727,26.991113662719727,22.0,292.555216823,
0.04930332261521972,3539898.0,22,1765929840.703566,1.4970829486846924,1e-06,0.6685227304697037,27.140684127807617,23.0,304.614122437,
0.05144694533762058,3689574.0,23,1765929849.9617403,1.5189433097839355,1e-06,0.6629237085580826,29.093915939331055,24.0,313.872294299,
0.05359056806002144,3855970.0,24,1765929864.0221076,1.49690842628479,1e-06,0.6646624356508255,25.61235237121582,25.0,327.932648849,
0.055734190782422297,4018658.0,25,1765929876.7996457,1.4540175199508667,1e-06,0.6738699823617935,25.190671920776367,26.0,340.710191564,
0.05787781350482315,4171160.0,26,1765929890.2280548,1.5580415725708008,1e-06,0.651634082198143,28.768367767333984,27.0,354.138654401,
0.06002143622722401,4314298.0,27,1765929900.4302793,1.4938125610351562,1e-06,0.6671041399240494,30.750988006591797,28.0,364.340862102,
0.06216505894962487,4468546.0,28,1765929911.9454806,1.474591851234436,1e-06,0.667507991194725,28.821670532226562,29.0,375.856026953,
0.06430868167202572,4635984.0,29,1765929925.826287,1.4746277332305908,1e-06,0.6668060272932053,15.191427230834961,30.0,389.736861079,
0.06645230439442658,4790352.0,30,1765929936.9777067,1.4134860038757324,1e-06,0.6813637912273407,20.223539352416992,31.0,400.888243412,
0.06859592711682744,4956096.0,31,1765929950.9882321,1.3793915510177612,1e-06,0.6839926242828369,32.833492279052734,32.0,414.898759618,
0.0707395498392283,5107640.0,32,1765929961.8215432,1.3320568799972534,1e-06,0.6946015655994415,43.83081817626953,33.0,425.732072252,
0.07288317256162916,5265237.0,33,1765929974.5775995,1.3033376932144165,1e-06,0.6993592232465744,21.086963653564453,34.0,438.488179302,
0.07502679528403002,5419378.0,34,1765929986.1165273,1.2958173751831055,1e-06,0.7022452503442764,29.266145706176758,35.0,450.027065906,
0.07717041800643087,5576075.0,35,1765929997.5470636,1.296482801437378,1e-06,0.7006801068782806,14.400689125061035,36.0,461.457586873,
0.07931404072883172,5720029.0,36,1765930007.8497343,1.325775384902954,1e-06,0.6986569315195084,27.225658416748047,37.0,471.760291471,
0.08145766345123258,5884915.0,37,1765930021.6567965,1.276540756225586,1e-06,0.7064478099346161,43.545082092285156,38.0,485.56734761,
0.08360128617363344,6032758.0,38,1765930034.6328757,1.3063284158706665,1e-06,0.7003532350063324,74.14234161376953,39.0,498.54344738,
0.0857449088960343,6187550.0,39,1765930045.9946666,1.291477918624878,1e-06,0.7031286656856537,74.69568634033203,40.0,509.905207595,
