name,id,state,created_at,is_grid_run,learning_rate,lora_rank,method,model_size,final_loss
lr1e-5_r16_lora_8B,ddld3p6t,finished,2025-12-16T20:34:05Z,True,1e-05,16.0,lora,8B,0.8236231803894043
lr1e-4_r16_lora_8B,p78y9pma,finished,2025-12-16T20:41:37Z,True,0.0001,16.0,lora,8B,0.7729888558387756
lr1e-5_r1_full_70B,w9icozko,crashed,2025-12-16T22:09:12Z,True,1e-05,,full,70B,0.5821512341499329
lr1e-4_r1_full_70B,cmf0153c,crashed,2025-12-16T22:09:16Z,True,0.0001,,full,70B,0.5912473201751709
lr1e-6_r1_full_70B,03i4meth,crashed,2025-12-16T22:09:20Z,True,1e-06,,full,70B,0.6480538845062256
lr1e-6_r1_full_8B,o9ze1yp9,finished,2025-12-16T23:58:55Z,True,1e-06,,full,8B,0.7599673271179199
lr1e-5_r1_full_8B,h3cwahbu,finished,2025-12-16T23:59:03Z,True,1e-05,,full,8B,0.6757630705833435
lr1e-4_r1_full_8B,444h3ylu,finished,2025-12-16T23:59:04Z,True,0.0001,,full,8B,0.6200482845306396
lr1e-6_r1_full_70B,1i7vlegp,crashed,2025-12-17T00:00:39Z,True,1e-06,,full,70B,0.6480538845062256
lr1e-4_r1_full_70B,5546isrv,crashed,2025-12-17T00:00:42Z,True,0.0001,,full,70B,0.5912473201751709
lr1e-5_r1_full_70B,mckk3209,crashed,2025-12-17T00:00:43Z,True,1e-05,,full,70B,0.5821512341499329
lr1e-5_r1_full_70B,syq2kdm1,crashed,2025-12-17T11:06:05Z,True,1e-05,,full,70B,0.5821512341499329
lr1e-6_r1_full_70B,syfx7dme,crashed,2025-12-17T11:06:22Z,True,1e-06,,full,70B,0.6480538845062256
lr1e-4_r1_full_70B,eyrf4qj0,crashed,2025-12-17T11:07:11Z,True,0.0001,,full,70B,0.5912473201751709
golden-jazz-130,e9gvlpml,finished,2025-12-17T20:44:49Z,False,,,,,
likely-terrain-131,og2mq6va,finished,2025-12-17T20:45:42Z,False,,,,,
unique-mountain-132,sg7jowki,finished,2025-12-17T20:48:12Z,False,,,,,
Apertus-8B-Instruct_2025-12-17_23-50-52,jale1k7p,finished,2025-12-17T22:50:54Z,False,,,,,
Apertus-70B-Instruct_2025-12-17_23-55-50,wyigic5v,finished,2025-12-17T22:55:52Z,False,,,,,
lr1e-5_r1_full_70B,wc2arfqk,crashed,2025-12-18T09:50:42Z,True,1e-05,,full,70B,0.5821512341499329
lr1e-5_r1_full_70B,n0hnn9s8,crashed,2025-12-18T10:15:37Z,True,1e-05,,full,70B,0.5821512341499329
lr1e-3_r128_lora_8B_checkpoint-100_2025-12-18_11-18-30,ldqhfusu,finished,2025-12-18T10:18:31Z,True,0.001,128.0,lora,8B,
grid_8B_lora_lr1e-4_r512_lora_8B_2025-12-18_11-27-37,ibrsdzua,finished,2025-12-18T10:27:38Z,False,,,,,
lr1e-4_r1_lora_8B_checkpoint-467_2025-12-18_11-46-31,wwnjfyqx,finished,2025-12-18T10:46:33Z,True,0.0001,1.0,lora,8B,
lr1e-6_r1_full_70B,mpw9ftax,finished,2025-12-18T10:50:22Z,True,1e-06,,full,70B,0.6480538845062256
lr1e-4_r1_full_70B,0brclhjf,finished,2025-12-18T10:50:23Z,True,0.0001,,full,70B,0.5912473201751709
lr1e-5_r1_full_70B,l25goijn,finished,2025-12-18T12:18:56Z,True,1e-05,,full,70B,0.5821512341499329
lr1e-4_r4_lora_8B_checkpoint-467_2025-12-18_13-35-47,sfgdtw3w,finished,2025-12-18T12:35:48Z,True,0.0001,4.0,lora,8B,
lr1e-5_r64_lora_70B_checkpoint-467_2025-12-18_14-20-29,2prk25n4,finished,2025-12-18T13:20:31Z,True,1e-05,64.0,lora,70B,
COMPARISON_CONTAINERS_PERFORMANCE,6gt8g0tg,finished,2025-12-18T14:30:55Z,False,,,,,
lr1e-4_r64_nnodes4_lora_8B,okuxwb6e,finished,2025-12-18T15:46:21Z,False,,,,,
lr1e-4_r64_nnodes1_lora_8B,dqskuxki,finished,2025-12-18T15:49:38Z,False,,,,,
lr1e-4_r64_nnodes8_lora_8B,rn9enbcy,finished,2025-12-18T15:49:42Z,False,,,,,
lr1e-4_r64_nnodes2_zero2_lora_8B,wfu1vlem,finished,2025-12-18T15:49:58Z,False,,,,,
lr1e-4_r64_nnodes2_zero3_lora_8B,3o1n5auf,finished,2025-12-18T15:50:36Z,False,,,,,
lr1e-4_r64_nnodes1_lora_70B,pcjej9oe,crashed,2025-12-18T15:51:48Z,False,,,,,
lr1e-4_r64_nnodes2_lora_70B,pfju9wj6,finished,2025-12-18T15:51:50Z,False,,,,,
lr1e-4_r64_nnodes8_lora_70B,1riomtup,finished,2025-12-18T15:51:52Z,False,,,,,
grid_8B_full_checkpoint-467_2025-12-18_17-28-43,53i5zo9c,finished,2025-12-18T16:28:44Z,False,,,,,
(DO_NOT_DELETE)grid_70B_lora_checkpoint-lr1e-3_r16_only,2t86l9yo,crashed,2025-12-18T16:28:45Z,False,,,,,
grid_8B_lora_checkpoint-467_2025-12-18_17-28-44,bu5kwdff,finished,2025-12-18T16:28:45Z,False,,,,,
grid_70B_lora_lr1e-4_checkpoint-467_2025-12-18_19-04-38,qqduvpkg,finished,2025-12-18T18:04:40Z,False,,,,,
grid_70B_lora_lr1e-5_checkpoint-467_2025-12-18_19-04-45,1po2qv48,finished,2025-12-18T18:04:46Z,False,,,,,
grid_70B_lora_lr1e-3_checkpoint-467_2025-12-18_19-14-31,a3e6dbj8,finished,2025-12-18T18:14:33Z,False,,,,,
