train/loss,train/epoch,_step,_timestamp,train/num_tokens,train/learning_rate,train/global_step,train/mean_token_accuracy,_runtime,train/grad_norm
1.6913,0.003745318352059925,0,1763911816.7320182,307884.0,0.0,1,0.6550354957580566,33.041861063,0.5289572477340698
1.6538,0.00749063670411985,1,1763911836.6866593,616892.0,2.2222222222222223e-05,2,0.6642025113105774,52.996310015,0.5144447088241577
1.6804,0.011235955056179775,2,1763911856.7379177,914492.0,4.4444444444444447e-05,3,0.6600825190544128,73.047568652,0.5413157939910889
1.6815,0.0149812734082397,3,1763911871.761571,1204552.0,6.666666666666667e-05,4,0.6612135171890259,88.071246796,0.7135536074638367
1.6549,0.018726591760299626,4,1763911891.3623078,1516999.0,8.888888888888889e-05,5,0.656812846660614,107.672016919,0.9339665770530701
1.5805,0.02247191011235955,5,1763911910.8139312,1824273.0,0.00011111111111111112,6,0.6667035818099976,127.12370897,0.9429280161857605
1.5046,0.026217228464419477,6,1763911930.0862913,2122431.0,0.00013333333333333334,7,0.6728097796440125,146.395985001,0.650073230266571
1.4007,0.0299625468164794,7,1763911946.8721983,2433073.0,0.00015555555555555556,8,0.6852462887763977,163.181815834,0.49064958095550537
1.3218,0.033707865168539325,8,1763911967.0767317,2742099.0,0.00017777777777777779,9,0.6946564316749573,183.386382858,0.3629975914955139
1.2399,0.03745318352059925,9,1763911984.3826137,3049823.0,0.0002,10,0.7110024690628052,200.69220012,0.3733128309249878
1.1961,0.04119850187265917,10,1763912003.9560149,3366319.0,0.00019999332782419382,11,0.7212433218955994,220.265753,0.49263107776641846
1.1179,0.0449438202247191,11,1763912021.402148,3670927.0,0.00019997331228606256,12,0.7329602241516113,237.71187312,0.6184127330780029
1.0835,0.04868913857677903,12,1763912036.983286,3980081.0,0.00019993995635332154,13,0.7355051636695862,253.292927932,1.716939926147461
0.9911,0.052434456928838954,13,1763912056.2102842,4307849.0,0.00019989326497167406,14,0.7578317523002625,272.519975447,0.6368212699890137
0.9163,0.056179775280898875,14,1763912076.1206338,4600144.0,0.00019983324506407806,15,0.7763309478759766,292.430323322,0.40674152970314026
0.908,0.0599250936329588,15,1763912095.3255763,4911629.0,0.00019975990552971966,16,0.773755669593811,311.635179959,0.2733239531517029
0.8598,0.06367041198501873,16,1763912113.1219056,5202873.0,0.00019967325724269366,17,0.7832801938056946,329.431697465,0.24587467312812805
0.8626,0.06741573033707865,17,1763912132.7700481,5513804.0,0.00019957331305039123,18,0.7816407680511475,349.079680287,0.19143128395080566
0.8337,0.07116104868913857,18,1763912150.295248,5827396.0,0.00019946008777159516,19,0.7857995629310608,366.604935897,0.1919250190258026
0.8482,0.0749063670411985,19,1763912169.9189072,6125119.0,0.00019933359819428238,20,0.7833904027938843,386.228632023,0.1728786677122116
0.851,0.07865168539325842,20,1763912190.0134175,6446256.0,0.0001991938630731351,21,0.7794533371925354,406.323097681,0.14662079513072968
0.8551,0.08239700374531835,21,1763912210.0391657,6770634.0,0.00019904090312675995,22,0.7788739204406738,426.348908978,0.1254265010356903
0.8053,0.08614232209737828,22,1763912229.4811554,7079539.0,0.00019887474103461573,23,0.7905718684196472,445.790915725,0.111382395029068
0.8126,0.0898876404494382,23,1763912248.9608798,7393944.0,0.00019869540143365127,24,0.7886598110198975,465.270689948,0.11816806346178055
0.8128,0.09363295880149813,24,1763912268.558349,7711115.0,0.00019850291091465195,25,0.7888793349266052,484.868093749,0.13974110782146454
0.782,0.09737827715355805,25,1763912288.102242,8009613.0,0.0001982972980182975,26,0.7944563627243042,504.411916669,0.1245957762002945
0.8078,0.10112359550561797,26,1763912308.1705723,8330631.0,0.0001980785932309299,27,0.7872403860092163,524.480269586,0.08788980543613434
0.8282,0.10486891385767791,27,1763912327.8966146,8654961.0,0.00019784682898003347,28,0.7832446098327637,544.206206852,0.08528176695108414
0.79,0.10861423220973783,28,1763912347.094393,8973291.0,0.0001976020396294265,29,0.7928845286369324,563.404003288,0.08470368385314941
0.7696,0.11235955056179775,29,1763912366.3407493,9270008.0,0.00019734426147416647,30,0.7964426279067993,582.650494367,0.07407490909099579
0.7626,0.11610486891385768,30,1763912383.9915516,9564053.0,0.0001970735327351683,31,0.797943651676178,600.301149666,0.06086430698633194
0.7881,0.1198501872659176,31,1763912403.6564958,9884430.0,0.00019678989355353726,32,0.7906361222267151,619.966245158,0.05805741250514984
0.8091,0.12359550561797752,32,1763912423.0280027,10201899.0,0.0001964933859846176,33,0.7853010296821594,639.337786265,0.06678901612758636
