train/mean_token_accuracy,_step,train/loss,train/learning_rate,_runtime,_timestamp,train/grad_norm,train/epoch,train/global_step,train/num_tokens
0.6423570811748505,0,1.7347650527954102,0.0,29.534741872,1765491662.552112,132.4456329345703,0.00375234521575985,1,307884.0
0.6513416767120361,1,1.6955139636993408,2.222222222222222e-06,52.747842909,1765491685.7655125,138.55224609375,0.0075046904315197,2,616892.0
0.6480425447225571,2,1.7108203172683716,4.444444444444444e-06,73.528959129,1765491706.5466092,330.08941650390625,0.01125703564727955,3,914492.0
0.6491540819406509,3,1.7001795768737793,6.666666666666667e-06,91.759719568,1765491724.7773938,47.09090805053711,0.0150093808630394,4,1204552.0
0.6429881304502487,4,1.6703126430511475,8.888888888888888e-06,114.765890725,1765491747.783581,48.49679946899414,0.01876172607879925,5,1516999.0
0.6573244631290436,5,1.5575838088989258,1.1111111111111113e-05,135.710838102,1765491768.728499,37.873451232910156,0.0225140712945591,6,1824273.0
0.6570412665605545,6,1.52260160446167,1.3333333333333333e-05,155.512656206,1765491788.530348,39.6264533996582,0.02626641651031895,7,2122431.0
0.6835495084524155,7,1.3740156888961792,1.555555555555556e-05,174.184946573,1765491807.2025063,10.104122161865234,0.0300187617260788,8,2433073.0
0.7014609277248383,8,1.3098034858703613,1.7777777777777777e-05,196.15227167,1765491829.1699579,82.31816101074219,0.03377110694183865,9,2742099.0
0.7323064208030701,9,1.1350257396697998,2e-05,214.876281253,1765491847.893891,7.796145439147949,0.0375234521575985,10,3049823.0
0.7446611374616623,10,1.081223487854004,1.9999332782419384e-05,238.115446972,1765491871.1330972,9.013134002685547,0.04127579737335835,11,3366319.0
0.7573074251413345,11,1.0075945854187012,1.9997331228606255e-05,256.727979681,1765491889.7456253,14.25994873046875,0.0450281425891182,12,3670927.0
0.768854945898056,12,0.9389477968215942,1.9993995635332155e-05,275.910929974,1765491908.9284966,4.788972854614258,0.04878048780487805,13,3980081.0
0.7632163316011429,13,0.9549767374992371,1.9989326497167408e-05,297.423571717,1765491930.4411628,4.586176872253418,0.0525328330206379,14,4307849.0
0.77381931245327,14,0.9117968678474426,1.9983324506407807e-05,317.599457777,1765491950.61712,2.287619113922119,0.05628517823639775,15,4600144.0
0.7684071809053421,15,0.9304497838020325,1.9975990552971967e-05,340.157923392,1765491973.1755996,1.4625792503356934,0.0600375234521576,16,4911629.0
0.7780056297779083,16,0.885283350944519,1.9967325724269365e-05,360.373090135,1765491993.3907766,0.9712832570075989,0.06378986866791744,17,5202873.0
0.7737471014261246,17,0.8994081020355225,1.9957331305039123e-05,381.700958828,1765492014.7186148,0.9274317026138306,0.0675422138836773,18,5513804.0
0.7787982076406479,18,0.8732455968856812,1.9946008777159516e-05,401.664942902,1765492034.6826217,0.8435013890266418,0.07129455909943715,19,5827396.0
0.7747979760169983,19,0.8895788788795471,1.993335981942824e-05,421.258082773,1765492054.2756312,0.8329045176506042,0.075046904315197,20,6125119.0
0.7708159685134888,20,0.8998105525970459,1.9919386307313514e-05,444.833624175,1765492077.8511684,0.8960007429122925,0.07879924953095685,21,6446256.0
0.769801989197731,21,0.9088203310966492,1.9904090312675996e-05,468.161126699,1765492101.178769,0.9816392660140991,0.0825515947467167,22,6770634.0
0.779953122138977,22,0.864261269569397,1.9887474103461576e-05,491.57023641,1765492124.5878754,0.8814715147018433,0.08630393996247655,23,7079539.0
0.776691123843193,23,0.8723381757736206,1.9869540143365127e-05,512.427327583,1765492145.4449792,2.6588072776794434,0.0900562851782364,24,7393944.0
0.7772207409143448,24,0.8770968914031982,1.9850291091465197e-05,535.613243361,1765492168.630863,1.0251156091690063,0.09380863039399624,25,7711115.0
0.7830905467271805,25,0.8452679514884949,1.982972980182975e-05,558.045637439,1765492191.0632823,0.6811162233352661,0.0975609756097561,26,8009613.0
0.7747679054737091,26,0.8778253197669983,1.980785932309299e-05,578.917357431,1765492211.9349198,0.8482418060302734,0.10131332082551595,27,8330631.0
0.7705352306365967,27,0.8955250382423401,1.9784682898003346e-05,603.194501456,1765492236.2121851,0.778796911239624,0.1050656660412758,28,8654961.0
0.7799876183271408,28,0.8546196222305298,1.9760203962942653e-05,624.614791483,1765492257.632483,0.9340358376502991,0.10881801125703565,29,8973291.0
0.7834903746843338,29,0.8362563848495483,1.9734426147416648e-05,643.597025717,1765492276.614568,0.8060430288314819,0.1125703564727955,30,9270008.0
0.7845329195261002,30,0.8261306285858154,1.970735327351683e-05,664.181367333,1765492297.1990252,0.6813033223152161,0.11632270168855535,31,9564053.0
0.7799516916275024,31,0.8551280498504639,1.967898935535373e-05,686.131402852,1765492319.1490777,0.8191419243812561,0.1200750469043152,32,9884430.0
0.7753859609365463,32,0.8758809566497803,1.964933859846176e-05,707.397093014,1765492340.4148016,0.6432099342346191,0.12382739212007504,33,10201899.0
0.7829896956682205,33,0.8450548648834229,1.9618405399175656e-05,729.074764218,1765492362.0924432,0.5210410952568054,0.1275797373358349,34,10517531.0
0.7984637320041656,34,0.7913045883178711,1.9586194343978605e-05,749.149255449,1765492382.1669085,0.6094679236412048,0.13133208255159476,35,10819542.0
0.7887563109397888,35,0.8282832503318787,1.9552710208822245e-05,768.677728138,1765492401.6953325,0.49928954243659973,0.1350844277673546,36,11120937.0
0.7895229905843735,36,0.825590968132019,1.9517957958418485e-05,789.295453218,1765492422.3131318,0.5582978129386902,0.13883677298311445,37,11441230.0
0.7804379165172577,37,0.8539102077484131,1.948194274550343e-05,811.683685837,1765492444.7013898,0.5188184976577759,0.1425891181988743,38,11761234.0
