train/mean_token_accuracy,train/loss,_runtime,train/grad_norm,train/learning_rate,train/epoch,train/num_tokens,train/global_step,_step,_timestamp
0.6566208899021149,1.6930222511291504,17.293317819,0.18835753202438354,0.0001,0.0021436227224008574,136605.0,1,0,1766073054.4583924
0.6479800492525101,1.6889339685440063,26.1318236,0.19455118477344513,0.0001,0.004287245444801715,292128.0,2,1,1766073063.2970667
0.6642673760652542,1.6163398027420044,34.407628843,0.24815090000629425,0.0001,0.006430868167202572,444535.0,3,2,1766073071.5728817
0.6524580866098404,1.6382701396942139,42.267966041,0.28439122438430786,0.0001,0.00857449088960343,592263.0,4,3,1766073079.4332144
0.6628914028406143,1.567010760307312,50.204453764,0.2788413465023041,0.0001,0.010718113612004287,737019.0,5,4,1766073087.3697186
0.676315650343895,1.4721444845199585,58.693976251,0.2339460253715515,0.0001,0.012861736334405145,896813.0,6,5,1766073095.8592536
0.6751311868429184,1.4585812091827393,68.648787116,0.21076443791389465,0.0001,0.015005359056806002,1062679.0,7,6,1766073105.8140476
0.6774458885192871,1.4325194358825684,77.227285991,0.24622216820716858,0.0001,0.01714898177920686,1212566.0,8,7,1766073114.3925438
0.6927871257066727,1.3357079029083252,86.910026707,0.1179666817188263,0.0001,0.01929260450160772,1373797.0,9,8,1766073124.075295
0.6895235180854797,1.3575818538665771,95.367977468,0.15173913538455963,0.0001,0.021436227224008574,1516877.0,10,9,1766073132.5332518
0.6966651827096939,1.3169811964035034,103.902879383,0.23518703877925873,0.0001,0.023579849946409433,1663977.0,11,10,1766073141.0681708
0.7198681235313416,1.2243773937225342,111.994949149,0.17727282643318176,0.0001,0.02572347266881029,1815907.0,12,11,1766073149.1602333
0.7259130030870438,1.185425877571106,121.267917912,0.1797051876783371,0.0001,0.027867095391211148,1971911.0,13,12,1766073158.4330766
0.7238629311323166,1.1784266233444214,130.081989205,0.16158580780029297,0.0001,0.030010718113612004,2135596.0,14,13,1766073167.2471478
0.736852303147316,1.119092345237732,138.367575368,0.19482138752937317,0.0001,0.03215434083601286,2285621.0,15,14,1766073175.5327604
0.7445297688245773,1.0904395580291748,148.020845942,0.16768904030323029,0.0001,0.03429796355841372,2441090.0,16,15,1766073185.1861193
0.7591550499200821,1.0299255847930908,156.222946425,0.16077446937561035,0.0001,0.03644158628081458,2591858.0,17,16,1766073193.388084
0.7547021061182022,1.023608684539795,165.431085927,0.15613403916358948,0.0001,0.03858520900321544,2754012.0,18,17,1766073202.5963752
0.7617179304361343,1.0039846897125244,174.307457513,0.16871240735054016,0.0001,0.04072883172561629,2916829.0,19,18,1766073211.472725
0.7572664767503738,1.0181843042373657,182.656897826,0.14582259953022003,0.0001,0.04287245444801715,3061305.0,20,19,1766073219.822137
0.76597560942173,0.9669368267059326,191.153268847,0.1330658495426178,0.0001,0.04501607717041801,3219127.0,21,20,1766073228.318464
0.7690970301628113,0.9568557739257812,200.254199422,0.11010576784610748,0.0001,0.04715969989281887,3380158.0,22,21,1766073237.4193335
0.7717753201723099,0.9473350048065186,208.333929928,0.09974654763936996,0.0001,0.04930332261521972,3539898.0,23,22,1766073245.499188
0.7733504623174667,0.9271107912063599,215.713780912,0.09242181479930878,0.0001,0.05144694533762058,3689574.0,24,23,1766073252.8790193
0.7651693373918533,0.9646481275558472,224.969775313,0.07973223179578781,0.0001,0.05359056806002144,3855970.0,25,24,1766073262.1348977
0.7770317643880844,0.9080698490142822,233.337391688,0.07532757520675659,0.0001,0.055734190782422297,4018658.0,26,25,1766073270.5025868
0.7597665786743164,0.9831374287605286,242.054922584,0.07495082914829254,0.0001,0.05787781350482315,4171160.0,27,26,1766073279.220166
0.7832242548465729,0.8777165412902832,249.725770971,0.06998785585165024,0.0001,0.06002143622722401,4314298.0,28,27,1766073286.8909552
0.7779988050460815,0.8999847173690796,257.65975209,0.06547687947750092,0.0001,0.06216505894962487,4468546.0,29,28,1766073294.8250084
0.7670285701751709,0.9527665376663208,266.627777364,0.05891543626785278,0.0001,0.06430868167202572,4635984.0,30,29,1766073303.7930202
0.7836404740810394,0.8778563737869263,274.569731066,0.05587143078446388,0.0001,0.06645230439442658,4790352.0,31,30,1766073311.7349017
0.7703863084316254,0.9299877285957336,283.465739776,0.04627168923616409,0.0001,0.06859592711682744,4956096.0,32,31,1766073320.6309986
0.7854554951190948,0.8641214966773987,291.02608226,0.0434173159301281,0.0001,0.0707395498392283,5107640.0,33,32,1766073328.191294
0.7832210808992386,0.8723737001419067,299.474878743,0.042909372597932816,0.0001,0.07288317256162916,5265237.0,34,33,1766073336.640138
0.7851772308349609,0.8604437708854675,308.026938155,0.04384878650307655,0.0001,0.07502679528403002,5419378.0,35,34,1766073345.192201
0.7800491601228714,0.8735002279281616,316.303828118,0.04067932814359665,0.0001,0.07717041800643087,5576075.0,36,35,1766073353.4689791
0.7851905226707458,0.8690609931945801,323.957364166,0.04005483537912369,0.0001,0.07931404072883172,5720029.0,37,36,1766073361.1226408
0.7804741412401199,0.8849920034408569,332.697954284,0.03716712072491646,0.0001,0.08145766345123258,5884915.0,38,37,1766073369.8631995
0.7805708199739456,0.8791162967681885,340.943349126,0.03607797995209694,0.0001,0.08360128617363344,6032758.0,39,38,1766073378.1086545
0.7798009961843491,0.8856889605522156,348.923674675,0.03394235670566559,0.0001,0.0857449088960343,6187550.0,40,39,1766073386.088946
0.7741741389036179,0.8965205550193787,358.230703686,0.029951369389891624,0.0001,0.08788853161843516,6355408.0,41,40,1766073395.3959885
