_step,train/loss,train/epoch,train/global_step,train/mean_token_accuracy,train/num_tokens,train/grad_norm,_runtime,_timestamp,train/learning_rate
0,1.6945645809173584,0.0021436227224008574,1,0.6562617868185043,136605.0,0.37285667657852173,9.511549089,1765917255.1885812,1e-05
1,1.6995489597320557,0.004287245444801715,2,0.6467599123716354,292128.0,0.34145909547805786,16.350742264,1765917262.028023,1e-05
2,1.6500195264816284,0.006430868167202572,3,0.6625012308359146,444535.0,0.34576740860939026,22.447750126,1765917268.1250465,1e-05
3,1.7163900136947632,0.00857449088960343,4,0.647254079580307,592263.0,0.3673038184642792,28.655894165,1765917274.3331654,1e-05
4,1.6970665454864502,0.010718113612004287,5,0.6539372652769089,737019.0,0.3732156455516815,34.37857562,1765917280.055878,1e-05
5,1.646142601966858,0.012861736334405145,6,0.6607035845518112,896813.0,0.36121031641960144,40.864744489,1765917286.5420558,1e-05
6,1.6714872121810913,0.015005359056806002,7,0.6529329717159271,1062679.0,0.35133177042007446,48.868649275,1765917294.5459397,1e-05
7,1.7137150764465332,0.01714898177920686,8,0.6453342288732529,1212566.0,0.39590582251548767,55.397765021,1765917301.0750303,1e-05
8,1.6307090520858765,0.01929260450160772,9,0.6610368341207504,1373797.0,0.3766997754573822,63.284768455,1765917308.9620845,1e-05
9,1.7232067584991455,0.021436227224008574,10,0.6478654593229294,1516877.0,0.4184491038322449,69.567665623,1765917315.2449486,1e-05
10,1.7077088356018066,0.023579849946409433,11,0.6471375524997711,1663977.0,0.4214377999305725,75.899112421,1765917321.5764155,1e-05
11,1.6436495780944824,0.02572347266881029,12,0.662240594625473,1815907.0,0.42078983783721924,81.906840667,1765917327.58417,1e-05
12,1.629132866859436,0.027867095391211148,13,0.6624217927455902,1971911.0,0.42321279644966125,88.856295934,1765917334.533598,1e-05
13,1.639381766319275,0.030010718113612004,14,0.6585284024477005,2135596.0,0.4197053909301758,95.894218742,1765917341.5715177,1e-05
14,1.657006025314331,0.03215434083601286,15,0.6544664204120636,2285621.0,0.4550642669200897,102.760408686,1765917348.4376972,1e-05
15,1.643600344657898,0.03429796355841372,16,0.6576074659824371,2441090.0,0.4457522928714752,110.118271654,1765917355.795567,1e-05
16,1.634671688079834,0.03644158628081458,17,0.6615463942289352,2591858.0,0.4680103361606598,116.563008305,1765917362.2402809,1e-05
17,1.609076738357544,0.03858520900321544,18,0.6587207615375519,2754012.0,0.456493616104126,124.159805905,1765917369.837101,1e-05
18,1.6074562072753906,0.04072883172561629,19,0.6613712161779404,2916829.0,0.4594826102256775,131.276315176,1765917376.9536161,1e-05
19,1.7131037712097168,0.04287245444801715,20,0.6427900642156601,3061305.0,0.5324859619140625,137.474595268,1765917383.1518872,1e-05
20,1.6153416633605957,0.04501607717041801,21,0.6595475673675537,3219127.0,0.4941336512565613,143.764589766,1765917389.4418774,1e-05
21,1.6020952463150024,0.04715969989281887,22,0.6610769778490067,3380158.0,0.49267587065696716,150.707491766,1765917396.384827,1e-05
22,1.6007941961288452,0.04930332261521972,23,0.6620049923658371,3539898.0,0.4958454668521881,157.005922243,1765917402.683218,1e-05
23,1.6294333934783936,0.05144694533762058,24,0.6559015661478043,3689574.0,0.5298182368278503,161.971773002,1765917407.6490734,1e-05
24,1.5984281301498413,0.05359056806002144,25,0.6579015403985977,3855970.0,0.48687341809272766,169.632373037,1765917415.3096783,1e-05
25,1.5562052726745605,0.055734190782422297,26,0.6671291440725327,4018658.0,0.48238450288772583,176.285325228,1765917421.9626122,1e-05
26,1.6686843633651733,0.05787781350482315,27,0.644881010055542,4171160.0,0.521270751953125,183.001357605,1765917428.6786463,1e-05
27,1.606815218925476,0.06002143622722401,28,0.6601101756095886,4314298.0,0.5430850386619568,188.290736316,1765917433.9680095,1e-05
28,1.5781728029251099,0.06216505894962487,29,0.659967765212059,4468546.0,0.5149906873703003,194.501093958,1765917440.1783915,1e-05
29,1.5698744058609009,0.06430868167202572,30,0.660547286272049,4635984.0,0.46994146704673767,201.736970663,1765917447.4142625,1e-05
30,1.5479828119277954,0.06645230439442658,31,0.6684444099664688,4790352.0,0.5034548044204712,207.696566624,1765917453.3738713,1e-05
31,1.5487143993377686,0.06859592711682744,32,0.6635327339172363,4956096.0,0.47189861536026,214.840974454,1765917460.51826,1e-05
32,1.5382070541381836,0.0707395498392283,33,0.6671093553304672,5107640.0,0.5115010142326355,220.690841488,1765917466.3681657,1e-05
33,1.5084848403930664,0.07288317256162916,34,0.6708159893751144,5265237.0,0.48998764157295227,227.239169226,1765917472.9164813,1e-05
34,1.5075454711914062,0.07502679528403002,35,0.6710839718580246,5419378.0,0.48937052488327026,233.49362724,1765917479.1709347,1e-05
35,1.5076661109924316,0.07717041800643087,36,0.6681001782417297,5576075.0,0.48520565032958984,239.344734798,1765917485.0218325,1e-05
36,1.554828405380249,0.07931404072883172,37,0.6614757627248764,5720029.0,0.5176531076431274,244.588173884,1765917490.2654736,1e-05
37,1.4783926010131836,0.08145766345123258,38,0.6732208877801895,5884915.0,0.45544639229774475,251.688343254,1765917497.365671,1e-05
38,1.5305967330932617,0.08360128617363344,39,0.6629779636859894,6032758.0,0.5029188990592957,257.999219636,1765917503.6764345,1e-05
39,1.5035232305526733,0.0857449088960343,40,0.667528361082077,6187550.0,0.47362321615219116,264.105625237,1765917509.7829375,1e-05
40,1.4680805206298828,0.08788853161843516,41,0.6707985997200012,6355408.0,0.4405112564563751,271.768712475,1765917517.4459672,1e-05
41,1.4707804918289185,0.09003215434083602,42,0.6704914718866348,6519771.0,0.45260339975357056,278.686864827,1765917524.3641026,1e-05
42,1.47173273563385,0.09217577706323687,43,0.672765389084816,6672296.0,0.47931212186813354,284.768271778,1765917530.4455414,1e-05
43,1.460863471031189,0.09431939978563773,44,0.6707491725683212,6843136.0,0.43321385979652405,293.42120694,1765917539.0985105,1e-05
44,1.5064630508422852,0.09646302250803858,45,0.6619253754615784,6993296.0,0.48733657598495483,300.633097841,1765917546.31045,1e-05
45,1.4555737972259521,0.09860664523043944,46,0.6765308082103729,7142356.0,0.4928772449493408,307.173377775,1765917552.8507004,1e-05
46,1.4415549039840698,0.1007502679528403,47,0.6771802455186844,7294167.0,0.48374834656715393,312.858956195,1765917558.5362756,1e-05
47,1.4468727111816406,0.10289389067524116,48,0.6719854772090912,7470762.0,0.4209807813167572,321.080585479,1765917566.7578838,1e-05
48,1.4155499935150146,0.10503751339764202,49,0.6823268681764603,7629052.0,0.4711228311061859,328.794038404,1765917574.4713552,1e-05
49,1.4126636981964111,0.10718113612004287,50,0.6820014268159866,7779609.0,0.496699720621109,334.188627109,1765917579.8659413,1e-05
50,1.4421442747116089,0.10932475884244373,51,0.674839437007904,7927458.0,0.5120064616203308,340.733895314,1765917586.411239,1e-05
51,1.4096076488494873,0.11146838156484459,52,0.6832893937826157,8078023.0,0.5067329406738281,346.33362231,1765917592.0109484,1e-05
52,1.4066565036773682,0.11361200428724544,53,0.6834604293107986,8230483.0,0.5021925568580627,352.320305093,1765917597.9976397,1e-05
53,1.3936136960983276,0.1157556270096463,54,0.6880565285682678,8375984.0,0.5351888537406921,358.56730579,1765917604.2446218,1e-05
54,1.402031660079956,0.11789924973204716,55,0.6812748610973358,8547262.0,0.4642311632633209,365.535312987,1765917611.2126474,1e-05
55,1.4061436653137207,0.12004287245444802,56,0.6825563311576843,8704936.0,0.4668324887752533,372.44503972,1765917618.1223633,1e-05
56,1.3467669486999512,0.12218649517684887,57,0.6945981383323669,8867795.0,0.3878064751625061,379.408472464,1765917625.0858037,1e-05
57,1.3785030841827393,0.12433011789924973,58,0.6884320676326752,9019339.0,0.35250309109687805,385.379481519,1765917631.0567756,1e-05
58,1.3312263488769531,0.1264737406216506,59,0.6958552747964859,9189045.0,0.31435656547546387,391.797566541,1765917637.4748862,1e-05
