_step,train/mean_token_accuracy,train/num_tokens,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step
0,0.6681089401245117,136605.0,72.076001996,1.6704316139221191,20.154674530029297,1e-05,0.0021436227224008574,1766060409.2190814,1
1,0.68899005651474,292128.0,125.795612145,1.3736975193023682,9.202851295471191,1e-05,0.004287245444801715,1766060462.9388392,2
2,0.7364269196987152,444535.0,172.901810793,1.1054356098175049,16.04766273498535,1e-05,0.006430868167202572,1766060510.0450814,3
3,0.7445755302906036,592263.0,218.154295535,1.0721774101257324,12.804197311401367,1e-05,0.00857449088960343,1766060555.2975254,4
4,0.7658008337020874,737019.0,263.57413912,0.9423146843910217,15.66989517211914,1e-05,0.010718113612004287,1766060600.7173946,5
5,0.7800815403461456,896813.0,313.147418253,0.9036489725112915,19.86229133605957,1e-05,0.012861736334405145,1766060650.2906702,6
6,0.775319904088974,1062679.0,367.204832289,0.9236475825309753,13.554121017456055,1e-05,0.015005359056806002,1766060704.3480797,7
7,0.7848245799541473,1212566.0,416.554319197,0.8486197590827942,3.9507906436920166,1e-05,0.01714898177920686,1766060753.6975431,8
8,0.7949655950069427,1373797.0,473.198940707,0.8015698790550232,1.4403055906295776,1e-05,0.01929260450160772,1766060810.3421607,9
9,0.795246422290802,1516877.0,524.523804367,0.7956700325012207,3.0320637226104736,1e-05,0.021436227224008574,1766060861.667023,10
10,0.7921095490455627,1663977.0,572.864608899,0.794770359992981,1.6900153160095215,1e-05,0.023579849946409433,1766060910.007835,11
11,0.8057827055454254,1815907.0,621.015689865,0.7395696640014648,1.728186845779419,1e-05,0.02572347266881029,1766060958.158927,12
12,0.8062781691551208,1971911.0,674.273769954,0.7414358854293823,2.662949323654175,1e-05,0.027867095391211148,1766061011.4170198,13
13,0.7948053479194641,2135596.0,726.159422176,0.7830987572669983,2.585606575012207,1e-05,0.030010718113612004,1766061063.3026524,14
14,0.8020720183849335,2285621.0,775.409095918,0.7434905171394348,1.8529058694839478,1e-05,0.03215434083601286,1766061112.5523155,15
15,0.8024690449237823,2441090.0,825.942417007,0.7560303807258606,3.1086008548736572,1e-05,0.03429796355841372,1766061163.0857055,16
16,0.8085240423679352,2591858.0,874.599249654,0.7235742211341858,2.054511785507202,1e-05,0.03644158628081458,1766061211.7425249,17
17,0.8008415102958679,2754012.0,926.48739958,0.7517801523208618,1.7432897090911865,1e-05,0.03858520900321544,1766061263.6306665,18
18,0.8015060424804688,2916829.0,977.671830364,0.7478756308555603,1.5325664281845093,1e-05,0.04072883172561629,1766061314.8151083,19
19,0.7989290654659271,3061305.0,1026.775617566,0.7637147307395935,2.038999319076538,1e-05,0.04287245444801715,1766061363.9189034,20
20,0.8056113123893738,3219127.0,1074.768304181,0.7423986196517944,1.9431533813476562,1e-05,0.04501607717041801,1766061411.9115934,21
21,0.8014823794364929,3380158.0,1128.964901837,0.741787314414978,1.6157175302505493,1e-05,0.04715969989281887,1766061466.1081667,22
22,0.8033648431301117,3539898.0,1176.547614881,0.745567798614502,1.7590426206588745,1e-05,0.04930332261521972,1766061513.6908805,23
23,0.8054819703102112,3689574.0,1215.876958996,0.7314280271530151,1.8135043382644653,1e-05,0.05144694533762058,1766061553.0202456,24
24,0.7945338487625122,3855970.0,1273.141066792,0.7757118940353394,1.5260733366012573,1e-05,0.05359056806002144,1766061610.2843194,25
25,0.807165801525116,4018658.0,1322.188602606,0.7220466136932373,1.126214861869812,1e-05,0.055734190782422297,1766061659.3318465,26
26,0.7911939918994904,4171160.0,1379.930825195,0.7885344624519348,1.439125895500183,1e-05,0.05787781350482315,1766061717.0740705,27
27,0.8140445649623871,4314298.0,1421.561165914,0.6850814819335938,0.5820909738540649,1e-05,0.06002143622722401,1766061758.7044415,28
28,0.8082581758499146,4468546.0,1467.184324597,0.7161341309547424,1.3110241889953613,1e-05,0.06216505894962487,1766061804.3275917,29
29,0.7944678664207458,4635984.0,1521.90852665,0.7773803472518921,1.143275260925293,1e-05,0.06430868167202572,1766061859.0517862,30
30,0.8108022511005402,4790352.0,1565.888762341,0.7054874897003174,0.9086647629737854,1e-05,0.06645230439442658,1766061903.031969,31
31,0.79880690574646,4956096.0,1616.415158098,0.7581217288970947,1.1069772243499756,1e-05,0.06859592711682744,1766061953.5584176,32
32,0.8106738030910492,5107640.0,1659.459877664,0.7049341797828674,6.53781270980835,1e-05,0.0707395498392283,1766061996.603124,33
33,0.80782350897789,5265237.0,1712.781715996,0.7122727632522583,1.1386723518371582,1e-05,0.07288317256162916,1766062049.9249566,34
34,0.8126134872436523,5419378.0,1761.369798499,0.6960779428482056,0.7160616517066956,1e-05,0.07502679528403002,1766062098.5130749,35
35,0.8079056739807129,5576075.0,1807.591466348,0.712743878364563,1.1159931421279907,1e-05,0.07717041800643087,1766062144.7347243,36
36,0.8113863170146942,5720029.0,1850.416191499,0.702747642993927,1.1274476051330566,1e-05,0.07931404072883172,1766062187.559447,37
37,0.8054926991462708,5884915.0,1903.224350437,0.7290387153625488,0.7652724981307983,1e-05,0.08145766345123258,1766062240.3676085,38
38,0.8081753253936768,6032758.0,1954.493169938,0.7160544395446777,1.0663586854934692,1e-05,0.08360128617363344,1766062291.6364677,39
39,0.8058862090110779,6187550.0,2001.999983098,0.728028416633606,0.5100985765457153,1e-05,0.0857449088960343,1766062339.1432295,40
40,0.7997714579105377,6355408.0,2056.08853404,0.7464303970336914,0.8781967163085938,1e-05,0.08788853161843516,1766062393.2318184,41
41,0.8004090785980225,6519771.0,2106.086336875,0.742333173751831,0.666965663433075,1e-05,0.09003215434083602,1766062443.229606,42
42,0.8102552890777588,6672296.0,2152.304970626,0.7033406496047974,0.8001048564910889,1e-05,0.09217577706323687,1766062489.4482028,43
43,0.7957258522510529,6843136.0,2209.761273851,0.7637007832527161,0.7096205949783325,1e-05,0.09431939978563773,1766062546.90452,44
44,0.8001131117343903,6993296.0,2268.639078863,0.7347757816314697,0.6601033210754395,1e-05,0.09646302250803858,1766062605.7823508,45
45,0.8140756189823151,7142356.0,2320.950890168,0.6884908676147461,0.7155171632766724,1e-05,0.09860664523043944,1766062657.9645298,46
46,0.8134457170963287,7294167.0,2365.084402459,0.6877933144569397,0.558975100517273,1e-05,0.1007502679528403,1766062702.227581,47
47,0.7892534732818604,7470762.0,2422.817135686,0.7939435243606567,0.6313243508338928,1e-05,0.10289389067524116,1766062759.9603724,48
48,0.8086349070072174,7629052.0,2493.162003085,0.7110106945037842,0.49200165271759033,1e-05,0.10503751339764202,1766062830.3052576,49
49,0.814490020275116,7779609.0,2534.340735188,0.687964916229248,0.6022782325744629,1e-05,0.10718113612004287,1766062871.4839783,50
50,0.8083623349666595,7927458.0,2595.829123142,0.7104955911636353,0.49601122736930847,1e-05,0.10932475884244373,1766062932.972402,51
51,0.8123733103275299,8078023.0,2640.121551276,0.6938163042068481,0.5845692753791809,1e-05,0.11146838156484459,1766062977.2648013,52
52,0.8082677125930786,8230483.0,2687.015293988,0.7086279392242432,0.5001859664916992,1e-05,0.11361200428724544,1766063024.1585824,53
53,0.8173987865447998,8375984.0,2734.105814124,0.6754827499389648,0.6007615923881531,1e-05,0.1157556270096463,1766063071.2490778,54
54,0.7946284413337708,8547262.0,2787.596038869,0.7674514651298523,0.4977421760559082,1e-05,0.11789924973204716,1766063124.7393074,55
55,0.8018238246440887,8704936.0,2838.376973625,0.7422981262207031,0.508071780204773,1e-05,0.12004287245444802,1766063175.520245,56
