train/learning_rate,_step,_timestamp,train/global_step,train/mean_token_accuracy,train/loss,train/epoch,train/grad_norm,_runtime,train/num_tokens,eval/accuracy
0.001,0,1765916576.862417,1.0,0.6688115298748016,1.670913815498352,0.0021436227224008574,3.001995325088501,42.41247516,136605.0,
0.001,1,1765916611.398364,2.0,0.6902280449867249,1.3777611255645752,0.004287245444801715,2.9260709285736084,76.948185431,292128.0,
0.001,2,1765916640.4361072,3.0,0.5358417332172394,2.2830896377563477,0.006430868167202572,27.06963539123535,105.985925294,444535.0,
0.001,3,1765916667.3201587,4.0,0.6475611925125122,1.5765577554702759,0.00857449088960343,11.40334701538086,132.869965994,592263.0,
0.001,4,1765916694.6825829,5.0,0.713105708360672,1.2398014068603516,0.010718113612004287,3.8300375938415527,160.232416568,737019.0,
0.001,5,1765916725.6087823,6.0,0.7547677755355835,1.0463882684707642,0.012861736334405145,3.4442784786224365,191.158602463,896813.0,
0.001,6,1765916760.4132226,7.0,0.7664473950862885,0.9586401581764221,0.015005359056806002,7.022257328033447,225.96302277,1062679.0,
0.001,7,1765916790.4796753,8.0,0.755100667476654,1.002274513244629,0.01714898177920686,15.555569648742676,256.02946779,1212566.0,
0.001,8,1765916827.4455411,9.0,0.7746928334236145,0.9132429361343384,0.01929260450160772,3.598518133163452,292.995362561,1373797.0,
0.001,9,1765916859.7504568,10.0,0.7644642293453217,0.9721382260322571,0.021436227224008574,4.349481582641602,325.300267177,1516877.0,
0.001,10,1765916889.0666387,11.0,0.7755200862884521,0.920691967010498,0.023579849946409433,3.9928977489471436,354.616426086,1663977.0,
0.001,11,1765916918.3374867,12.0,0.7874795496463776,0.8622192144393921,0.02572347266881029,4.800416946411133,383.887293463,1815907.0,
0.001,12,1765916952.0983207,13.0,0.7909289002418518,0.8480442762374878,0.027867095391211148,1.3364425897598267,417.64815292,1971911.0,
0.001,13,1765916985.1156948,14.0,0.7833845615386963,0.8741139769554138,0.030010718113612004,4.138452053070068,450.665464446,2135596.0,
0.001,14,1765917015.228226,15.0,0.7896520495414734,0.8421027660369873,0.03215434083601286,1.1893160343170166,480.777991598,2285621.0,
0.001,15,1765917046.4024563,16.0,0.7916261851787567,0.8425464630126953,0.03429796355841372,8.36262321472168,511.952264717,2441090.0,
0.001,16,1765917077.2920697,17.0,0.7914358377456665,0.8670505285263062,0.03644158628081458,3.31498646736145,542.841901877,2591858.0,
0.001,17,1765917109.4684668,18.0,0.7809596359729767,0.8589532375335693,0.03858520900321544,2.451874256134033,575.018280641,2754012.0,
0.001,18,1765917141.369414,19.0,0.7827038764953613,0.861953616142273,0.04072883172561629,10.38503646850586,606.91922984,2916829.0,
0.001,19,1765917171.511652,20.0,0.7437907159328461,1.0315568447113037,0.04287245444801715,17.62921905517578,637.061460316,3061305.0,
0.001,20,1765917200.632958,21.0,0.7640539705753326,0.9523388743400574,0.04501607717041801,2.4009246826171875,666.182829007,3219127.0,
0.001,21,1765917235.208861,22.0,0.7826092839241028,0.8380521535873413,0.04715969989281887,2.7669389247894287,700.758636839,3380158.0,
0.001,22,1765917263.8591225,23.0,0.7901327013969421,0.8198750615119934,0.04930332261521972,1.349289059638977,729.408986487,3539898.0,
0.001,23,1765917285.3909953,24.0,0.7823985815048218,0.8925357460975647,0.05144694533762058,34.53167724609375,750.940779311,3689574.0,
0.001,24,1765917323.0969944,25.0,0.7735389173030853,0.895923912525177,0.05359056806002144,1.6253175735473633,788.646821676,3855970.0,
0.001,25,1765917353.0472581,26.0,0.7949792742729187,0.794662356376648,0.055734190782422297,1.7400182485580444,818.597081888,4018658.0,
0.001,26,1765917387.1680489,27.0,0.7787423729896545,0.8792072534561157,0.05787781350482315,1.9359595775604248,852.717839169,4171160.0,
0.001,27,1765917410.2931197,28.0,0.8045749962329865,0.7614331245422363,0.06002143622722401,23.024765014648438,875.842960233,4314298.0,
0.001,28,1765917438.1047752,29.0,0.791389673948288,0.8663027286529541,0.06216505894962487,6.054610729217529,903.654608081,4468546.0,
0.001,29,1765917472.8560765,30.0,0.7699793875217438,0.9317509531974792,0.06430868167202572,22.150585174560547,938.405911639,4635984.0,
0.001,30,1765917497.5159626,31.0,0.7880051732063293,0.8370236158370972,0.06645230439442658,7.124983787536621,963.065759845,4790352.0,
0.001,31,1765917528.86401,32.0,0.7764087915420532,0.8961296677589417,0.06859592711682744,20.0209903717041,994.413845972,4956096.0,
0.001,32,1765917553.2868636,33.0,0.7964174747467041,0.8022922873497009,0.0707395498392283,3.178839683532715,1018.836684512,5107640.0,
0.001,33,1765917584.5289063,34.0,0.79752516746521,0.7837123870849609,0.07288317256162916,2.0936834812164307,1050.078702592,5265237.0,
0.001,34,1765917614.522986,35.0,0.8039346039295197,0.7669429779052734,0.07502679528403002,2.896606922149658,1080.07280068,5419378.0,
