_timestamp,train/global_step,train/learning_rate,train/loss,train/epoch,train/num_tokens,train/mean_token_accuracy,_runtime,train/grad_norm,_step
1765916136.246572,1,0.001,1.6945645809173584,0.0021436227224008574,136605.0,0.6562617868185043,9.666875182,1.4161146879196167,0
1765916143.2485976,2,0.001,1.4829363822937012,0.004287245444801715,292128.0,0.6728712171316147,16.668633111,2.1994149684906006,1
1765916149.4026694,3,0.001,1.30808424949646,0.006430868167202572,444535.0,0.7039368003606796,22.822711347,1.6488149166107178,2
1765916155.7839053,4,0.001,1.1565184593200684,0.00857449088960343,592263.0,0.7274833768606186,29.203920384,1.2261978387832642,3
1765916161.6694045,5,0.001,1.0660167932510376,0.010718113612004287,737019.0,0.7444247156381607,35.089425887,5.4474287033081055,4
1765916168.3259795,6,0.001,0.9759916067123413,0.012861736334405145,896813.0,0.7685062140226364,41.746012288,2.4671106338500977,5
1765916176.4899685,7,0.001,0.9985608458518982,0.015005359056806002,1062679.0,0.7594633251428604,49.910006085,1.3321177959442139,6
1765916183.1376746,8,0.001,0.9410926699638367,0.01714898177920686,1212566.0,0.7686618864536285,56.55770287,1.1024749279022217,7
1765916191.2386105,9,0.001,0.8979052305221558,0.01929260450160772,1373797.0,0.7755007296800613,64.658649678,1.0186225175857544,8
1765916197.6549718,10,0.001,0.8930487632751465,0.021436227224008574,1516877.0,0.7794762849807739,71.07501422,0.5233407616615295,9
1765916204.1498632,11,0.001,0.8990268707275391,0.023579849946409433,1663977.0,0.7769270092248917,77.569884726,0.5860051512718201,10
1765916210.3397427,12,0.001,0.8500499725341797,0.02572347266881029,1815907.0,0.7886705249547958,83.759768408,0.26189935207366943,11
1765916217.4706652,13,0.001,0.8582777976989746,0.027867095391211148,1971911.0,0.7854674160480499,90.890672333,0.21967096626758575,12
1765916224.6158037,14,0.001,0.9006244540214539,0.030010718113612004,2135596.0,0.775387316942215,98.035850422,0.19958741962909698,13
1765916231.7005355,15,0.001,0.8597557544708252,0.03215434083601286,2285621.0,0.7829011678695679,105.120549595,0.5320287942886353,14
1765916239.213731,16,0.001,0.8763566613197327,0.03429796355841372,2441090.0,0.7808386832475662,112.633752291,0.2652733027935028,15
1765916245.7914681,17,0.001,0.8380311131477356,0.03644158628081458,2591858.0,0.7897520959377289,119.211482336,0.32441943883895874,16
1765916253.5503833,18,0.001,0.8720991015434265,0.03858520900321544,2754012.0,0.779371052980423,126.970411951,0.515538215637207,17
1765916260.8763845,19,0.001,0.8724961280822754,0.04072883172561629,2916829.0,0.7810801118612289,134.296412831,0.43025287985801697,18
1765916267.2893443,20,0.001,0.8921804428100586,0.04287245444801715,3061305.0,0.7771749049425125,140.709350589,0.39111849665641785,19
1765916273.7158718,21,0.001,0.8626631498336792,0.04501607717041801,3219127.0,0.7835177481174469,147.135898077,0.4551284909248352,20
1765916280.8196633,22,0.001,0.8644057512283325,0.04715969989281887,3380158.0,0.7816892713308334,154.239688128,0.15814585983753204,21
1765916287.2938132,23,0.001,0.8648983240127563,0.04930332261521972,3539898.0,0.7842398434877396,160.713810882,0.11597874015569687,22
1765916292.367599,24,0.001,0.8489776849746704,0.05144694533762058,3689574.0,0.7849990725517273,165.78760333,0.2626313269138336,23
1765916300.1337707,25,0.001,0.895751416683197,0.05359056806002144,3855970.0,0.7753924280405045,173.553789323,0.2113047093153,24
1765916306.921972,26,0.001,0.8430691957473755,0.055734190782422297,4018658.0,0.7871521264314651,180.341969389,0.12204395979642868,25
1765916313.817682,27,0.001,0.9196749925613403,0.05787781350482315,4171160.0,0.7698315382003784,187.23773485,0.45256322622299194,26
1765916319.2490003,28,0.001,0.8164800405502319,0.06002143622722401,4314298.0,0.7936603426933289,192.669017806,0.5949875116348267,27
1765916325.5334868,29,0.001,0.8436384201049805,0.06216505894962487,4468546.0,0.7864679992198944,198.953491344,0.16296517848968506,28
1765916332.9027848,30,0.001,0.9030675888061523,0.06430868167202572,4635984.0,0.7743563652038574,206.322807659,0.44635897874832153,29
1765916338.982752,31,0.001,0.8299150466918945,0.06645230439442658,4790352.0,0.7913258820772171,212.402783991,0.42039188742637634,30
1765916346.3036418,32,0.001,0.8850607872009277,0.06859592711682744,4956096.0,0.7784035950899124,219.723677332,0.27885401248931885,31
1765916352.1702678,33,0.001,0.8230555057525635,0.0707395498392283,5107640.0,0.7924900352954865,225.590285944,0.5048294067382812,32
1765916358.8614242,34,0.001,0.8295148015022278,0.07288317256162916,5265237.0,0.7899736166000366,232.281430311,0.2096838653087616,33
1765916365.2321649,35,0.001,0.8181710243225098,0.07502679528403002,5419378.0,0.7930396199226379,238.652215164,0.4786109924316406,34
1765916371.2399476,36,0.001,0.8336822986602783,0.07717041800643087,5576075.0,0.787468358874321,244.659969248,0.35802990198135376,35
1765916376.6150656,37,0.001,0.8278974294662476,0.07931404072883172,5720029.0,0.7917413711547852,250.035071944,0.37150052189826965,36
1765916383.9387639,38,0.001,0.8488898873329163,0.08145766345123258,5884915.0,0.7870446741580963,257.35880655,0.3240449130535126,37
1765916390.5199144,39,0.001,0.8414078950881958,0.08360128617363344,6032758.0,0.787127897143364,263.939937949,0.17036108672618866,38
1765916396.7833242,40,0.001,0.8507466316223145,0.0857449088960343,6187550.0,0.7860949486494064,270.203334857,0.3470247685909271,39
1765916404.6145475,41,0.001,0.8648489713668823,0.08788853161843516,6355408.0,0.7800523489713669,278.034589358,0.12150631844997406,40
1765916411.7236614,42,0.001,0.8600461483001709,0.09003215434083602,6519771.0,0.7824492156505585,285.143665519,0.25589242577552795,41
