_step,train/grad_norm,train/global_step,train/mean_token_accuracy,_timestamp,train/loss,train/epoch,train/num_tokens,_runtime,train/learning_rate
0,0.2632174789905548,1,0.6562617868185043,1765916140.3644152,1.6945645809173584,0.0021436227224008574,136605.0,9.672343234,0.001
1,0.39187508821487427,2,0.6714488565921783,1765916147.167197,1.4942626953125,0.004287245444801715,292128.0,16.474916235,0.001
2,0.3085375428199768,3,0.7021218240261078,1765916153.2551818,1.321765422821045,0.006430868167202572,444535.0,22.562883284,0.001
3,0.1837538182735443,4,0.7286263406276703,1765916159.4849555,1.1690222024917603,0.00857449088960343,592263.0,28.792684975,0.001
4,0.31400978565216064,5,0.7527383416891098,1765916165.263635,1.011934757232666,0.010718113612004287,737019.0,34.571323858,0.001
5,0.14188778400421143,6,0.7727488428354263,1765916171.7418363,0.9555177688598633,0.012861736334405145,896813.0,41.0495411,0.001
6,0.13316726684570312,7,0.7603806555271149,1765916179.7722516,0.975467324256897,0.015005359056806002,1062679.0,49.079971087,0.001
7,0.08332284539937973,8,0.7724152654409409,1765916186.2584405,0.9179307818412781,0.01714898177920686,1212566.0,55.566156986,0.001
8,0.07152821123600006,9,0.7796843349933624,1765916194.1893787,0.8845850229263306,0.01929260450160772,1373797.0,63.497076358,0.001
9,0.06203291192650795,10,0.781083345413208,1765916200.5198958,0.8849780559539795,0.021436227224008574,1516877.0,69.827592716,0.001
10,0.06495977938175201,11,0.7776382714509964,1765916206.895919,0.8941450119018555,0.023579849946409433,1663977.0,76.203598058,0.001
11,0.06238671764731407,12,0.7886674255132675,1765916212.8712049,0.8483307361602783,0.02572347266881029,1815907.0,82.178916743,0.001
12,0.05173519253730774,13,0.786986768245697,1765916219.8036828,0.8548622131347656,0.027867095391211148,1971911.0,89.111380714,0.001
13,0.040779076516628265,14,0.7768116891384125,1765916226.786027,0.8957345485687256,0.030010718113612004,2135596.0,96.093726325,0.001
14,0.04703199490904808,15,0.7846411615610123,1765916233.6666582,0.8532276153564453,0.03215434083601286,2285621.0,102.974357471,0.001
15,0.04384404048323631,16,0.7820674031972885,1765916241.044202,0.871071457862854,0.03429796355841372,2441090.0,110.351907721,0.001
16,0.03654351830482483,17,0.7921495884656906,1765916247.5211792,0.8320082426071167,0.03644158628081458,2591858.0,116.828877122,0.001
17,0.06718562543392181,18,0.7808347344398499,1765916255.1096017,0.8654437065124512,0.03858520900321544,2754012.0,124.417292782,0.001
