train/grad_norm,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_step,train/loss,train/epoch,_timestamp,train/global_step,_runtime,eval/accuracy
0.18977180123329163,136605.0,0.0001,0.6562617868185043,0,1.6945645809173584,0.0021436227224008574,1765916128.5003672,1.0,9.707165398,
0.19404330849647522,292128.0,0.0001,0.6474005877971649,1,1.6892075538635254,0.004287245444801715,1765916135.31251,2.0,16.518952065,
0.24601829051971436,444535.0,0.0001,0.6643931418657303,2,1.6143405437469482,0.006430868167202572,1765916141.325511,3.0,22.531941535,
0.2813701629638672,592263.0,0.0001,0.6529463231563568,3,1.6368058919906616,0.00857449088960343,1765916147.537997,4.0,28.744428038,
0.2804149091243744,737019.0,0.0001,0.6625122427940369,4,1.5671473741531372,0.010718113612004287,1765916153.291768,5.0,34.498189007,
0.2332940250635147,896813.0,0.0001,0.6764505803585052,5,1.4696868658065796,0.012861736334405145,1765916159.801233,6.0,41.007619143,
0.2124824821949005,1062679.0,0.0001,0.6752768903970718,6,1.4541468620300293,0.015005359056806002,1765916167.7727304,7.0,48.979154919,
0.24587862193584442,1212566.0,0.0001,0.6782481670379639,7,1.4316248893737793,0.01714898177920686,1765916174.2376533,8.0,55.444056025,
0.11874698102474213,1373797.0,0.0001,0.6928422302007675,8,1.3363502025604248,0.01929260450160772,1765916182.1108842,9.0,63.317303642,
0.15289367735385895,1516877.0,0.0001,0.6895060986280441,9,1.3579719066619873,0.021436227224008574,1765916188.43934,10.0,69.645737312,
0.27522677183151245,1663977.0,0.0001,0.6965447515249252,10,1.3192384243011475,0.023579849946409433,1765916194.7665462,11.0,75.972949334,
0.20496773719787598,1815907.0,0.0001,0.7184093296527863,11,1.227307677268982,0.02572347266881029,1765916200.757324,12.0,81.963707494,
0.21171414852142334,1971911.0,0.0001,0.7249378114938736,12,1.1895496845245361,0.027867095391211148,1765916207.6610072,13.0,88.867445309,
0.16514045000076294,2135596.0,0.0001,0.7237519919872284,13,1.1806654930114746,0.030010718113612004,1765916214.619386,14.0,95.825792929,
0.2293664813041687,2285621.0,0.0001,0.736649826169014,14,1.1226565837860107,0.03215434083601286,1765916221.4353998,15.0,102.641800645,
0.1758878082036972,2441090.0,0.0001,0.7434062063694,15,1.0934334993362427,0.03429796355841372,1765916228.815087,16.0,110.021498378,
0.16104106605052948,2591858.0,0.0001,0.7589176297187805,16,1.0314669609069824,0.03644158628081458,1765916235.2872853,17.0,116.493661846,
0.15445476770401,2754012.0,0.0001,0.7543931007385254,17,1.0247230529785156,0.03858520900321544,1765916242.7972374,18.0,124.003643556,
0.16646255552768707,2916829.0,0.0001,0.7610718011856079,18,1.0052456855773926,0.04072883172561629,1765916249.9044142,19.0,131.110812059,
0.15218590199947357,3061305.0,0.0001,0.7575846165418625,19,1.0189543962478638,0.04287245444801715,1765916256.1028967,20.0,137.309286627,
0.136142760515213,3219127.0,0.0001,0.7661522626876831,20,0.9674416780471802,0.04501607717041801,1765916262.3990107,21.0,143.605399212,
0.11081109195947647,3380158.0,0.0001,0.768196627497673,21,0.9567288756370544,0.04715969989281887,1765916269.303222,22.0,150.509606512,
0.10476937144994736,3539898.0,0.0001,0.7718848586082458,22,0.9476128816604614,0.04930332261521972,1765916275.631615,23.0,156.838011628,
0.09548764675855637,3689574.0,0.0001,0.7728600353002548,23,0.9274268746376038,0.05144694533762058,1765916280.5295825,24.0,161.735960014,
0.07902507483959198,3855970.0,0.0001,0.7645548731088638,24,0.9635733962059021,0.05359056806002144,1765916288.1555,25.0,169.36190543,
0.07283225655555725,4018658.0,0.0001,0.7766332477331161,25,0.9082818627357483,0.055734190782422297,1765916294.7181869,26.0,175.924592042,
0.07455196231603622,4171160.0,0.0001,0.7595371603965759,26,0.9841446876525879,0.05787781350482315,1765916301.4343088,27.0,182.640708421,
0.07074075192213058,4314298.0,0.0001,0.7833476662635803,27,0.8795291781425476,0.06002143622722401,1765916306.7002363,28.0,187.906639564,
0.0658755972981453,4468546.0,0.0001,0.7768047004938126,28,0.9014626145362854,0.06216505894962487,1765916312.8383985,29.0,194.04480668,
0.059644103050231934,4635984.0,0.0001,0.7668274343013763,29,0.9533556699752808,0.06430868167202572,1765916320.018605,30.0,201.22500624,
0.055640000849962234,4790352.0,0.0001,0.7832588106393814,30,0.8781612515449524,0.06645230439442658,1765916325.9934957,31.0,207.199917353,
0.0449138805270195,4956096.0,0.0001,0.7706737816333771,31,0.9299123287200928,0.06859592711682744,1765916333.0675888,32.0,214.273992793,
0.045444682240486145,5107640.0,0.0001,0.7858000248670578,32,0.8645474910736084,0.0707395498392283,1765916338.8018332,33.0,220.00822722,
0.043772079050540924,5265237.0,0.0001,0.7828292846679688,33,0.8727467060089111,0.07288317256162916,1765916345.2934844,34.0,226.49986959,
0.044866595417261124,5419378.0,0.0001,0.7849986553192139,34,0.861232578754425,0.07502679528403002,1765916351.526287,35.0,232.732679954,
0.040628500282764435,5576075.0,0.0001,0.7800966501235962,35,0.8741784691810608,0.07717041800643087,1765916357.2932703,36.0,238.499664532,
0.041127923876047134,5720029.0,0.0001,0.7854720056056976,36,0.869572103023529,0.07931404072883172,1765916362.5600562,37.0,243.766458884,
0.03667500242590904,5884915.0,0.0001,0.7805401235818863,37,0.8855489492416382,0.08145766345123258,1765916369.620249,38.0,250.826627154,
0.03719432279467583,6032758.0,0.0001,0.7805087715387344,38,0.8799726963043213,0.08360128617363344,1765916375.935702,39.0,257.142099349,
