_timestamp,train/loss,train/epoch,train/grad_norm,train/global_step,_step,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_runtime,eval/accuracy
1765916146.1612577,1.6945645809173584,0.0021436227224008574,0.06581828743219376,1.0,0,136605.0,0.001,0.6562617868185043,10.312598788,
1765916153.7192085,1.4945732355117798,0.004287245444801715,0.10383005440235138,2.0,1,292128.0,0.001,0.6702972054481506,17.87029641,
1765916160.3630943,1.324173092842102,0.006430868167202572,0.07861308753490448,3.0,2,444535.0,0.001,0.702066645026207,24.514142287,
1765916167.1920965,1.1732137203216553,0.00857449088960343,0.04783580079674721,4.0,3,592263.0,0.001,0.7275899052619934,31.343144684,
1765916173.505997,1.023683786392212,0.010718113612004287,0.11076681315898895,5.0,4,737019.0,0.001,0.748475581407547,37.657054684,
1765916180.673532,0.9728337526321411,0.012861736334405145,0.03574327006936073,6.0,5,896813.0,0.001,0.7692356407642365,44.824578969,
1765916189.4335654,0.9912190437316895,0.015005359056806002,0.03016859106719494,7.0,6,1062679.0,0.001,0.7606044560670853,53.584650056,
1765916196.5555267,0.9292696714401245,0.01714898177920686,0.024220071732997894,8.0,7,1212566.0,0.001,0.7704623490571976,60.70658574,
1765916205.2467868,0.8884932994842529,0.01929260450160772,0.017356812953948975,9.0,8,1373797.0,0.001,0.7792490422725677,69.397822689,
1765916212.245477,0.8874791860580444,0.021436227224008574,0.016103150323033333,10.0,9,1516877.0,0.001,0.7808736562728882,76.396534403,
1765916219.2078452,0.897194504737854,0.023579849946409433,0.08488160371780396,11.0,10,1663977.0,0.001,0.7768444716930389,83.358896324,
1765916225.7798724,0.8483690023422241,0.02572347266881029,0.012775835581123829,12.0,11,1815907.0,0.001,0.7889705449342728,89.930925691,
1765916233.430179,0.8570181727409363,0.027867095391211148,0.013891583308577538,13.0,12,1971911.0,0.001,0.7863295674324036,97.581254221,
1765916241.160964,0.8988115191459656,0.030010718113612004,0.018145181238651276,14.0,13,2135596.0,0.001,0.7762974798679352,105.312006742,
1765916248.770316,0.8561438322067261,0.03215434083601286,0.0110603803768754,15.0,14,2285621.0,0.001,0.7842792719602585,112.921375502,
1765916256.9015427,0.8724347352981567,0.03429796355841372,0.009787168353796005,16.0,15,2441090.0,0.001,0.7817610204219818,121.052606197,
1765916264.0316238,0.8346989154815674,0.03644158628081458,0.009772662073373795,17.0,16,2591858.0,0.001,0.7915163636207581,128.1826817,
1765916272.388049,0.8678810596466064,0.03858520900321544,0.017598040401935577,18.0,17,2754012.0,0.001,0.7805063128471375,136.5391103,
1765916280.2760262,0.8695151805877686,0.04072883172561629,0.017393358051776886,19.0,18,2916829.0,0.001,0.7810238152742386,144.427081086,
1765916287.147964,0.887284517288208,0.04287245444801715,0.008561838418245316,20.0,19,3061305.0,0.001,0.7775247395038605,151.299010809,
1765916294.0698993,0.8589369058609009,0.04501607717041801,0.0203770250082016,21.0,20,3219127.0,0.001,0.7844271212816238,158.220952497,
1765916301.7346425,0.8605777621269226,0.04715969989281887,0.007655189372599125,22.0,21,3380158.0,0.001,0.7828982025384903,165.885699603,
1765916308.690576,0.8617292046546936,0.04930332261521972,0.01663115806877613,23.0,22,3539898.0,0.001,0.7849446684122086,172.841608837,
1765916314.1311111,0.844093918800354,0.05144694533762058,0.00771641219034791,24.0,23,3689574.0,0.001,0.7862143665552139,178.282151227,
1765916322.4632554,0.8913986682891846,0.05359056806002144,0.0198676735162735,25.0,24,3855970.0,0.001,0.776140570640564,186.614302567,
1765916329.7300136,0.837445855140686,0.055734190782422297,0.006908491253852844,26.0,25,4018658.0,0.001,0.7889520674943924,193.881032166,
1765916337.1456852,0.9154187440872192,0.05787781350482315,0.020389623939990997,27.0,26,4171160.0,0.001,0.7701821029186249,201.296737441,
1765916343.021348,0.8106549978256226,0.06002143622722401,0.007393034175038338,28.0,27,4314298.0,0.001,0.7946839183568954,207.172397762,
1765916349.7949274,0.8395175933837891,0.06216505894962487,0.020676421001553535,29.0,28,4468546.0,0.001,0.7870274484157562,213.945987694,
1765916357.7220314,0.8988473415374756,0.06430868167202572,0.007793905213475227,30.0,29,4635984.0,0.001,0.7756772935390472,221.873103178,
1765916364.370479,0.8250993490219116,0.06645230439442658,0.017847111448645592,31.0,30,4790352.0,0.001,0.7918900847434998,228.521530412,
1765916372.154949,0.8794562816619873,0.06859592711682744,0.012126478366553783,32.0,31,4956096.0,0.001,0.7795480191707611,236.306007518,
1765916378.4833856,0.8152101635932922,0.0707395498392283,0.010173647664487362,33.0,32,5107640.0,0.001,0.7938226610422134,242.634425066,
1765916385.6479065,0.8246525526046753,0.07288317256162916,0.017651677131652832,34.0,33,5265237.0,0.001,0.7911114543676376,249.798947189,
1765916392.489487,0.8118715286254883,0.07502679528403002,0.01746225729584694,35.0,34,5419378.0,0.001,0.7943188846111298,256.640528715,
1765916398.95988,0.8279907703399658,0.07717041800643087,0.007708998396992683,36.0,35,5576075.0,0.001,0.7885113060474396,263.1109416,
1765916404.7717543,0.8219577670097351,0.07931404072883172,0.030396554619073868,37.0,36,5720029.0,0.001,0.7926712185144424,268.92281187,
1765916412.548198,0.844362735748291,0.08145766345123258,0.026215219870209694,38.0,37,5884915.0,0.001,0.7878078520298004,276.699238712,
1765916419.5414832,0.835330605506897,0.08360128617363344,0.014037121087312698,39.0,38,6032758.0,0.001,0.7881349325180054,283.692543985,
1765916426.223247,0.8460811376571655,0.0857449088960343,0.034512728452682495,40.0,39,6187550.0,0.001,0.7866997420787811,290.374274768,
