_timestamp,_runtime,train/loss,train/num_tokens,train/global_step,train/grad_norm,train/learning_rate,train/mean_token_accuracy,_step,train/epoch,eval/accuracy
1765916122.4946685,9.626457967,1.6945645809173584,136605.0,1.0,0.2646043002605438,1e-05,0.6562617868185043,0,0.0021436227224008574,
1765916129.1743066,16.30588591,1.6999976634979248,292128.0,2.0,0.2426622211933136,1e-05,0.6472674757242203,1,0.004287245444801715,
1765916135.0283732,22.159907013,1.6489644050598145,444535.0,3.0,0.2447543442249298,1e-05,0.661973237991333,2,0.006430868167202572,
1765916141.126688,28.258271973,1.7157108783721924,592263.0,4.0,0.25954756140708923,1e-05,0.6464687585830688,3,0.00857449088960343,
1765916146.8294437,33.960989107,1.6987409591674805,737019.0,5.0,0.2659439742565155,1e-05,0.6527847051620483,4,0.010718113612004287,
1765916153.2466857,40.378239403,1.6443132162094116,896813.0,6.0,0.25390422344207764,1e-05,0.6603579968214035,5,0.012861736334405145,
1765916161.0029325,48.134503899,1.6724683046340942,1062679.0,7.0,0.25042322278022766,1e-05,0.6518919318914413,6,0.015005359056806002,
1765916167.4018247,54.533368533,1.7125768661499023,1212566.0,8.0,0.27799567580223083,1e-05,0.6453176587820053,7,0.01714898177920686,
1765916175.106106,62.237659907,1.6277458667755127,1373797.0,9.0,0.2629093527793884,1e-05,0.6608062088489532,8,0.01929260450160772,
1765916181.2237313,68.355295305,1.723987340927124,1516877.0,10.0,0.2977438271045685,1e-05,0.6476611793041229,9,0.021436227224008574,
1765916187.5790567,74.710601315,1.7083039283752441,1663977.0,11.0,0.2984046936035156,1e-05,0.6472067534923553,10,0.023579849946409433,
1765916193.4916856,80.623226571,1.6442588567733765,1815907.0,12.0,0.29803138971328735,1e-05,0.6618975847959518,11,0.02572347266881029,
1765916200.408058,87.539611893,1.6302924156188965,1971911.0,13.0,0.3007379174232483,1e-05,0.6626101434230804,12,0.027867095391211148,
1765916207.1905003,94.322074115,1.6406528949737549,2135596.0,14.0,0.29833319783210754,1e-05,0.657534047961235,13,0.030010718113612004,
1765916214.063464,101.195025458,1.6579627990722656,2285621.0,15.0,0.3229118287563324,1e-05,0.6535982191562653,14,0.03215434083601286,
1765916221.1847446,108.316288721,1.6460576057434082,2441090.0,16.0,0.319511741399765,1e-05,0.6574700027704239,15,0.03429796355841372,
1765916227.4097857,114.541317043,1.6370558738708496,2591858.0,17.0,0.33531904220581055,1e-05,0.6614075750112534,16,0.03644158628081458,
1765916234.9561467,122.087694659,1.6105139255523682,2754012.0,18.0,0.32633912563323975,1e-05,0.6585612893104553,17,0.03858520900321544,
1765916242.0446353,129.17617253,1.6079256534576416,2916829.0,19.0,0.32770392298698425,1e-05,0.6600183695554733,18,0.04072883172561629,
1765916248.2629163,135.394415626,1.712415337562561,3061305.0,20.0,0.37298956513404846,1e-05,0.6423900425434113,19,0.04287245444801715,
1765916254.4604144,141.591947071,1.6147664785385132,3219127.0,21.0,0.347369521856308,1e-05,0.6594051271677017,20,0.04501607717041801,
1765916261.3454854,148.477046589,1.6046624183654785,3380158.0,22.0,0.3521292805671692,1e-05,0.6606795787811279,21,0.04715969989281887,
1765916267.6000605,154.731608602,1.6023210287094116,3539898.0,23.0,0.35097452998161316,1e-05,0.662256509065628,22,0.04930332261521972,
1765916272.5028536,159.634391174,1.6310839653015137,3689574.0,24.0,0.37864211201667786,1e-05,0.655455008149147,23,0.05144694533762058,
1765916280.0644162,167.195966087,1.5997669696807861,3855970.0,25.0,0.34683260321617126,1e-05,0.6579064577817917,24,0.05359056806002144,
1765916286.5176501,173.649194882,1.5572800636291504,4018658.0,26.0,0.34438177943229675,1e-05,0.6675825715065002,25,0.055734190782422297,
1765916293.1505406,180.282040122,1.6709132194519043,4171160.0,27.0,0.3752193748950958,1e-05,0.6441720426082611,26,0.05787781350482315,
1765916298.422915,185.55446909,1.6093342304229736,4314298.0,28.0,0.38945671916007996,1e-05,0.659704402089119,27,0.06002143622722401,
1765916304.536774,191.668343028,1.5791585445404053,4468546.0,29.0,0.3679850995540619,1e-05,0.6598581075668335,28,0.06216505894962487,
1765916311.6885054,198.820059104,1.5716283321380615,4635984.0,30.0,0.3408622741699219,1e-05,0.6603095978498459,29,0.06430868167202572,
1765916317.60044,204.731986405,1.548431634902954,4790352.0,31.0,0.3597205877304077,1e-05,0.6676951199769974,30,0.06645230439442658,
1765916324.6567018,211.788264369,1.5510010719299316,4956096.0,32.0,0.3433613181114197,1e-05,0.6628861427307129,31,0.06859592711682744,
1765916330.2670264,217.398601804,1.5402249097824097,5107640.0,33.0,0.36333027482032776,1e-05,0.6669171899557114,32,0.0707395498392283,
1765916336.633893,223.765416221,1.5120443105697632,5265237.0,34.0,0.3480575680732727,1e-05,0.6709258109331131,33,0.07288317256162916,
1765916342.7859266,229.917468631,1.5086572170257568,5419378.0,35.0,0.3483624756336212,1e-05,0.671113133430481,34,0.07502679528403002,
1765916348.6349723,235.766514045,1.5089256763458252,5576075.0,36.0,0.34474486112594604,1e-05,0.6680446565151215,35,0.07717041800643087,
1765916353.8517513,240.983303525,1.5564873218536377,5720029.0,37.0,0.3688372075557709,1e-05,0.6617743819952011,36,0.07931404072883172,
1765916360.837846,247.969400828,1.479292631149292,5884915.0,38.0,0.3305998742580414,1e-05,0.6731670647859573,37,0.08145766345123258,
1765916367.1596432,254.291172752,1.5333210229873657,6032758.0,39.0,0.35760125517845154,1e-05,0.6630186289548874,38,0.08360128617363344,
1765916373.1617742,260.293297885,1.5054948329925537,6187550.0,40.0,0.338451623916626,1e-05,0.6670482158660889,39,0.0857449088960343,
1765916380.796654,267.928202154,1.4697694778442383,6355408.0,41.0,0.3160926401615143,1e-05,0.6707174181938171,40,0.08788853161843516,
1765916387.6389766,274.770507583,1.472395420074463,6519771.0,42.0,0.3219527304172516,1e-05,0.6709729731082916,41,0.09003215434083602,
1765916393.6806798,280.812214554,1.47342050075531,6672296.0,43.0,0.33996063470840454,1e-05,0.6724215298891068,42,0.09217577706323687,
1765916402.1750116,289.306553368,1.4620203971862793,6843136.0,44.0,0.3067159354686737,1e-05,0.6715684086084366,43,0.09431939978563773,
1765916409.3628669,296.494413133,1.5090441703796387,6993296.0,45.0,0.3424590229988098,1e-05,0.6623091250658035,44,0.09646302250803858,
1765916415.8160768,302.947638913,1.4612748622894287,7142356.0,46.0,0.3429691195487976,1e-05,0.6760351061820984,45,0.09860664523043944,
1765916421.423814,308.555351375,1.4428356885910034,7294167.0,47.0,0.3430896997451782,1e-05,0.6774638742208481,46,0.1007502679528403,
1765916429.622736,316.75425481,1.4482406377792358,7470762.0,48.0,0.2977067828178406,1e-05,0.6713472753763199,47,0.10289389067524116,
1765916437.2655416,324.39706785,1.4165656566619873,7629052.0,49.0,0.33353230357170105,1e-05,0.6823336780071259,48,0.10503751339764202,
1765916442.4499576,329.581517222,1.4156794548034668,7779609.0,50.0,0.34830036759376526,1e-05,0.6818772256374359,49,0.10718113612004287,
