train/learning_rate,train/mean_token_accuracy,train/epoch,train/grad_norm,_runtime,train/global_step,_step,_timestamp,train/loss,train/num_tokens
0.001,0.6562617868185043,0.0021436227224008574,0.5416457056999207,7.686132384,1,0,1765916134.9816015,1.6945645809173584,136605.0
0.001,0.670512855052948,0.004287245444801715,0.8229780793190002,14.49745402,2,1,1765916141.793129,1.482414722442627,292128.0
0.001,0.7065213173627853,0.006430868167202572,0.6434311270713806,20.483135336,3,2,1765916147.7788935,1.3141882419586182,444535.0
0.001,0.7298420071601868,0.00857449088960343,0.42039525508880615,26.643469736,4,3,1765916153.9391956,1.1539037227630615,592263.0
0.001,0.746573343873024,0.010718113612004287,1.5890882015228271,32.349118705,5,4,1765916159.6448543,1.038750410079956,737019.0
0.001,0.7715329378843307,0.012861736334405145,0.542823314666748,38.798563483,6,5,1765916166.0943005,0.9783874750137329,896813.0
0.001,0.76394422352314,0.015005359056806002,0.24230267107486725,46.721163606,7,6,1765916174.0168588,0.9795286655426025,1062679.0
0.001,0.7703517079353333,0.01714898177920686,0.2671695053577423,53.154974919,8,7,1765916180.4507143,0.9320806860923767,1212566.0
0.001,0.7785587012767792,0.01929260450160772,0.13781215250492096,61.101737439,9,8,1765916188.3974826,0.8899414539337158,1373797.0
0.001,0.7811091095209122,0.021436227224008574,0.14253440499305725,67.385354382,10,9,1765916194.6810937,0.8889409303665161,1516877.0
0.001,0.7760848701000214,0.023579849946409433,0.19577644765377045,73.709015861,11,10,1765916201.0047846,0.8979752659797668,1663977.0
0.001,0.788549929857254,0.02572347266881029,0.11375338584184647,79.618941357,12,11,1765916206.9146852,0.8498533964157104,1815907.0
0.001,0.7865109294652939,0.027867095391211148,0.11087990552186966,86.560612738,13,12,1765916213.8563466,0.8597044944763184,1971911.0
0.001,0.7760403603315353,0.030010718113612004,0.08363554626703262,93.571722018,14,13,1765916220.8674474,0.8996220827102661,2135596.0
0.001,0.7843028903007507,0.03215434083601286,0.07612204551696777,100.458751123,15,14,1765916227.7545316,0.856433629989624,2285621.0
0.001,0.7819113880395889,0.03429796355841372,0.07009658217430115,107.805920088,16,15,1765916235.1016622,0.8724318742752075,2441090.0
0.001,0.7916563153266907,0.03644158628081458,0.1011587530374527,114.243101202,17,16,1765916241.5388553,0.8348633646965027,2591858.0
0.001,0.7801010757684708,0.03858520900321544,0.0660141259431839,121.826573436,18,17,1765916249.1223238,0.8677030205726624,2754012.0
0.001,0.7816408276557922,0.04072883172561629,0.0573076456785202,128.953794712,19,18,1765916256.249541,0.8683977127075195,2916829.0
0.001,0.7781665325164795,0.04287245444801715,0.1176651269197464,135.138317341,20,19,1765916262.4340851,0.8870760202407837,3061305.0
0.001,0.784337729215622,0.04501607717041801,0.1062440350651741,141.376362503,21,20,1765916268.6721127,0.8582760095596313,3219127.0
0.001,0.7830206453800201,0.04715969989281887,0.05336351692676544,148.288660468,22,21,1765916275.5843868,0.8601284623146057,3380158.0
0.001,0.7849628925323486,0.04930332261521972,0.11062110960483551,154.577823171,23,22,1765916281.87356,0.8617655038833618,3539898.0
0.001,0.7863885015249252,0.05144694533762058,0.06619829684495926,159.472608948,24,23,1765916286.7683492,0.8445528745651245,3689574.0
0.001,0.7762214839458466,0.05359056806002144,0.15602518618106842,167.054725438,25,24,1765916294.3504767,0.8911123275756836,3855970.0
0.001,0.7878545373678207,0.055734190782422297,0.06163685768842697,173.622561773,26,25,1765916300.9183116,0.8385710120201111,4018658.0
0.001,0.7703233361244202,0.05787781350482315,0.2278500199317932,180.31931806,27,26,1765916307.615104,0.9153164625167847,4171160.0
0.001,0.7947404831647873,0.06002143622722401,0.13174481689929962,185.607844241,28,27,1765916312.90358,0.8111515641212463,4314298.0
0.001,0.7871791273355484,0.06216505894962487,0.15524625778198242,191.719874927,29,28,1765916319.0156155,0.839889407157898,4468546.0
0.001,0.7753552049398422,0.06430868167202572,0.25391528010368347,198.885778921,30,29,1765916326.1815238,0.9000008702278137,4635984.0
0.001,0.7923726588487625,0.06645230439442658,0.1683122217655182,204.80729835,31,30,1765916332.1030157,0.8246419429779053,4790352.0
0.001,0.7784065008163452,0.06859592711682744,0.24119453132152557,211.851047852,32,31,1765916339.1467772,0.8819943070411682,4956096.0
0.001,0.7936028838157654,0.0707395498392283,0.2535562515258789,217.538635308,33,32,1765916344.834384,0.817955493927002,5107640.0
0.001,0.7916391044855118,0.07288317256162916,0.2047453075647354,223.985616498,34,33,1765916351.2813473,0.8249787092208862,5265237.0
0.001,0.7938139140605927,0.07502679528403002,0.24786172807216644,230.212566283,35,34,1765916357.5083094,0.8135721683502197,5419378.0
0.001,0.7888756692409515,0.07717041800643087,0.051022183150053024,236.070032381,36,35,1765916363.365778,0.8280786275863647,5576075.0
0.001,0.7923824638128281,0.07931404072883172,0.23683172464370728,241.274908034,37,36,1765916368.5706651,0.8226345777511597,5720029.0
0.001,0.7875741273164749,0.08145766345123258,0.11945607513189316,248.3352945,38,37,1765916375.6310475,0.843576967716217,5884915.0
0.001,0.7879063040018082,0.08360128617363344,0.21412841975688934,254.690536692,39,38,1765916381.9862478,0.8371251821517944,6032758.0
0.001,0.7868989408016205,0.0857449088960343,0.32621705532073975,260.75507598,40,39,1765916388.0508442,0.8460335731506348,6187550.0
0.001,0.7815187871456146,0.08788853161843516,0.17907781898975372,268.427973264,41,40,1765916395.7237248,0.8599666953086853,6355408.0
0.001,0.78327377140522,0.09003215434083602,0.06090724840760231,275.338578382,42,41,1765916402.634307,0.8552529811859131,6519771.0
0.001,0.7909887880086899,0.09217577706323687,0.10183938592672348,281.364732878,43,42,1765916408.6604893,0.8178614377975464,6672296.0
0.001,0.7763415426015854,0.09431939978563773,0.07234620302915573,290.035907657,44,43,1765916417.3316596,0.879486083984375,6843136.0
0.001,0.779362678527832,0.09646302250803858,0.09059582650661469,297.215809824,45,44,1765916424.511543,0.8572303056716919,6993296.0
0.001,0.7932154387235641,0.09860664523043944,0.07953527569770813,303.703186054,46,45,1765916430.9989398,0.8134019374847412,7142356.0
0.001,0.7948541045188904,0.1007502679528403,0.08684149384498596,309.370991833,47,46,1765916436.6667325,0.8110522031784058,7294167.0
0.001,0.7706210017204285,0.10289389067524116,0.094875767827034,317.582191151,48,47,1765916444.877925,0.9114342927932739,7470762.0
0.001,0.7912688702344894,0.10503751339764202,0.08442216366529465,325.201483139,49,48,1765916452.4972243,0.8227313756942749,7629052.0
0.001,0.7947927862405777,0.10718113612004287,0.1569238305091858,330.550548338,50,49,1765916457.8463178,0.8045729398727417,7779609.0
