train/loss,train/learning_rate,train/mean_token_accuracy,train/epoch,_runtime,train/global_step,train/grad_norm,train/num_tokens,_step,_timestamp
1.6945645809173584,0.0001,0.6562617868185043,0.0021436227224008574,9.993466938,1,0.26826122403144836,136605.0,0,1765916130.8356378
1.689443826675415,0.0001,0.6476123631000519,0.004287245444801715,16.776515632,2,0.2774518132209778,292128.0,1,1765916137.6191516
1.6146146059036255,0.0001,0.6645881980657578,0.006430868167202572,22.853710765,3,0.34803566336631775,444535.0,2,1765916143.6963701
1.637203335762024,0.0001,0.6523223966360092,0.00857449088960343,29.116737144,4,0.4062052369117737,592263.0,3,1765916149.959284
1.565283179283142,0.0001,0.6620456874370575,0.010718113612004287,34.852641263,5,0.39684057235717773,737019.0,4,1765916155.695277
1.4698188304901123,0.0001,0.6775505691766739,0.012861736334405145,41.361575626,6,0.33047935366630554,896813.0,5,1765916162.2042074
1.455163598060608,0.0001,0.6742961406707764,0.015005359056806002,49.368412887,7,0.3079620599746704,1062679.0,6,1765916170.2109005
1.429966688156128,0.0001,0.6775141656398773,0.01714898177920686,55.934883482000004,8,0.31883248686790466,1212566.0,7,1765916176.777435
1.3359020948410034,0.0001,0.6923444122076035,0.01929260450160772,63.789980295,9,0.16456755995750427,1373797.0,8,1765916184.6326382
1.3563865423202515,0.0001,0.6907530725002289,0.021436227224008574,70.096419046,10,0.21461543440818787,1516877.0,9,1765916190.9391077
1.3167036771774292,0.0001,0.697766050696373,0.023579849946409433,76.374968446,11,0.35574859380722046,1663977.0,10,1765916197.2176197
1.224892020225525,0.0001,0.719415009021759,0.02572347266881029,82.237561415,12,0.30384689569473267,1815907.0,11,1765916203.080248
1.1853911876678467,0.0001,0.7262169420719147,0.027867095391211148,89.139830238,13,0.27529436349868774,1971911.0,12,1765916209.9825044
1.1776564121246338,0.0001,0.7241900861263275,0.030010718113612004,96.116387948,14,0.2644501328468323,2135596.0,13,1765916216.95896
1.1176217794418335,0.0001,0.7383274137973785,0.03215434083601286,102.82151539,15,0.2748538851737976,2285621.0,14,1765916223.6642075
1.089684247970581,0.0001,0.7444818019866943,0.03429796355841372,110.168248434,16,0.24587450921535492,2441090.0,15,1765916231.010834
1.0293768644332886,0.0001,0.7587175369262695,0.03644158628081458,116.635136664,17,0.22750133275985718,2591858.0,16,1765916237.4777062
1.0226659774780273,0.0001,0.754531517624855,0.03858520900321544,124.118329786,18,0.21946671605110168,2754012.0,17,1765916244.9609735
1.0027340650558472,0.0001,0.7618604749441147,0.04072883172561629,131.125813403,19,0.22013108432292938,2916829.0,18,1765916251.96847
1.0180747509002686,0.0001,0.7575130015611649,0.04287245444801715,137.2300614,20,0.21136587858200073,3061305.0,19,1765916258.0727365
0.9662250280380249,0.0001,0.7664728164672852,0.04501607717041801,143.597527995,21,0.1906203031539917,3219127.0,20,1765916264.440221
0.9559288024902344,0.0001,0.768762394785881,0.04715969989281887,150.520370973,22,0.1578783094882965,3380158.0,21,1765916271.3630798
0.946453332901001,0.0001,0.7711197286844254,0.04930332261521972,156.791523633,23,0.136617511510849,3539898.0,22,1765916277.634113
0.926711916923523,0.0001,0.7729753851890564,0.05144694533762058,161.677338152,24,0.1373860239982605,3689574.0,23,1765916282.5199904
0.963125467300415,0.0001,0.7649421542882919,0.05359056806002144,169.372777654,25,0.11071749031543732,3855970.0,24,1765916290.2154353
0.9080123901367188,0.0001,0.7768213152885437,0.055734190782422297,175.918336467,26,0.10463067144155502,4018658.0,25,1765916296.7609637
0.9839924573898315,0.0001,0.7594149857759476,0.05787781350482315,182.574911166,27,0.10719546675682068,4171160.0,26,1765916303.4175565
0.8786492347717285,0.0001,0.7833353579044342,0.06002143622722401,187.821788478,28,0.1033904105424881,4314298.0,27,1765916308.6643765
0.9006929397583008,0.0001,0.7778873592615128,0.06216505894962487,193.979686064,29,0.09726014733314514,4468546.0,28,1765916314.822219
0.9527672529220581,0.0001,0.766847237944603,0.06430868167202572,201.15500093,30,0.08111440390348434,4635984.0,29,1765916321.9976547
0.8777303695678711,0.0001,0.7835460901260376,0.06645230439442658,207.008520602,31,0.0733584314584732,4790352.0,30,1765916327.851186
0.9301512241363525,0.0001,0.7703986018896103,0.06859592711682744,214.083447685,32,0.06544090807437897,4956096.0,31,1765916334.9260495
0.8650608062744141,0.0001,0.7853676527738571,0.0707395498392283,219.841129767,33,0.06564409285783768,5107640.0,32,1765916340.6837282
0.8724205493927002,0.0001,0.7829435020685196,0.07288317256162916,226.362656266,34,0.05816705897450447,5265237.0,33,1765916347.2052777
0.8610975742340088,0.0001,0.785138800740242,0.07502679528403002,232.571205823,35,0.05823667719960213,5419378.0,34,1765916353.413818
0.8737101554870605,0.0001,0.7799881249666214,0.07717041800643087,238.32020168,36,0.054314520210027695,5576075.0,35,1765916359.162786
0.8695865869522095,0.0001,0.7849213182926178,0.07931404072883172,243.556012878,37,0.0540698803961277,5720029.0,36,1765916364.3986018
0.8854023814201355,0.0001,0.7808315008878708,0.08145766345123258,250.5937412,38,0.049693115055561066,5884915.0,37,1765916371.4364607
0.8795855045318604,0.0001,0.7801245301961899,0.08360128617363344,256.892888215,39,0.052684567868709564,6032758.0,38,1765916377.7355068
0.8864792585372925,0.0001,0.7795673161745071,0.0857449088960343,262.989001291,40,0.04512008652091026,6187550.0,39,1765916383.8315527
0.8966536521911621,0.0001,0.7745366543531418,0.08788853161843516,270.514916186,41,0.04148929938673973,6355408.0,40,1765916391.357578
