train/learning_rate,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/grad_norm,train/num_tokens,train/global_step,train/epoch,_step,eval/accuracy
1e-05,0.6688115298748016,43.798083629,1765916598.9291842,1.670913815498352,0.12863530218601227,136605.0,1.0,0.0021436227224008574,0,
1e-05,0.6602710783481598,81.702945457,1765916636.8343277,1.668278455734253,0.12564000487327576,292128.0,2.0,0.004287245444801715,1,
1e-05,0.6740535199642181,113.270665646,1765916668.4020793,1.6168596744537354,0.1258949637413025,444535.0,3.0,0.006430868167202572,2,
1e-05,0.6614993810653687,142.446650552,1765916697.5780697,1.6749467849731445,0.13992637395858765,592263.0,4.0,0.00857449088960343,3,
1e-05,0.6667664051055908,171.629078663,1765916726.7604916,1.6613788604736328,0.14240145683288574,737019.0,5.0,0.010718113612004287,4,
1e-05,0.6735956966876984,205.37710861,1765916760.5084772,1.6012556552886963,0.14420633018016815,896813.0,6.0,0.012861736334405145,5,
1e-05,0.6663008332252502,243.417257626,1765916798.5486772,1.6245129108428955,0.14612555503845215,1062679.0,7.0,0.015005359056806002,6,
1e-05,0.6593634188175201,276.197075325,1765916831.3284807,1.6640141010284424,0.16381865739822388,1212566.0,8.0,0.01714898177920686,7,
1e-05,0.6757613122463226,316.642548155,1765916871.773988,1.5653021335601807,0.15676629543304443,1373797.0,9.0,0.01929260450160772,8,
1e-05,0.6637745201587677,351.929530821,1765916907.0609674,1.6553616523742676,0.16304735839366913,1516877.0,10.0,0.021436227224008574,9,
1e-05,0.6640752553939819,383.772332446,1765916938.903764,1.6350797414779663,0.17013666033744812,1663977.0,11.0,0.023579849946409433,10,
1e-05,0.6782188415527344,416.075060773,1765916971.2064884,1.5642446279525757,0.16457852721214294,1815907.0,12.0,0.02572347266881029,11,
1e-05,0.6799583733081818,452.49805884,1765917007.6295033,1.539576530456543,0.16226983070373535,1971911.0,13.0,0.027867095391211148,12,
1e-05,0.6762137711048126,488.551173181,1765917043.6825912,1.5390713214874268,0.15433251857757568,2135596.0,14.0,0.030010718113612004,13,
1e-05,0.6742091178894043,521.321913757,1765917076.4533267,1.5437536239624023,0.1513814926147461,2285621.0,15.0,0.03215434083601286,14,
1e-05,0.6789893507957458,555.301360409,1765917110.4328418,1.5120494365692139,0.14350512623786926,2441090.0,16.0,0.03429796355841372,15,
1e-05,0.6820449233055115,588.826474998,1765917143.9578967,1.4997963905334473,0.14015915989875793,2591858.0,17.0,0.03644158628081458,16,
1e-05,0.682959645986557,624.500450242,1765917179.631871,1.4649584293365479,0.12647733092308044,2754012.0,18.0,0.03858520900321544,17,
1e-05,0.6846806704998016,659.962456705,1765917215.0938737,1.4524208307266235,0.12119317799806595,2916829.0,19.0,0.04072883172561629,18,
1e-05,0.6703377664089203,693.334828996,1765917248.466256,1.5327430963516235,0.12783677875995636,3061305.0,20.0,0.04287245444801715,19,
1e-05,0.6859903931617737,724.81259682,1765917279.944005,1.4404351711273193,0.1169063001871109,3219127.0,21.0,0.04501607717041801,20,
1e-05,0.6867359280586243,762.368400429,1765917317.499841,1.4193542003631592,0.10946054011583328,3380158.0,22.0,0.04715969989281887,21,
1e-05,0.6884316205978394,794.20884204,1765917349.3402681,1.4099926948547363,0.10536886006593704,3539898.0,23.0,0.04930332261521972,22,
1e-05,0.6851109266281128,818.30565712,1765917373.4370823,1.4218207597732544,0.10881082713603973,3689574.0,24.0,0.05144694533762058,23,
