train/global_step,_step,_runtime,train/loss,train/grad_norm,train/num_tokens,train/learning_rate,_timestamp,train/mean_token_accuracy,train/epoch,eval/accuracy
1.0,0,9.697374306,1.6945645809173584,0.7236155867576599,136605.0,1e-05,1765916125.7328238,0.6562617868185043,0.0021436227224008574,
2.0,1,16.699843701,1.699682593345642,0.6616684794425964,292128.0,1e-05,1765916132.735658,0.6470124572515488,0.004287245444801715,
3.0,2,22.774154926,1.6499485969543457,0.6708928346633911,444535.0,1e-05,1765916138.810015,0.6624725162982941,0.006430868167202572,
4.0,3,28.977779131,1.7150380611419678,0.7117923498153687,592263.0,1e-05,1765916145.013611,0.6468244045972824,0.00857449088960343,
5.0,4,34.79063608,1.6961076259613037,0.7223132252693176,737019.0,1e-05,1765916150.8264601,0.6535835862159729,0.010718113612004287,
6.0,5,41.34879751,1.645172357559204,0.7007356286048889,896813.0,1e-05,1765916157.3846474,0.6607766151428223,0.012861736334405145,
7.0,6,49.376150863,1.671518087387085,0.6833198666572571,1062679.0,1e-05,1765916165.4119813,0.6525178700685501,0.015005359056806002,
8.0,7,55.949571644,1.7120754718780518,0.7611585259437561,1212566.0,1e-05,1765916171.9853888,0.6454620361328125,0.01714898177920686,
9.0,8,63.868393375,1.6273159980773926,0.7208468317985535,1373797.0,1e-05,1765916179.9042203,0.6607661545276642,0.01929260450160772,
10.0,9,70.233274441,1.7233054637908936,0.814116895198822,1516877.0,1e-05,1765916186.2691019,0.6474691033363342,0.021436227224008574,
11.0,10,76.629698395,1.7082945108413696,0.8206366300582886,1663977.0,1e-05,1765916192.665521,0.6470693647861481,0.023579849946409433,
12.0,11,82.932191225,1.6444557905197144,0.8254460096359253,1815907.0,1e-05,1765916198.9680445,0.6622979193925858,0.02572347266881029,
13.0,12,89.934901247,1.6289645433425903,0.8224789500236511,1971911.0,1e-05,1765916205.9707453,0.6630348414182663,0.027867095391211148,
14.0,13,96.972633258,1.6385784149169922,0.8120889067649841,2135596.0,1e-05,1765916213.0084558,0.658302366733551,0.030010718113612004,
15.0,14,103.961447791,1.6570093631744385,0.8804856538772583,2285621.0,1e-05,1765916219.997289,0.6541310995817184,0.03215434083601286,
16.0,15,111.337219054,1.6437702178955078,0.867030918598175,2441090.0,1e-05,1765916227.3729823,0.6580414026975632,0.03429796355841372,
17.0,16,117.818158974,1.6345367431640625,0.9081107974052429,2591858.0,1e-05,1765916233.8538318,0.6620566993951797,0.03644158628081458,
18.0,17,125.514900003,1.6090447902679443,0.885439395904541,2754012.0,1e-05,1765916241.5506985,0.6585277915000916,0.03858520900321544,
19.0,18,132.73133344,1.6071330308914185,0.888058602809906,2916829.0,1e-05,1765916248.7670865,0.6610528081655502,0.04072883172561629,
