_runtime,train/num_tokens,train/learning_rate,train/loss,train/epoch,train/grad_norm,train/global_step,_step,_timestamp,train/mean_token_accuracy
42.755326565,136605.0,1e-05,1.670913815498352,0.0021436227224008574,2.963834285736084,1,0,1765916576.2125218,0.6688115298748016
76.443814356,292128.0,1e-05,1.6692559719085693,0.004287245444801715,2.9204912185668945,2,1,1765916609.9012787,0.6600658893585205
105.458843492,444535.0,1e-05,1.616243839263916,0.006430868167202572,2.904508113861084,3,2,1765916638.916353,0.6741169095039368
132.393552447,592263.0,1e-05,1.6716976165771484,0.00857449088960343,3.1996378898620605,4,3,1765916665.8509676,0.6620320081710815
159.853955857,737019.0,1e-05,1.6566548347473145,0.010718113612004287,3.2530694007873535,5,4,1765916693.3114057,0.6672229766845703
190.82906275,896813.0,1e-05,1.594517469406128,0.012861736334405145,3.2353529930114746,6,5,1765916724.286513,0.6740534603595734
226.006885452,1062679.0,1e-05,1.6131782531738281,0.015005359056806002,3.1487464904785156,7,6,1765916759.4643476,0.6677275896072388
256.525486258,1212566.0,1e-05,1.6492648124694824,0.01714898177920686,3.438095808029175,8,7,1765916789.9829612,0.6609435379505157
293.84032083,1373797.0,1e-05,1.551759958267212,0.01929260450160772,3.2854108810424805,9,8,1765916827.2977812,0.678059309720993
326.541350821,1516877.0,1e-05,1.6384878158569336,0.021436227224008574,3.413867712020874,10,9,1765916859.9988174,0.6654805839061737
356.119904553,1663977.0,1e-05,1.612004041671753,0.023579849946409433,3.433194637298584,11,10,1765916889.5773642,0.6662360429763794
385.021448629,1815907.0,1e-05,1.5353516340255737,0.02572347266881029,3.210167646408081,12,11,1765916918.4789035,0.679740846157074
418.822741338,1971911.0,1e-05,1.507627248764038,0.027867095391211148,3.088325023651123,13,12,1765916952.2801952,0.6822498738765717
452.175429492,2135596.0,1e-05,1.504989743232727,0.030010718113612004,2.844294309616089,14,13,1765916985.6329064,0.6776266396045685
482.463847275,2285621.0,1e-05,1.5107641220092773,0.03215434083601286,2.8734123706817627,15,14,1765917015.9213176,0.6760445535182953
513.749735286,2441090.0,1e-05,1.479613184928894,0.03429796355841372,2.7164409160614014,16,15,1765917047.2072232,0.6831114292144775
544.775029584,2591858.0,1e-05,1.461907148361206,0.03644158628081458,2.6398351192474365,17,16,1765917078.2324948,0.6855216324329376
577.564238998,2754012.0,1e-05,1.4273924827575684,0.03858520900321544,2.3737881183624268,18,17,1765917111.0217142,0.6869988143444061
609.980125719,2916829.0,1e-05,1.4124845266342163,0.04072883172561629,2.296064615249634,19,18,1765917143.4376006,0.6876806318759918
639.948108904,3061305.0,1e-05,1.484130620956421,0.04287245444801715,2.3757894039154053,20,19,1765917173.4055617,0.6742032170295715
669.552035581,3219127.0,1e-05,1.3960944414138794,0.04501607717041801,2.2035398483276367,21,20,1765917203.009504,0.6908493340015411
705.073909639,3380158.0,1e-05,1.371856451034546,0.04715969989281887,2.057404041290283,22,21,1765917238.531399,0.694098174571991
733.770747772,3539898.0,1e-05,1.3615295886993408,0.04930332261521972,1.9586964845657349,23,22,1765917267.2282057,0.6954148709774017
755.486724483,3689574.0,1e-05,1.3700801134109497,0.05144694533762058,1.9319608211517334,24,23,1765917288.9441664,0.6928659975528717
792.798157063,3855970.0,1e-05,1.3437639474868774,0.05359056806002144,1.7029987573623657,25,24,1765917326.2554557,0.6940467655658722
822.424780142,4018658.0,1e-05,1.2984517812728882,0.055734190782422297,1.6851695775985718,26,25,1765917355.8821723,0.7054705321788788
856.077118253,4171160.0,1e-05,1.3837308883666992,0.05787781350482315,1.764876127243042,27,26,1765917389.5345778,0.685422271490097
879.372392712,4314298.0,1e-05,1.3097929954528809,0.06002143622722401,1.8542499542236328,28,27,1765917412.8298252,0.7028181850910187
907.264208684,4468546.0,1e-05,1.2853803634643555,0.06216505894962487,1.6965417861938477,29,28,1765917440.7216618,0.7047955691814423
942.487641358,4635984.0,1e-05,1.2841005325317383,0.06430868167202572,1.5328600406646729,30,29,1765917475.9451234,0.7028985917568207
967.227315985,4790352.0,1e-05,1.2449138164520264,0.06645230439442658,1.6279733180999756,31,30,1765917500.6847577,0.7123832404613495
998.695643929,4956096.0,1e-05,1.24853515625,0.06859592711682744,1.499250888824463,32,31,1765917532.1530638,0.7077327370643616
1023.770549491,5107640.0,1e-05,1.2187364101409912,0.0707395498392283,1.6623692512512207,33,32,1765917557.228004,0.7162189781665802
1055.680975213,5265237.0,1e-05,1.1920475959777832,0.07288317256162916,1.5987368822097778,34,33,1765917589.1384003,0.7197025716304779
1085.89833797,5419378.0,1e-05,1.1780565977096558,0.07502679528403002,1.6881688833236694,35,34,1765917619.3557994,0.723938524723053
1113.14116868,5576075.0,1e-05,1.172258973121643,0.07717041800643087,1.685594081878662,36,35,1765917646.5986178,0.7240683138370514
1137.501725999,5720029.0,1e-05,1.1840839385986328,0.07931404072883172,1.8583106994628906,37,36,1765917670.9591706,0.7237947285175323
1170.227638355,5884915.0,1e-05,1.1281828880310059,0.08145766345123258,1.6856050491333008,38,37,1765917703.6851144,0.7305894792079926
1201.898982482,6032758.0,1e-05,1.1370511054992676,0.08360128617363344,1.9765326976776123,39,38,1765917735.3563647,0.729254961013794
1231.019168525,6187550.0,1e-05,1.111453890800476,0.0857449088960343,1.946904182434082,40,39,1765917764.4765258,0.7358300983905792
1265.752700938,6355408.0,1e-05,1.0843820571899414,0.08788853161843516,1.7791351079940796,41,40,1765917799.2101471,0.7405934035778046
