_step,_runtime,_timestamp,train/epoch,train/grad_norm,train/num_tokens,train/mean_token_accuracy,train/loss,train/learning_rate,train/global_step,eval/accuracy
0,63.804432347,1765923024.0704648,0.0021436227224008574,22.8553466796875,136605.0,0.6688115298748016,1.670913815498352,1e-06,1.0,
1,116.461470866,1765923076.7276163,0.004287245444801715,20.540096282958984,292128.0,0.660655677318573,1.6598129272460938,1e-06,2.0,
2,163.963938205,1765923124.2300677,0.006430868167202572,18.19820213317871,444535.0,0.677515298128128,1.5829731225967407,1e-06,3.0,
3,209.31173591,1765923169.5778716,0.00857449088960343,19.08109474182129,592263.0,0.6651740074157715,1.6301089525222778,1e-06,4.0,
4,254.497606255,1765923214.763694,0.010718113612004287,16.607585906982422,737019.0,0.6759786903858185,1.5462944507598877,1e-06,5.0,
5,303.931357986,1765923264.1973991,0.012861736334405145,16.80391502380371,896813.0,0.6834551095962524,1.4846434593200684,1e-06,6.0,
6,358.093043834,1765923318.3592424,0.015005359056806002,15.059608459472656,1062679.0,0.6772305369377136,1.500457525253296,1e-06,7.0,
7,407.524454873,1765923367.790595,0.01714898177920686,15.934891700744629,1212566.0,0.6719261705875397,1.5270458459854126,1e-06,8.0,
8,464.712572292,1765923424.9787424,0.01929260450160772,9.794215202331543,1373797.0,0.7016345262527466,1.3272846937179565,1e-06,9.0,
9,516.21244914,1765923476.4785779,0.021436227224008574,8.053815841674805,1516877.0,0.6934932768344879,1.373884916305542,1e-06,10.0,
10,564.177423283,1765923524.4434953,0.023579849946409433,7.472341537475586,1663977.0,0.6947817206382751,1.351701259613037,1e-06,11.0,
11,611.486978416,1765923571.753022,0.02572347266881029,7.457378387451172,1815907.0,0.707653820514679,1.2922954559326172,1e-06,12.0,
12,664.884713261,1765923625.1507256,0.027867095391211148,7.850424766540527,1971911.0,0.7105976939201355,1.2618684768676758,1e-06,13.0,
13,717.31950864,1765923677.5854943,0.030010718113612004,7.929525852203369,2135596.0,0.7064931690692902,1.2715764045715332,1e-06,14.0,
14,765.851507639,1765923726.1175566,0.03215434083601286,7.193814277648926,2285621.0,0.707295149564743,1.2606028318405151,1e-06,15.0,
15,816.190309535,1765923776.4562879,0.03429796355841372,5.959926605224609,2441090.0,0.7170483767986298,1.2257705926895142,1e-06,16.0,
16,865.388820247,1765923825.6548738,0.03644158628081458,8.065722465515137,2591858.0,0.7521571815013885,1.0579185485839844,1e-06,17.0,
17,916.880305667,1765923877.1463585,0.03858520900321544,8.496514320373535,2754012.0,0.7563146650791168,1.0202383995056152,1e-06,18.0,
18,968.260864139,1765923928.5268629,0.04072883172561629,7.7325873374938965,2916829.0,0.7607326805591583,0.9897477626800537,1e-06,19.0,
19,1017.385116014,1765923977.6511538,0.04287245444801715,8.097082138061523,3061305.0,0.7609502971172333,0.9946999549865723,1e-06,20.0,
20,1065.48871896,1765924025.7547462,0.04501607717041801,5.530582427978516,3219127.0,0.7734029293060303,0.9369984865188599,1e-06,21.0,
21,1120.071746698,1765924080.337797,0.04715969989281887,7.494527339935303,3380158.0,0.7791236639022827,0.91709303855896,1e-06,22.0,
22,1167.500040419,1765924127.7660885,0.04930332261521972,9.348841667175293,3539898.0,0.7809770107269287,0.9068515300750732,1e-06,23.0,
23,1206.675438934,1765924166.9413097,0.05144694533762058,5.49151611328125,3689574.0,0.7844297587871552,0.8883347511291504,1e-06,24.0,
24,1264.139415388,1765924224.4053113,0.05359056806002144,3.1096930503845215,3855970.0,0.7760060429573059,0.910311758518219,1e-06,25.0,
25,1312.066807969,1765924272.3328235,0.055734190782422297,3.193786144256592,4018658.0,0.7898004055023193,0.8572213053703308,1e-06,26.0,
26,1365.116268504,1765924325.3823345,0.05787781350482315,3.708451271057129,4171160.0,0.7736190259456635,0.9166352152824402,1e-06,27.0,
27,1406.475273239,1765924366.741326,0.06002143622722401,4.71884298324585,4314298.0,0.7970356345176697,0.8159079551696777,1e-06,28.0,
28,1452.375363227,1765924412.6413913,0.06216505894962487,7.085895538330078,4468546.0,0.7924955487251282,0.8327224254608154,1e-06,29.0,
29,1506.76638057,1765924467.0323725,0.06430868167202572,8.8089017868042,4635984.0,0.7811461389064789,0.8762384653091431,1e-06,30.0,
30,1557.395489299,1765924517.6615274,0.06645230439442658,5.632528305053711,4790352.0,0.7965030074119568,0.8064714670181274,1e-06,31.0,
31,1607.85028652,1765924568.116321,0.06859592711682744,4.883889198303223,4956096.0,0.7859510481357574,0.8476425409317017,1e-06,32.0,
32,1650.9784295,1765924611.244437,0.0707395498392283,3.082240343093872,5107640.0,0.7979852259159088,0.7883592247962952,1e-06,33.0,
33,1701.498461965,1765924661.7644374,0.07288317256162916,3.868361473083496,5265237.0,0.7969115078449249,0.7875473499298096,1e-06,34.0,
