train/mean_token_accuracy,_runtime,train/loss,train/num_tokens,_step,train/global_step,train/learning_rate,_timestamp,train/epoch,train/grad_norm
0.6562617868185043,10.070563382,1.6945645809173584,136605.0,0,1,0.0001,1765916121.9963162,0.0021436227224008574,1.512997031211853
0.6480561196804047,17.001087898,1.6836527585983276,292128.0,1,2,0.0001,1765916128.9270933,0.004287245444801715,1.5381673574447632
0.6655674129724503,23.161206479,1.6016379594802856,444535.0,2,3,0.0001,1765916135.0872393,0.006430868167202572,1.9129313230514526
0.6533924639225006,29.521093995,1.6117537021636963,592263.0,3,4,0.0001,1765916141.447126,0.00857449088960343,2.071441173553467
0.6654493510723114,35.491837285,1.5330495834350586,737019.0,4,5,0.0001,1765916147.4178894,0.010718113612004287,1.9608138799667358
0.6804181784391403,42.086586441,1.4409631490707397,896813.0,5,6,0.0001,1765916154.0126076,0.012861736334405145,1.7250862121582031
0.6781956106424332,50.321955184,1.431776523590088,1062679.0,6,7,0.0001,1765916162.2480025,0.015005359056806002,1.6993255615234375
0.6791742444038391,56.981889479,1.405333399772644,1212566.0,7,8,0.0001,1765916168.907931,0.01714898177920686,1.0468199253082275
0.6963439285755157,65.047260485,1.3113923072814941,1373797.0,8,9,0.0001,1765916176.9732726,0.01929260450160772,0.9834787845611572
0.6963402330875397,71.45597521,1.3262004852294922,1516877.0,9,10,0.0001,1765916183.382013,0.021436227224008574,1.8383514881134033
0.703448012471199,78.13104235,1.2866904735565186,1663977.0,10,11,0.0001,1765916190.057081,0.023579849946409433,1.9677733182907104
0.7264570146799088,84.291369176,1.1944941282272339,1815907.0,11,12,0.0001,1765916196.2173834,0.02572347266881029,1.6204984188079834
0.7305517792701721,91.544670074,1.1579418182373047,1971911.0,12,13,0.0001,1765916203.4706852,0.027867095391211148,2.09968900680542
0.7324673384428024,98.674600432,1.151561975479126,2135596.0,13,14,0.0001,1765916210.6006231,0.030010718113612004,1.6594305038452148
0.7433387488126755,105.679589492,1.0903515815734863,2285621.0,14,15,0.0001,1765916217.6056376,0.03215434083601286,1.5992804765701294
0.7510372847318649,113.24274544,1.0669403076171875,2441090.0,15,16,0.0001,1765916225.1687589,0.03429796355841372,1.4679895639419556
0.7636238485574722,119.807470772,1.0084937810897827,2591858.0,16,17,0.0001,1765916231.7334847,0.03644158628081458,1.4677088260650635
0.7583959847688675,127.517146286,1.0066947937011719,2754012.0,17,18,0.0001,1765916239.4431884,0.03858520900321544,1.6242780685424805
0.7629246115684509,134.832272529,0.9877131581306458,2916829.0,18,19,0.0001,1765916246.7583313,0.04072883172561629,1.1226856708526611
