train/learning_rate,_step,_timestamp,train/grad_norm,train/mean_token_accuracy,_runtime,train/global_step,train/loss,train/epoch,train/num_tokens
0.001,0,1765916134.84731,1.0239992141723633,0.6562617868185043,9.564676251,1,1.6945645809173584,0.0021436227224008574,136605.0
0.001,1,1765916141.7364933,1.5787097215652466,0.6723989248275757,16.453652512,2,1.4761472940444946,0.004287245444801715,292128.0
0.001,2,1765916147.8329725,1.1454411745071411,0.7045040726661682,22.550100462,3,1.3042411804199219,0.006430868167202572,444535.0
0.001,3,1765916154.2213252,0.8064433336257935,0.725594773888588,28.938455575,4,1.1627967357635498,0.00857449088960343,592263.0
0.001,4,1765916160.0119708,3.3668272495269775,0.7479934990406036,34.729090105,5,1.0451271533966064,0.010718113612004287,737019.0
0.001,5,1765916166.5511427,1.4456472396850586,0.7677133530378342,41.268268088,6,0.9860430955886841,0.012861736334405145,896813.0
0.001,6,1765916174.5678492,0.5307130813598633,0.7602863162755966,49.284978934,7,0.9854352474212646,0.015005359056806002,1062679.0
0.001,7,1765916181.2332466,0.4216368794441223,0.7706787586212158,55.950379442,8,0.9279768466949463,0.01714898177920686,1212566.0
0.001,8,1765916189.173514,0.34816715121269226,0.7779922932386398,63.890679244,9,0.8904132843017578,0.01929260450160772,1373797.0
0.001,9,1765916195.5227525,0.31099754571914673,0.7807234972715378,70.239879112,10,0.8889211416244507,0.021436227224008574,1516877.0
0.001,10,1765916201.8302066,0.22896188497543335,0.7772103101015091,76.5473334,11,0.8954862952232361,0.023579849946409433,1663977.0
0.001,11,1765916207.8885486,0.22845225036144257,0.7887445837259293,82.605667293,12,0.8490254878997803,0.02572347266881029,1815907.0
0.001,12,1765916214.9162939,0.1616695374250412,0.7869233787059784,89.633405899,13,0.8552277684211731,0.027867095391211148,1971911.0
0.001,13,1765916221.9849734,0.14989693462848663,0.7765704244375229,96.702094348,14,0.8966954350471497,0.030010718113612004,2135596.0
0.001,14,1765916228.8827114,0.1294393390417099,0.7838018834590912,103.599825127,15,0.8559392094612122,0.03215434083601286,2285621.0
0.001,15,1765916236.2596538,0.12414184212684631,0.781437486410141,110.976756627,16,0.8737325668334961,0.03429796355841372,2441090.0
0.001,16,1765916242.767891,0.34561532735824585,0.7909097969532013,117.484986909,17,0.8362753391265869,0.03644158628081458,2591858.0
0.001,17,1765916250.400438,0.3579559922218323,0.7787031382322311,125.117572105,18,0.8695323467254639,0.03858520900321544,2754012.0
0.001,18,1765916257.5726707,0.31205227971076965,0.7812867909669876,132.289761854,19,0.8696507215499878,0.04072883172561629,2916829.0
0.001,19,1765916263.8293834,0.42565229535102844,0.7776666134595871,138.54649727,20,0.8904531598091125,0.04287245444801715,3061305.0
0.001,20,1765916270.2529058,0.30956846475601196,0.7843658924102783,144.970009764,21,0.8593924045562744,0.04501607717041801,3219127.0
0.001,21,1765916277.2989826,0.257204532623291,0.7831152826547623,152.016085268,22,0.8612567186355591,0.04715969989281887,3380158.0
0.001,22,1765916283.6329026,0.30687475204467773,0.7849730402231216,158.350017495,23,0.8636727333068848,0.04930332261521972,3539898.0
0.001,23,1765916288.6175184,0.15048734843730927,0.7858692854642868,163.334631352,24,0.8459075689315796,0.05144694533762058,3689574.0
0.001,24,1765916296.3827577,0.20894113183021545,0.7755953669548035,171.099870575,25,0.8930116295814514,0.05359056806002144,3855970.0
0.001,25,1765916303.0943406,0.24776850640773773,0.7880382388830185,177.811455304,26,0.84111487865448,0.055734190782422297,4018658.0
0.001,26,1765916309.9292488,0.13691717386245728,0.7700804620981216,184.646396026,27,0.9165353775024414,0.05787781350482315,4171160.0
0.001,27,1765916315.2714286,0.20867030322551727,0.79437056183815,189.9885573,28,0.8137871623039246,0.06002143622722401,4314298.0
0.001,28,1765916321.4967208,0.20373554527759552,0.7876381129026413,196.213832154,29,0.8413981199264526,0.06216505894962487,4468546.0
0.001,29,1765916328.8395438,0.13020755350589752,0.7752305418252945,203.556644161,30,0.901320219039917,0.06430868167202572,4635984.0
0.001,30,1765916334.8720071,0.19994939863681793,0.7915839701890945,209.589115877,31,0.8274267315864563,0.06645230439442658,4790352.0
0.001,31,1765916342.0526214,0.1749802976846695,0.7786547094583511,216.769739142,32,0.8822449445724487,0.06859592711682744,4956096.0
0.001,32,1765916347.9127917,0.1176702231168747,0.7928883880376816,222.629906104,33,0.8182223439216614,0.0707395498392283,5107640.0
0.001,33,1765916354.5196412,0.1774410456418991,0.790918156504631,229.236758464,34,0.8274334073066711,0.07288317256162916,5265237.0
0.001,34,1765916360.8335927,0.09305811673402786,0.7937618046998978,235.550721346,35,0.813681960105896,0.07502679528403002,5419378.0
0.001,35,1765916366.7268958,0.18840688467025757,0.7883645743131638,241.444006672,36,0.8305169343948364,0.07717041800643087,5576075.0
0.001,36,1765916372.053876,0.14582934975624084,0.7922599762678146,246.770986326,37,0.823029637336731,0.07931404072883172,5720029.0
0.001,37,1765916379.1199563,0.2052132785320282,0.7873678058385849,253.83708779,38,0.8456223011016846,0.08145766345123258,5884915.0
0.001,38,1765916385.5416737,0.20426839590072632,0.7878299206495285,260.258787243,39,0.8378831744194031,0.08360128617363344,6032758.0
0.001,39,1765916391.7154455,0.2400958389043808,0.7865179181098938,266.432546362,40,0.8473538160324097,0.0857449088960343,6187550.0
0.001,40,1765916399.4398115,0.18451887369155884,0.7810451239347458,274.156931578,41,0.8612503409385681,0.08788853161843516,6355408.0
0.001,41,1765916406.409593,0.22648721933364868,0.7828029245138168,281.126673724,42,0.8574250936508179,0.09003215434083602,6519771.0
0.001,42,1765916412.6974688,0.22672350704669952,0.790649875998497,287.414573493,43,0.8198882341384888,0.09217577706323687,6672296.0
0.001,43,1765916421.3612418,0.2002115547657013,0.7756129205226898,296.078353956,44,0.8811450004577637,0.09431939978563773,6843136.0
0.001,44,1765916428.619016,0.23263861238956451,0.7788181155920029,303.336135345,45,0.8597294092178345,0.09646302250803858,6993296.0
0.001,45,1765916435.2002096,0.14157389104366302,0.7932005673646927,309.917364834,46,0.8147068023681641,0.09860664523043944,7142356.0
0.001,46,1765916441.0087347,0.25195780396461487,0.7952042520046234,315.725850053,47,0.8129476308822632,0.1007502679528403,7294167.0
0.001,47,1765916449.2882588,0.07972317188978195,0.7705142199993134,324.005375002,48,0.9130528569221497,0.10289389067524116,7470762.0
0.001,48,1765916457.200823,0.2005365937948227,0.7904347479343414,331.917947715,49,0.8253771066665649,0.10503751339764202,7629052.0
0.001,49,1765916462.6072834,0.14072692394256592,0.7942090630531311,337.324378575,50,0.8064677119255066,0.10718113612004287,7779609.0
0.001,50,1765916469.2440708,0.14120370149612427,0.7889364361763,343.961167553,51,0.8342533111572266,0.10932475884244373,7927458.0
0.001,51,1765916474.8934429,0.15350086987018585,0.7930577844381332,349.610538818,52,0.8158268928527832,0.11146838156484459,8078023.0
0.001,52,1765916480.9543533,0.12707695364952087,0.7907649278640747,355.67145067,53,0.8292385339736938,0.11361200428724544,8230483.0
0.001,53,1765916487.3322732,0.1891806572675705,0.7976339161396027,362.049363353,54,0.7973684668540955,0.1157556270096463,8375984.0
0.001,54,1765916494.4489934,0.18002574145793915,0.7746347934007645,369.166102614,55,0.8915270566940308,0.11789924973204716,8547262.0
0.001,55,1765916501.4559906,0.0960814356803894,0.7816753089427948,376.173101504,56,0.8644245862960815,0.12004287245444802,8704936.0
0.001,56,1765916508.5132434,0.12666061520576477,0.7896177917718887,383.230354249,57,0.8285925388336182,0.12218649517684887,8867795.0
0.001,57,1765916514.498014,0.0957452580332756,0.788079634308815,389.215112531,58,0.8354990482330322,0.12433011789924973,9019339.0
0.001,58,1765916521.025735,0.0906311571598053,0.7870458513498306,395.742846948,59,0.8416013717651367,0.1264737406216506,9189045.0
0.001,59,1765916527.2891269,0.09501367807388306,0.788572371006012,402.006232951,60,0.8283934593200684,0.12861736334405144,9353955.0
0.001,60,1765916534.3340604,0.1550600528717041,0.8023066073656082,409.051169819,61,0.7846400141716003,0.1307609860664523,9504744.0
0.001,61,1765916541.4472017,0.1162085235118866,0.7787548452615738,416.164295964,62,0.8765367269515991,0.13290460878885316,9662901.0
0.001,62,1765916547.1913095,0.09497776627540588,0.8048533648252487,421.908426692,63,0.7664104700088501,0.13504823151125403,9809122.0
0.001,63,1765916554.2642663,0.1439826637506485,0.7937043607234955,428.981395464,64,0.8177365064620972,0.13719185423365488,9968473.0
0.001,64,1765916561.5789847,0.11299312114715576,0.7857123911380768,436.296070822,65,0.8474096059799194,0.13933547695605572,10119334.0
0.001,65,1765916566.8223717,0.33236420154571533,0.7967030555009842,441.539537546,66,0.8006593585014343,0.1414790996784566,10259437.0
0.001,66,1765916574.6337786,0.19724486768245697,0.7852616757154465,449.350913213,67,0.8521175384521484,0.14362272240085744,10416011.0
0.001,67,1765916580.0111804,0.1496618539094925,0.7871057242155075,454.728270775,68,0.8420878648757935,0.1457663451232583,10566185.0
0.001,68,1765916585.5451112,0.2335146814584732,0.7941855043172836,460.262327096,69,0.815199613571167,0.14790996784565916,10715715.0
0.001,69,1765916593.6271873,0.10504027456045151,0.7879946380853653,468.344314256,70,0.8314712047576904,0.15005359056806003,10880059.0
0.001,70,1765916598.987677,0.1823207437992096,0.7920473515987396,473.704802238,71,0.8122614622116089,0.15219721329046088,11036249.0
0.001,71,1765916605.2165406,0.15285593271255493,0.7885322421789169,479.933672414,72,0.8281000852584839,0.15434083601286175,11186751.0
0.001,72,1765916612.0330458,0.13647891581058502,0.7817858904600143,486.750286428,73,0.8594392538070679,0.1564844587352626,11356082.0
0.001,73,1765916619.0193295,0.18401744961738586,0.7865161150693893,493.736483195,74,0.8388175964355469,0.15862808145766344,11514483.0
0.001,74,1765916625.0006764,0.09499992430210114,0.7888416051864624,499.717903111,75,0.8243846297264099,0.1607717041800643,11663606.0
0.001,75,1765916631.0646794,0.18823759257793427,0.7903246134519577,505.781862501,76,0.8261826038360596,0.16291532690246516,11816781.0
0.001,76,1765916637.1841204,0.12852929532527924,0.7871081084012985,511.901239375,77,0.8376033306121826,0.16505894962486603,11978438.0
0.001,77,1765916643.7257395,0.12437090277671814,0.7939487993717194,518.442862175,78,0.8095979690551758,0.16720257234726688,12137976.0
0.001,78,1765916650.3559566,0.1480160802602768,0.7896886020898819,525.073106687,79,0.8398566246032715,0.16934619506966775,12295505.0
0.001,79,1765916657.0485935,0.0996483713388443,0.7845640331506729,531.765768349,80,0.8466861248016357,0.1714898177920686,12452019.0
0.001,80,1765916664.7395256,0.13646431267261505,0.78090500831604,539.456657233,81,0.8611926436424255,0.17363344051446947,12611435.0
0.001,81,1765916671.9751353,0.12160845845937729,0.7993514388799667,546.692293503,82,0.786595344543457,0.1757770632368703,12770621.0
0.001,82,1765916677.708194,0.12639471888542175,0.7919056415557861,552.42531296,83,0.8169909715652466,0.17792068595927116,12917873.0
0.001,83,1765916682.970744,0.1491064876317978,0.795057475566864,557.687940936,84,0.8082549571990967,0.18006430868167203,13056173.0
0.001,84,1765916689.197746,0.09248360246419907,0.7803110182285309,563.914902255,85,0.8587307929992676,0.18220793140407288,13211326.0
0.001,85,1765916695.3773785,0.13078133761882782,0.7847059518098831,570.094527039,86,0.8498876094818115,0.18435155412647375,13369675.0
0.001,86,1765916701.1472943,0.13453882932662964,0.7941374778747559,575.864445499,87,0.8026095628738403,0.1864951768488746,13509971.0
0.001,87,1765916708.792726,0.13309279084205627,0.788104847073555,583.509818204,88,0.8348337411880493,0.18863879957127547,13673080.0
0.001,88,1765916715.3171544,0.13054674863815308,0.7754071801900864,590.034303518,89,0.8757114410400391,0.1907824222936763,13838935.0
0.001,89,1765916722.8752735,0.09184566885232925,0.7812367379665375,597.592434475,90,0.8528836965560913,0.19292604501607716,14002150.0
0.001,90,1765916729.7141695,0.1504196673631668,0.7919763028621674,604.431349059,91,0.8258945345878601,0.19506966773847803,14156247.0
