train/num_tokens,train/global_step,train/mean_token_accuracy,_step,_runtime,_timestamp,train/epoch,train/learning_rate,train/loss,train/grad_norm,eval/accuracy
136605.0,1.0,0.6562617868185043,0,9.515166338,1765916142.1323178,0.0021436227224008574,0.001,1.6945645809173584,0.18498006463050842,
292128.0,2.0,0.6709071099758148,1,16.335198869,1765916148.9526932,0.004287245444801715,0.001,1.4942913055419922,0.293032169342041,
444535.0,3.0,0.7036342024803162,2,22.458920417,1765916155.0764024,0.006430868167202572,0.001,1.3225939273834229,0.2267886996269226,
592263.0,4.0,0.7279666215181351,3,28.683882074,1765916161.3013399,0.00857449088960343,0.001,1.1639013290405273,0.13983944058418274,
737019.0,5.0,0.7451859414577484,4,34.378165778,1765916166.9956715,0.010718113612004287,0.001,1.0337536334991455,0.4678299129009247,
896813.0,6.0,0.7690197229385376,5,40.859345462,1765916173.4768326,0.012861736334405145,0.001,0.9693354368209839,0.11459609121084213,
1062679.0,7.0,0.7612504065036774,6,48.859043333,1765916181.4765353,0.015005359056806002,0.001,0.9946235418319702,0.09517719596624374,
1212566.0,8.0,0.7683727741241455,7,55.376722498,1765916187.994235,0.01714898177920686,0.001,0.9362584352493286,0.07480940222740173,
1373797.0,9.0,0.7790625244379044,8,63.285495046,1765916195.9029944,0.01929260450160772,0.001,0.8905567526817322,0.04763404652476311,
1516877.0,10.0,0.7808014303445816,9,69.608566951,1765916202.2260723,0.021436227224008574,0.001,0.8903199434280396,0.05899392440915108,
1663977.0,11.0,0.7772506326436996,10,75.897383718,1765916208.5148835,0.023579849946409433,0.001,0.896822988986969,0.10542988777160645,
1815907.0,12.0,0.7883419692516327,11,81.926629631,1765916214.5441577,0.02572347266881029,0.001,0.851466178894043,0.05588029697537422,
1971911.0,13.0,0.7860132455825806,12,88.849613497,1765916221.4671466,0.027867095391211148,0.001,0.8604325652122498,0.04621032997965813,
2135596.0,14.0,0.7760844826698303,13,95.900788688,1765916228.5182922,0.030010718113612004,0.001,0.9000359177589417,0.03438318520784378,
2285621.0,15.0,0.784061923623085,14,102.760219495,1765916235.3777387,0.03215434083601286,0.001,0.8572837710380554,0.03376956656575203,
2441090.0,16.0,0.7814174443483353,15,110.165313213,1765916242.782824,0.03429796355841372,0.001,0.8734149932861328,0.030000578612089157,
2591858.0,17.0,0.7910155206918716,16,116.65724521,1765916249.2747362,0.03644158628081458,0.001,0.8360514640808105,0.043470438569784164,
2754012.0,18.0,0.7795090228319168,17,124.209366412,1765916256.826847,0.03858520900321544,0.001,0.8688861131668091,0.033213913440704346,
2916829.0,19.0,0.7815152555704117,18,131.333182368,1765916263.9507017,0.04072883172561629,0.001,0.8692455291748047,0.031705211848020554,
3061305.0,20.0,0.7776828110218048,19,137.556673138,1765916270.1741817,0.04287245444801715,0.001,0.8880617022514343,0.031149327754974365,
3219127.0,21.0,0.7842426896095276,20,143.817425759,1765916276.4349353,0.04501607717041801,0.001,0.8587313890457153,0.034794844686985016,
3380158.0,22.0,0.782791256904602,21,150.745785413,1765916283.363318,0.04715969989281887,0.001,0.8606562614440918,0.0210304893553257,
3539898.0,23.0,0.7849426418542862,22,157.065462229,1765916289.6829803,0.04930332261521972,0.001,0.8616330623626709,0.03256678208708763,
3689574.0,24.0,0.7866187989711761,23,161.968492279,1765916294.5860052,0.05144694533762058,0.001,0.8448485732078552,0.07689109444618225,
