train/epoch,_timestamp,train/loss,train/num_tokens,_step,_runtime,train/grad_norm,train/learning_rate,train/mean_token_accuracy,train/global_step
0.0021436227224008574,1765916583.297671,1.670913815498352,136605.0,0,40.772373172,0.35744526982307434,0.0001,0.6688115298748016,1
0.004287245444801715,1765916617.2042181,1.622208833694458,292128.0,1,74.678610296,0.4605412185192108,0.0001,0.6651708483695984,2
0.006430868167202572,1765916646.2036505,1.4804129600524902,444535.0,2,103.678000809,0.4067413806915283,0.0001,0.6859858930110931,3
0.00857449088960343,1765916672.9360697,1.4304989576339722,592263.0,3,130.410373351,0.321047842502594,0.0001,0.684637725353241,4
0.010718113612004287,1765916699.6066008,1.329402208328247,737019.0,4,157.080886985,0.2283206284046173,0.0001,0.7008598148822784,5
0.012861736334405145,1765916730.166037,1.2356023788452148,896813.0,5,187.64035541,0.15406417846679688,0.0001,0.7156637012958527,6
0.015005359056806002,1765916765.5958714,1.229715347290039,1062679.0,6,223.070146888,0.1698843538761139,0.0001,0.7151486575603485,7
0.01714898177920686,1765916795.6683736,1.1822892427444458,1212566.0,7,253.142697592,0.22661630809307098,0.0001,0.7235786616802216,8
0.01929260450160772,1765916833.0393028,1.0588644742965698,1373797.0,8,290.51358725,0.24763227999210358,0.0001,0.7444714605808258,9
0.021436227224008574,1765916865.795685,1.091404676437378,1516877.0,9,323.269960527,0.8355006575584412,0.0001,0.7341149151325226,10
0.023579849946409433,1765916894.9362466,0.9843525886535645,1663977.0,10,352.410522455,0.2675214111804962,0.0001,0.7619345486164093,11
0.02572347266881029,1765916923.9407184,0.9066773653030396,1815907.0,11,381.414986022,0.298272967338562,0.0001,0.7812400758266449,12
0.027867095391211148,1765916957.2671998,0.8763135671615601,1971911.0,12,414.741501046,0.18383607268333435,0.0001,0.78496453166008,13
0.030010718113612004,1765916990.5885174,0.8921408653259277,2135596.0,13,448.062858411,0.15586745738983154,0.0001,0.7782964110374451,14
0.03215434083601286,1765917020.867608,0.8390297889709473,2285621.0,14,478.341909512,0.1275898665189743,0.0001,0.7907684147357941,15
0.03429796355841372,1765917051.8711994,0.8377771973609924,2441090.0,15,509.345613711,0.12122698873281479,0.0001,0.7914673089981079,16
0.03644158628081458,1765917082.2956185,0.8022809624671936,2591858.0,16,539.769988987,0.10835564136505127,0.0001,0.7978173494338989,17
0.03858520900321544,1765917114.5504766,0.8229057788848877,2754012.0,17,572.024866836,0.10549651086330414,0.0001,0.7906711399555206,18
0.04072883172561629,1765917146.490824,0.8186942934989929,2916829.0,18,603.965215149,0.0958063155412674,0.0001,0.7907877266407013,19
0.04287245444801715,1765917176.4426222,0.8312203884124756,3061305.0,19,633.916910622,0.07866969704627991,0.0001,0.7877350747585297,20
0.04501607717041801,1765917205.3922825,0.8036056756973267,3219127.0,20,662.866592076,0.07156295329332352,0.0001,0.7942304909229279,21
0.04715969989281887,1765917239.6444113,0.801701009273529,3380158.0,21,697.11872617,0.07643093168735504,0.0001,0.7923410534858704,22
0.04930332261521972,1765917268.9730742,0.7984845638275146,3539898.0,22,726.447478682,0.07013080269098282,0.0001,0.793802946805954,23
0.05144694533762058,1765917290.526009,0.7785195708274841,3689574.0,23,748.000357131,0.06628544628620148,0.0001,0.7957216203212738,24
0.05359056806002144,1765917328.047051,0.817926287651062,3855970.0,24,785.521341843,0.053042396903038025,0.0001,0.7872524261474609,25
0.055734190782422297,1765917357.426414,0.7673468589782715,4018658.0,25,814.900752207,0.0903855413198471,0.0001,0.8014975786209106,26
0.05787781350482315,1765917391.364021,0.8304376006126404,4171160.0,26,848.838330003,0.05857205390930176,0.0001,0.7857806384563446,27
0.06002143622722401,1765917414.5639677,0.7296162843704224,4314298.0,27,872.038278849,0.08103139698505402,0.0001,0.8083939850330353,28
0.06216505894962487,1765917442.0421264,0.7546266317367554,4468546.0,28,899.516424336,0.055332157760858536,0.0001,0.8016914427280426,29
0.06430868167202572,1765917476.7676492,0.8070396184921265,4635984.0,29,934.241907844,0.045667972415685654,0.0001,0.7901226282119751,30
0.06645230439442658,1765917501.98327,0.7365775108337402,4790352.0,30,959.457549973,0.05581824481487274,0.0001,0.8065941035747528,31
0.06859592711682744,1765917533.035149,0.7882015705108643,4956096.0,31,990.509465,0.044347796589136124,0.0001,0.7943121194839478,32
0.0707395498392283,1765917557.712249,0.7270454168319702,5107640.0,32,1015.186571763,0.04566007852554321,0.0001,0.8073866069316864,33
0.07288317256162916,1765917588.5941412,0.7333720922470093,5265237.0,33,1046.068466206,0.033334821462631226,0.0001,0.8055448234081268,34
0.07502679528403002,1765917618.4892597,0.7206245064735413,5419378.0,34,1075.963685254,0.03192155063152313,0.0001,0.8095807135105133,35
0.07717041800643087,1765917645.1771603,0.7372893691062927,5576075.0,35,1102.651431356,0.03569970279932022,0.0001,0.8043886423110962,36
0.07931404072883172,1765917669.540364,0.7301373481750488,5720029.0,36,1127.014660482,0.03634579852223396,0.0001,0.807017982006073,37
0.08145766345123258,1765917701.8335276,0.7495120167732239,5884915.0,37,1159.307821167,0.03203236684203148,0.0001,0.8027244508266449,38
0.08360128617363344,1765917733.309254,0.7394101023674011,6032758.0,38,1190.783511336,0.031137384474277496,0.0001,0.8047123551368713,39
0.0857449088960343,1765917762.241199,0.7496664524078369,6187550.0,39,1219.715633415,0.033092088997364044,0.0001,0.8027888536453247,40
0.08788853161843516,1765917796.515602,0.766035258769989,6355408.0,40,1253.98993335,0.03303195536136627,0.0001,0.7963365912437439,41
