train/learning_rate,_timestamp,train/grad_norm,train/num_tokens,train/global_step,train/loss,train/mean_token_accuracy,_step,_runtime,train/epoch,eval/accuracy
1e-05,1765916577.584897,0.35600221157073975,136605.0,1.0,1.670913815498352,0.6688115298748016,0,43.105348234,0.0021436227224008574,
1e-05,1765916612.0924194,0.3474505543708801,292128.0,2.0,1.6690125465393066,0.6600407361984253,1,77.612683178,0.004287245444801715,
1e-05,1765916640.7111588,0.3488936424255371,444535.0,3.0,1.6169894933700562,0.674010843038559,2,106.231402579,0.006430868167202572,
1e-05,1765916666.8321493,0.38676899671554565,592263.0,4.0,1.6747828722000122,0.6615467071533203,3,132.352375704,0.00857449088960343,
1e-05,1765916693.8069391,0.40041232109069824,737019.0,5.0,1.661846399307251,0.6668195426464081,4,159.327201749,0.010718113612004287,
1e-05,1765916724.5403118,0.40509921312332153,896813.0,6.0,1.6008286476135254,0.6734677851200104,5,190.060593014,0.012861736334405145,
1e-05,1765916759.7951207,0.40753504633903503,1062679.0,7.0,1.623075246810913,0.6663292944431305,6,225.315359074,0.015005359056806002,
1e-05,1765916789.7422707,0.46082013845443726,1212566.0,8.0,1.6637822389602661,0.6588532626628876,7,255.26250698,0.01714898177920686,
1e-05,1765916826.727112,0.43736132979393005,1373797.0,9.0,1.5639021396636963,0.676112711429596,8,292.247345865,0.01929260450160772,
1e-05,1765916859.071388,0.46002084016799927,1516877.0,10.0,1.6539928913116455,0.664038211107254,9,324.591619975,0.021436227224008574,
1e-05,1765916888.900155,0.47845685482025146,1663977.0,11.0,1.631347417831421,0.6641407012939453,10,354.420393468,0.023579849946409433,
1e-05,1765916918.0537488,0.4543871581554413,1815907.0,12.0,1.559412956237793,0.678513914346695,11,383.573971706,0.02572347266881029,
1e-05,1765916951.841233,0.45026159286499023,1971911.0,13.0,1.534182071685791,0.6809864342212677,12,417.361470076,0.027867095391211148,
1e-05,1765916984.8067439,0.4282257556915283,2135596.0,14.0,1.5328423976898193,0.6757605671882629,13,450.326935545,0.030010718113612004,
1e-05,1765917015.174743,0.42117398977279663,2285621.0,15.0,1.5382614135742188,0.6742470264434814,14,480.694988453,0.03215434083601286,
1e-05,1765917046.64643,0.39289745688438416,2441090.0,16.0,1.5052461624145508,0.6795405447483063,15,512.166671155,0.03429796355841372,
1e-05,1765917076.9746485,0.37660303711891174,2591858.0,17.0,1.4898991584777832,0.6826119422912598,16,542.494897414,0.03644158628081458,
1e-05,1765917109.337315,0.3384992182254791,2754012.0,18.0,1.45547616481781,0.6848093867301941,17,574.857557377,0.03858520900321544,
1e-05,1765917141.7846513,0.3260399401187897,2916829.0,19.0,1.44270920753479,0.6856591999530792,18,607.304898997,0.04072883172561629,
1e-05,1765917172.0025246,0.3400505483150482,3061305.0,20.0,1.5197677612304688,0.6708353757858276,19,637.522792817,0.04287245444801715,
