_timestamp,train/epoch,train/mean_token_accuracy,train/num_tokens,_runtime,train/loss,train/grad_norm,train/global_step,train/learning_rate,_step
1765917707.339979,0.0021436227224008574,0.6562617868185043,136605.0,9.717029207,1.6945645809173584,0.3692738115787506,1,0.0001,0
1765917714.3562806,0.004287245444801715,0.6479262411594391,292128.0,16.733034025,1.6898576021194458,0.38168802857398987,2,0.0001,1
1765917720.3735976,0.006430868167202572,0.664022833108902,444535.0,22.750331002,1.6173447370529175,0.4894602596759796,3,0.0001,2
1765917726.5175152,0.00857449088960343,0.6524471938610077,592263.0,28.894235366,1.6364550590515137,0.5548105239868164,4,0.0001,3
1765917732.2050836,0.010718113612004287,0.6629080474376678,737019.0,34.581798581,1.5669351816177368,0.5450388193130493,5,0.0001,4
1765917738.6983478,0.012861736334405145,0.6769518852233887,896813.0,41.075067322,1.4702229499816895,0.45156747102737427,6,0.0001,5
1765917746.7138321,0.015005359056806002,0.6753333956003189,1062679.0,49.090561386,1.4573445320129395,0.4072902500629425,7,0.0001,6
1765917753.1384227,0.01714898177920686,0.6780294477939606,1212566.0,55.515126464,1.4319120645523071,0.4663509428501129,8,0.0001,7
1765917761.0090137,0.01929260450160772,0.6934549361467361,1373797.0,63.385740418,1.332756757736206,0.2355889081954956,9,0.0001,8
1765917767.2788203,0.021436227224008574,0.6917197406291962,1516877.0,69.655542849,1.354320764541626,0.30426153540611267,10,0.0001,9
1765917773.5667567,0.023579849946409433,0.6976017951965332,1663977.0,75.943475082,1.317335844039917,0.6033529043197632,11,0.0001,10
1765917779.5522823,0.02572347266881029,0.7194162309169769,1815907.0,81.928982598,1.2241795063018799,0.41793394088745117,12,0.0001,11
1765917786.4261575,0.027867095391211148,0.7261595726013184,1971911.0,88.802883261,1.1870651245117188,0.44107767939567566,13,0.0001,12
1765917793.3583698,0.030010718113612004,0.7242146283388138,2135596.0,95.735086901,1.1775423288345337,0.32629093527793884,14,0.0001,13
1765917800.13976,0.03215434083601286,0.7358912527561188,2285621.0,102.516456839,1.1208572387695312,0.47050654888153076,15,0.0001,14
1765917807.4744766,0.03429796355841372,0.7429044097661972,2441090.0,109.85119952,1.0913752317428589,0.4170360267162323,16,0.0001,15
1765917813.8823888,0.03644158628081458,0.7593264281749725,2591858.0,116.259071333,1.0285093784332275,0.3384385406970978,17,0.0001,16
1765917821.569164,0.03858520900321544,0.7551834732294083,2754012.0,123.945898759,1.0219932794570923,0.3071993887424469,18,0.0001,17
1765917828.6196616,0.04072883172561629,0.7614355385303497,2916829.0,130.996382989,1.003031849861145,0.3066319227218628,19,0.0001,18
1765917834.7678885,0.04287245444801715,0.7569644749164581,3061305.0,137.144609841,1.0200915336608887,0.3147682547569275,20,0.0001,19
1765917841.0075755,0.04501607717041801,0.7668818682432175,3219127.0,143.384291835,0.967566192150116,0.2668275237083435,21,0.0001,20
1765917847.8688276,0.04715969989281887,0.7684222608804703,3380158.0,150.245521269,0.958433985710144,0.21409587562084198,22,0.0001,21
1765917854.1560857,0.04930332261521972,0.7710531949996948,3539898.0,156.53281079,0.9495619535446167,0.1867462545633316,23,0.0001,22
1765917859.0368845,0.05144694533762058,0.7729972898960114,3689574.0,161.413604743,0.9300715923309326,0.23036417365074158,24,0.0001,23
1765917866.609018,0.05359056806002144,0.7645823061466217,3855970.0,168.985754493,0.9664312601089478,0.15928326547145844,25,0.0001,24
1765917873.1845424,0.055734190782422297,0.7765466570854187,4018658.0,175.561270808,0.9117152094841003,0.15429507195949554,26,0.0001,25
1765917879.8299298,0.05787781350482315,0.7591422349214554,4171160.0,182.206636607,0.9865212440490723,0.15639996528625488,27,0.0001,26
1765917885.0463262,0.06002143622722401,0.7830882966518402,4314298.0,187.423051546,0.8802270293235779,0.1494121551513672,28,0.0001,27
1765917891.141901,0.06216505894962487,0.776885449886322,4468546.0,193.518603091,0.9012569189071655,0.13600629568099976,29,0.0001,28
1765917898.3219824,0.06430868167202572,0.7666431367397308,4635984.0,200.698696896,0.9536187648773193,0.11520973592996597,30,0.0001,29
1765917904.2653959,0.06645230439442658,0.7833483070135117,4790352.0,206.642110883,0.8788524866104126,0.1091194674372673,31,0.0001,30
1765917911.318392,0.06859592711682744,0.7705012857913971,4956096.0,213.695112138,0.9307811260223389,0.09721069037914276,32,0.0001,31
1765917917.0257862,0.0707395498392283,0.7851999998092651,5107640.0,219.402500841,0.8656823635101318,0.100307896733284,33,0.0001,32
1765917923.4747066,0.07288317256162916,0.7827213555574417,5265237.0,225.851397411,0.8730580806732178,0.09184933453798294,34,0.0001,33
1765917929.6681793,0.07502679528403002,0.7849286645650864,5419378.0,232.04491625,0.8615480661392212,0.08402680605649948,35,0.0001,34
1765917935.4256022,0.07717041800643087,0.7800268530845642,5576075.0,237.802326043,0.874208927154541,0.07613042742013931,36,0.0001,35
1765917940.624391,0.07931404072883172,0.7852577716112137,5720029.0,243.001119083,0.8698374032974243,0.09114350378513336,37,0.0001,36
1765917947.6892776,0.08145766345123258,0.7808509767055511,5884915.0,250.06598468,0.88591068983078,0.08408766239881516,38,0.0001,37
1765917953.9602678,0.08360128617363344,0.7800227999687195,6032758.0,256.336977779,0.8805217146873474,0.07169974595308304,39,0.0001,38
1765917960.0032341,0.0857449088960343,0.7794471234083176,6187550.0,262.379937896,0.8868180513381958,0.06451443582773209,40,0.0001,39
1765917967.6005917,0.08788853161843516,0.7748109549283981,6355408.0,269.977309857,0.8975003361701965,0.06739844381809235,41,0.0001,40
