train/num_tokens,train/learning_rate,_step,_runtime,train/loss,train/mean_token_accuracy,_timestamp,train/epoch,train/global_step,train/grad_norm
136605.0,0.001,0,41.043035873,1.670913815498352,0.6688115298748016,1765916575.624444,0.0021436227224008574,1,0.7278884649276733
292128.0,0.001,1,74.79233936,1.396968960762024,0.6848540902137756,1765916609.3739989,0.004287245444801715,2,0.6790788173675537
444535.0,0.001,2,103.322823497,1.994274616241455,0.6222237646579742,1765916637.9044812,0.006430868167202572,3,4.590945720672607
592263.0,0.001,3,129.633510938,1.3619372844696045,0.6837371289730072,1765916664.2151482,0.00857449088960343,4,2.533057451248169
737019.0,0.001,4,156.36359669,1.0885396003723145,0.7348403036594391,1765916690.9452598,0.010718113612004287,5,0.9882438778877258
896813.0,0.001,5,186.748051673,1.0350452661514282,0.7542401254177094,1765916721.3296685,0.012861736334405145,6,1.5135639905929565
1062679.0,0.001,6,221.083078412,1.0197603702545166,0.7594383656978607,1765916755.6647327,0.015005359056806002,7,0.7623720765113831
1212566.0,0.001,7,251.190520722,0.912773609161377,0.7766355574131012,1765916785.7722116,0.01714898177920686,8,0.6961907148361206
1373797.0,0.001,8,287.893863929,1.0191771984100342,0.7406511604785919,1765916822.4755275,0.01929260450160772,9,1.9420232772827148
1516877.0,0.001,9,319.944527808,0.8971518874168396,0.7801614999771118,1765916854.5261986,0.021436227224008574,10,1.9763824939727783
1663977.0,0.001,10,348.908198258,0.9707337617874146,0.7650912702083588,1765916883.4898424,0.023579849946409433,11,0.6590559482574463
1815907.0,0.001,11,377.655650788,0.8599488139152527,0.7847060859203339,1765916912.2373254,0.02572347266881029,12,0.30971983075141907
1971911.0,0.001,12,411.540467039,0.861177384853363,0.7829203307628632,1765916946.1221745,0.027867095391211148,13,0.5010002255439758
2135596.0,0.001,13,444.331776299,0.8831827044487,0.7797905504703522,1765916978.9134433,0.030010718113612004,14,0.7681763768196106
2285621.0,0.001,14,473.974622759,0.8210946321487427,0.7913184762001038,1765917008.5562952,0.03215434083601286,15,0.3855843245983124
2441090.0,0.001,15,505.427168756,0.8160785436630249,0.7898684740066528,1765917040.0088186,0.03429796355841372,16,0.8169405460357666
