train/mean_token_accuracy,_runtime,train/num_tokens,train/epoch,train/global_step,train/learning_rate,_step,_timestamp,train/loss,train/grad_norm,eval/accuracy
0.6562617868185043,9.528104383,136605.0,0.0021436227224008574,1.0,0.001,0,1765916141.139443,1.6945645809173584,0.13155703246593475,
0.6705071777105331,16.317440793,292128.0,0.004287245444801715,2.0,0.001,1,1765916147.9290748,1.4955220222473145,0.20853984355926514,
0.7023215591907501,22.426243469,444535.0,0.006430868167202572,3.0,0.001,2,1765916154.037932,1.3250656127929688,0.16131220757961273,
0.7283127903938293,28.694599291,592263.0,0.00857449088960343,4.0,0.001,3,1765916160.3062975,1.1701229810714722,0.09471847862005234,
0.750178873538971,34.545898343,737019.0,0.010718113612004287,5.0,0.001,4,1765916166.1576204,1.0189454555511475,0.21569587290287018,
0.7687273621559143,41.111449238,896813.0,0.012861736334405145,6.0,0.001,5,1765916172.723169,0.9698655605316162,0.0691545158624649,
0.7604985982179642,49.130675027,1062679.0,0.015005359056806002,7.0,0.001,6,1765916180.7423844,0.9892542362213135,0.06039407104253769,
0.7705204039812088,55.701221823,1212566.0,0.01714898177920686,8.0,0.001,7,1765916187.3129287,0.9279783964157104,0.05226898565888405,
0.7792832404375076,63.628619284,1373797.0,0.01929260450160772,9.0,0.001,8,1765916195.240331,0.8870591521263123,0.030078964307904243,
0.7808779180049896,70.057161688,1516877.0,0.021436227224008574,10.0,0.001,9,1765916201.6688826,0.8885204792022705,0.13584600389003754,
0.7777613550424576,76.474199291,1663977.0,0.023579849946409433,11.0,0.001,10,1765916208.0858963,0.8952460289001465,0.0327611044049263,
0.7889895886182785,82.470664821,1815907.0,0.02572347266881029,12.0,0.001,11,1765916214.0824003,0.8480839133262634,0.02732682414352894,
0.7864237576723099,89.456385173,1971911.0,0.027867095391211148,13.0,0.001,12,1765916221.0680704,0.8583731651306152,0.036588530987501144,
0.7763021290302277,96.506505609,2135596.0,0.030010718113612004,14.0,0.001,13,1765916228.1182036,0.8982677459716797,0.029991086572408676,
0.7842154055833817,103.401257716,2285621.0,0.03215434083601286,15.0,0.001,14,1765916235.0129673,0.8557971715927124,0.024604536592960358,
0.7815503180027008,110.840781015,2441090.0,0.03429796355841372,16.0,0.001,15,1765916242.4525032,0.8718667030334473,0.022426387295126915,
0.7916096597909927,117.40735962,2591858.0,0.03644158628081458,17.0,0.001,16,1765916249.019061,0.8345874547958374,0.020660817623138428,
0.7801554948091507,125.051738399,2754012.0,0.03858520900321544,18.0,0.001,17,1765916256.6634188,0.867390513420105,0.03220733627676964,
0.7819277197122574,132.191717161,2916829.0,0.04072883172561629,19.0,0.001,18,1765916263.8033316,0.8688362836837769,0.04475098103284836,
0.7776840478181839,138.439188547,3061305.0,0.04287245444801715,20.0,0.001,19,1765916270.0507746,0.8868824243545532,0.031063415110111237,
0.7843829542398453,144.811997142,3219127.0,0.04501607717041801,21.0,0.001,20,1765916276.4236755,0.8568976521492004,0.019892001524567604,
0.7823639810085297,151.854074297,3380158.0,0.04715969989281887,22.0,0.001,21,1765916283.4657633,0.8598314523696899,0.022603768855333328,
0.7849851995706558,158.247378233,3539898.0,0.04930332261521972,23.0,0.001,22,1765916289.858954,0.8604795932769775,0.039449069648981094,
0.7865305840969086,163.199333907,3689574.0,0.05144694533762058,24.0,0.001,23,1765916294.8109646,0.8423745632171631,0.032308660447597504,
0.7763718366622925,170.990850506,3855970.0,0.05359056806002144,25.0,0.001,24,1765916302.602503,0.8893725872039795,0.018388912081718445,
0.7886810600757599,177.647065087,4018658.0,0.055734190782422297,26.0,0.001,25,1765916309.2586386,0.8370764851570129,0.04668508470058441,
0.7703171521425247,184.416455916,4171160.0,0.05787781350482315,27.0,0.001,26,1765916316.02809,0.914116621017456,0.04438722878694534,
0.7945261895656586,189.722416003,4314298.0,0.06002143622722401,28.0,0.001,27,1765916321.3341002,0.8096400499343872,0.017090898007154465,
0.78745037317276,196.036248615,4468546.0,0.06216505894962487,29.0,0.001,28,1765916327.647874,0.8377766609191895,0.02596215158700943,
0.7754792422056198,203.282670594,4635984.0,0.06430868167202572,30.0,0.001,29,1765916334.8943434,0.8988549709320068,0.05585808679461479,
0.792670875787735,209.238715993,4790352.0,0.06645230439442658,31.0,0.001,30,1765916340.8503842,0.8235984444618225,0.05600960552692413,
0.7793692946434021,216.417883525,4956096.0,0.06859592711682744,32.0,0.001,31,1765916348.0295424,0.878953754901886,0.01824134960770607,
0.7942451983690262,222.239127293,5107640.0,0.0707395498392283,33.0,0.001,32,1765916353.8508408,0.8147275447845459,0.04395722225308418,
0.7911229729652405,228.821638988,5265237.0,0.07288317256162916,34.0,0.001,33,1765916360.4333367,0.8252387046813965,0.07450798898935318,
0.7943557053804398,235.176073357,5419378.0,0.07502679528403002,35.0,0.001,34,1765916366.7877703,0.8108251094818115,0.03681865334510803,
0.788672536611557,241.026056363,5576075.0,0.07717041800643087,36.0,0.001,35,1765916372.637772,0.8273855447769165,0.05354342237114906,
0.7927039116621017,246.340982365,5720029.0,0.07931404072883172,37.0,0.001,36,1765916377.9526963,0.8216565847396851,0.08855322748422623,
0.7877141386270523,253.464633244,5884915.0,0.08145766345123258,38.0,0.001,37,1765916385.076349,0.842780351638794,0.030350973829627037,
0.7878720313310623,259.932274483,6032758.0,0.08360128617363344,39.0,0.001,38,1765916391.5439858,0.8372143507003784,0.08127200603485107,
0.7870428413152695,266.146921092,6187550.0,0.0857449088960343,40.0,0.001,39,1765916397.758645,0.8441042304039001,0.05348657816648483,
0.7815374135971069,273.825106607,6355408.0,0.08788853161843516,41.0,0.001,40,1765916405.4368095,0.8605931997299194,0.07033690065145493,
0.7836481332778931,280.88139049,6519771.0,0.09003215434083602,42.0,0.001,41,1765916412.493108,0.8560904264450073,0.061030302196741104,
0.7915949821472168,287.042598328,6672296.0,0.09217577706323687,43.0,0.001,42,1765916418.6542969,0.8161355257034302,0.014680763706564903,
0.7765120416879654,295.815359525,6843136.0,0.09431939978563773,44.0,0.001,43,1765916427.4270775,0.8790665864944458,0.036462847143411636,
0.7791604995727539,303.036710855,6993296.0,0.09646302250803858,45.0,0.001,44,1765916434.6484454,0.8563406467437744,0.030306123197078705,
0.7939307242631912,309.697381415,7142356.0,0.09860664523043944,46.0,0.001,45,1765916441.3091033,0.8123142719268799,0.020468849688768387,
0.7955725342035294,315.452322915,7294167.0,0.1007502679528403,47.0,0.001,46,1765916447.0640218,0.8100651502609253,0.030753852799534798,
0.7706723660230637,323.724161136,7470762.0,0.10289389067524116,48.0,0.001,47,1765916455.3358526,0.9109913110733032,0.02181912027299404,
0.7914538979530334,331.62795223,7629052.0,0.10503751339764202,49.0,0.001,48,1765916463.2396293,0.8222766518592834,0.0148226423189044,
0.7948285192251205,337.043099494,7779609.0,0.10718113612004287,50.0,0.001,49,1765916468.6547976,0.8034387826919556,0.02986535057425499,
0.7894307225942612,343.662220514,7927458.0,0.10932475884244373,51.0,0.001,50,1765916475.2739077,0.8304222822189331,0.02527974359691143,
0.7934332638978958,349.325349753,8078023.0,0.11146838156484459,52.0,0.001,51,1765916480.937072,0.8125658631324768,0.014397989958524704,
0.7914810180664062,355.353770632,8230483.0,0.11361200428724544,53.0,0.001,52,1765916486.9654832,0.8257565498352051,0.021628685295581818,
0.7985678613185883,361.775067595,8375984.0,0.1157556270096463,54.0,0.001,53,1765916493.3867974,0.7936802506446838,0.018095823004841805,
0.7754401713609695,368.912143936,8547262.0,0.11789924973204716,55.0,0.001,54,1765916500.523835,0.887390673160553,0.017865346744656563,
0.7822644263505936,375.873739255,8704936.0,0.12004287245444802,56.0,0.001,55,1765916507.485448,0.8614621162414551,0.024592522531747818,
0.7903511822223663,382.917891877,8867795.0,0.12218649517684887,57.0,0.001,56,1765916514.5296082,0.8246464729309082,0.013456741347908974,
0.7890157848596573,388.933416764,9019339.0,0.12433011789924973,58.0,0.001,57,1765916520.5451348,0.832642138004303,0.02425716072320938,
0.7880206406116486,395.423851635,9189045.0,0.1264737406216506,59.0,0.001,58,1765916527.0355535,0.8381597995758057,0.021362746134400368,
0.7886363714933395,401.640901905,9353955.0,0.12861736334405144,60.0,0.001,59,1765916533.2526443,0.8251632452011108,0.01847923919558525,
0.8035437911748886,408.732093693,9504744.0,0.1307609860664523,61.0,0.001,60,1765916540.3438141,0.7805603742599487,0.017909925431013107,
0.7785196900367737,415.844768068,9662901.0,0.13290460878885316,62.0,0.001,61,1765916547.4564812,0.8727545142173767,0.015554039739072323,
0.8053873628377914,421.567804299,9809122.0,0.13504823151125403,63.0,0.001,62,1765916553.1795337,0.7621772289276123,0.025754624977707863,
0.794569343328476,428.600263448,9968473.0,0.13719185423365488,64.0,0.001,63,1765916560.211981,0.8143011331558228,0.029650351032614708,
0.7864335179328918,435.849428751,10119334.0,0.13933547695605572,65.0,0.001,64,1765916567.46111,0.8431454300880432,0.01626170612871647,
0.7975198328495026,441.063243531,10259437.0,0.1414790996784566,66.0,0.001,65,1765916572.674934,0.7953729629516602,0.04193748161196709,
0.7863085120916367,448.824636967,10416011.0,0.14362272240085744,67.0,0.001,66,1765916580.436338,0.8473051190376282,0.028052009642124176,
0.7881678640842438,454.213053614,10566185.0,0.1457663451232583,68.0,0.001,67,1765916585.8247416,0.8382011651992798,0.02816895768046379,
0.794929251074791,459.774590034,10715715.0,0.14790996784565916,69.0,0.001,68,1765916591.386284,0.8105846643447876,0.03321826457977295,
0.788932591676712,467.91274817,10880059.0,0.15005359056806003,70.0,0.001,69,1765916599.52444,0.8272702097892761,0.020610429346561432,
0.7926407903432846,473.224686961,11036249.0,0.15219721329046088,71.0,0.001,70,1765916604.8364007,0.8079111576080322,0.045311231166124344,
0.7893114537000656,479.497162914,11186751.0,0.15434083601286175,72.0,0.001,71,1765916611.108869,0.8232519626617432,0.014567380771040916,
0.7826139032840729,486.354621111,11356082.0,0.1564844587352626,73.0,0.001,72,1765916617.966335,0.8559468984603882,0.051376212388277054,
0.7870903462171555,493.269664537,11514483.0,0.15862808145766344,74.0,0.001,73,1765916624.8813944,0.8340421319007874,0.02454674057662487,
0.7896704524755478,499.302585547,11663606.0,0.1607717041800643,75.0,0.001,74,1765916630.9142923,0.8195377588272095,0.04240942746400833,
0.7910168468952179,505.360566321,11816781.0,0.16291532690246516,76.0,0.001,75,1765916636.972267,0.8214378356933594,0.04207338020205498,
0.7883315086364746,511.450451548,11978438.0,0.16505894962486603,77.0,0.001,76,1765916643.0621946,0.8320683240890503,0.02660631760954857,
0.794844925403595,517.953072368,12137976.0,0.16720257234726688,78.0,0.001,77,1765916649.5647688,0.8046523332595825,0.03599989786744118,
0.7909539639949799,524.586079407,12295505.0,0.16934619506966775,79.0,0.001,78,1765916656.1977816,0.835246205329895,0.02430545911192894,
0.7853753417730331,531.255715272,12452019.0,0.1714898177920686,80.0,0.001,79,1765916662.8674507,0.8412188291549683,0.03974265605211258,
0.7815751284360886,538.918066837,12611435.0,0.17363344051446947,81.0,0.001,80,1765916670.5297499,0.85602205991745,0.02476198785007,
0.8000143766403198,546.157195449,12770621.0,0.1757770632368703,82.0,0.001,81,1765916677.7689211,0.7825616002082825,0.034655869007110596,
0.7932728826999664,551.885968688,12917873.0,0.17792068595927116,83.0,0.001,82,1765916683.4976668,0.8112484812736511,0.029285941272974014,
0.7957074046134949,557.128492793,13056173.0,0.18006430868167203,84.0,0.001,83,1765916688.740188,0.8035775423049927,0.03582572937011719,
0.7811305075883865,563.323914154,13211326.0,0.18220793140407288,85.0,0.001,84,1765916694.9356306,0.8536214232444763,0.028404192999005318,
0.7857530117034912,569.442569106,13369675.0,0.18435155412647375,86.0,0.001,85,1765916701.054242,0.8447294235229492,0.026074150577187538,
0.794708862900734,575.212604223,13509971.0,0.1864951768488746,87.0,0.001,86,1765916706.8242836,0.7984460592269897,0.032109253108501434,
0.7892033606767654,582.78752524,13673080.0,0.18863879957127547,88.0,0.001,87,1765916714.399225,0.8307399153709412,0.018355069682002068,
