train/epoch,train/grad_norm,train/mean_token_accuracy,_timestamp,train/num_tokens,train/global_step,train/learning_rate,_runtime,train/loss,_step,eval/accuracy
0.0021436227224008574,136.35447692871094,0.6566445082426071,1765929559.028703,136605.0,1.0,1e-05,15.684342114,1.694303274154663,0,
0.004287245444801715,48.23240280151367,0.6493389755487442,1765929571.936604,292128.0,2.0,1e-05,28.592085542,1.6486647129058838,1,
0.006430868167202572,49.32901382446289,0.6728025674819946,1765929583.3860643,444535.0,3.0,1e-05,40.041503166,1.502313494682312,2,
0.00857449088960343,30.101543426513672,0.6605976969003677,1765929595.1619864,592263.0,4.0,1e-05,51.817411424,1.5161149501800537,3,
0.010718113612004287,20.335567474365234,0.6951436400413513,1765929606.9204414,737019.0,5.0,1e-05,63.575879489,1.338916540145874,4,
0.012861736334405145,20.151960372924805,0.7110937535762787,1765929619.3810143,896813.0,6.0,1e-05,76.036447485,1.2754125595092773,5,
0.015005359056806002,17.26309585571289,0.7049329280853271,1765929634.8043947,1062679.0,7.0,1e-05,91.459850367,1.280541181564331,6,
0.01714898177920686,23.07093048095703,0.7351152449846268,1765929646.8721838,1212566.0,8.0,1e-05,103.527619761,1.1171289682388306,7,
0.01929260450160772,12.873801231384277,0.7546608150005341,1765929661.6293886,1373797.0,9.0,1e-05,118.284836475,1.0225441455841064,8,
0.021436227224008574,4.7852864265441895,0.7617964297533035,1765929673.6551445,1516877.0,10.0,1e-05,130.310562118,1.005307912826538,9,
0.023579849946409433,10.554265975952148,0.7664910703897476,1765929685.665,1663977.0,11.0,1e-05,142.32043126,0.9690639972686768,10,
0.02572347266881029,5.0090484619140625,0.7827259749174118,1765929697.1783946,1815907.0,12.0,1e-05,153.833839567,0.9014171957969666,11,
0.027867095391211148,4.3619160652160645,0.7816967070102692,1765929710.7351835,1971911.0,13.0,1e-05,167.390618349,0.898379921913147,12,
0.030010718113612004,4.635108470916748,0.7723138481378555,1765929724.156911,2135596.0,14.0,1e-05,180.812330946,0.9314275979995728,13,
0.03215434083601286,2.6050751209259033,0.7801080197095871,1765929736.6364768,2285621.0,15.0,1e-05,193.291923936,0.8822331428527832,14,
0.03429796355841372,1.2373299598693848,0.7794337272644043,1765929750.5092483,2441090.0,16.0,1e-05,207.164713083,0.8929798603057861,15,
0.03644158628081458,0.9700666069984436,0.7890498787164688,1765929762.9420283,2591858.0,17.0,1e-05,219.597461155,0.852331280708313,16,
0.03858520900321544,0.7356265783309937,0.7790470570325851,1765929777.792638,2754012.0,18.0,1e-05,234.448081928,0.8793271780014038,17,
0.04072883172561629,0.69361811876297,0.7812442779541016,1765929791.3678555,2916829.0,19.0,1e-05,248.023287116,0.878229022026062,18,
0.04287245444801715,0.805059552192688,0.7776414453983307,1765929803.4977968,3061305.0,20.0,1e-05,260.15322653,0.8952608108520508,19,
0.04501607717041801,0.8120903372764587,0.7835082560777664,1765929815.3561475,3219127.0,21.0,1e-05,272.011587755,0.8642725944519043,20,
0.04715969989281887,0.5366758108139038,0.7815784215927124,1765929829.7603498,3380158.0,22.0,1e-05,286.415786008,0.8643401861190796,21,
0.04930332261521972,0.7630634903907776,0.7845708280801773,1765929841.8722546,3539898.0,23.0,1e-05,298.527697412,0.8632508516311646,22,
0.05144694533762058,0.6842401027679443,0.7859192043542862,1765929851.240042,3689574.0,24.0,1e-05,307.895491781,0.8436303734779358,23,
0.05359056806002144,0.7180541753768921,0.7758406400680542,1765929865.263965,3855970.0,25.0,1e-05,321.919422065,0.8892868161201477,24,
0.055734190782422297,0.5987371206283569,0.7879058718681335,1765929878.0401664,4018658.0,26.0,1e-05,334.695634992,0.8363951444625854,25,
0.05787781350482315,0.6920226216316223,0.7703117579221725,1765929891.5895424,4171160.0,27.0,1e-05,348.24498525,0.9122114181518555,26,
0.06002143622722401,0.6530308723449707,0.7945094704627991,1765929901.9673479,4314298.0,28.0,1e-05,358.622815877,0.8071155548095703,27,
0.06216505894962487,0.8488126397132874,0.7881423234939575,1765929913.5038142,4468546.0,29.0,1e-05,370.159252193,0.8333191275596619,28,
0.06430868167202572,0.7985432147979736,0.775742307305336,1765929927.4695399,4635984.0,30.0,1e-05,384.124989796,0.8916553258895874,29,
0.06645230439442658,0.6778782606124878,0.7925117164850235,1765929938.5999966,4790352.0,31.0,1e-05,395.255439663,0.8175158500671387,30,
0.06859592711682744,0.8505017161369324,0.7796083837747574,1765929952.4952636,4956096.0,32.0,1e-05,409.15070519,0.8711090683937073,31,
0.0707395498392283,0.6834093332290649,0.7937570959329605,1765929963.2570891,5107640.0,33.0,1e-05,419.912545308,0.8057620525360107,32,
0.07288317256162916,0.859157383441925,0.7911890298128128,1765929976.0089846,5265237.0,34.0,1e-05,432.66442061,0.8130600452423096,33,
0.07502679528403002,0.6567103266716003,0.7942689955234528,1765929987.5537543,5419378.0,35.0,1e-05,444.209176709,0.7986525297164917,34,
0.07717041800643087,0.9302698969841003,0.7889823466539383,1765929999.0296395,5576075.0,36.0,1e-05,455.685104955,0.8141294717788696,35,
0.07931404072883172,0.7935429811477661,0.7931364923715591,1765930009.3651426,5720029.0,37.0,1e-05,466.020559204,0.8055006265640259,36,
0.08145766345123258,0.8180879950523376,0.7879189401865005,1765930023.122374,5884915.0,38.0,1e-05,479.777816149,0.8276488780975342,37,
0.08360128617363344,0.7391936182975769,0.7891516983509064,1765930036.1882596,6032758.0,39.0,1e-05,492.84369227,0.817489743232727,38,
0.0857449088960343,0.7607381343841553,0.7879173755645752,1765930047.517177,6187550.0,40.0,1e-05,504.172606364,0.825446367263794,39,
