_runtime,train/global_step,train/learning_rate,train/mean_token_accuracy,_timestamp,train/grad_norm,train/num_tokens,_step,train/loss,train/epoch
9.729232633,1,0.0001,0.6562617868185043,1765916128.5504868,1.0722298622131348,136605.0,0,1.6945645809173584,0.0021436227224008574
16.623552567,2,0.0001,0.6480495184659958,1765916135.44504,1.1075975894927979,292128.0,1,1.6877771615982056,0.004287245444801715
22.81923889,3,0.0001,0.6646320521831512,1765916141.640743,1.3841075897216797,444535.0,2,1.6081953048706055,0.006430868167202572
29.1403909,4,0.0001,0.6532905697822571,1765916147.961882,1.5277655124664307,592263.0,3,1.622367262840271,0.00857449088960343
35.043590138,5,0.0001,0.6634801626205444,1765916153.8650768,1.495190978050232,737019.0,4,1.5477312803268433,0.010718113612004287
41.652895583,6,0.0001,0.6787213832139969,1765916160.4743812,1.2620207071304321,896813.0,5,1.4542236328125,0.012861736334405145
49.770725358,7,0.0001,0.6760924011468887,1765916168.5922487,1.2214940786361694,1062679.0,6,1.443096399307251,0.015005359056806002
56.376096363,8,0.0001,0.6790349781513214,1765916175.1975894,1.3900525569915771,1212566.0,7,1.4176909923553467,0.01714898177920686
64.337226513,9,0.0001,0.6947861164808273,1765916183.1587195,0.734788179397583,1373797.0,8,1.3226337432861328,0.01929260450160772
70.789410301,10,0.0001,0.6942028403282166,1765916189.6109133,1.238342523574829,1516877.0,9,1.3416576385498047,0.021436227224008574
77.286304045,11,0.0001,0.7011725604534149,1765916196.107798,1.0298161506652832,1663977.0,10,1.2977533340454102,0.023579849946409433
83.282389444,12,0.0001,0.7228457629680634,1765916202.1038895,0.9016599655151367,1815907.0,11,1.2043678760528564,0.02572347266881029
90.307770852,13,0.0001,0.7309346944093704,1765916209.1293151,1.1343885660171509,1971911.0,12,1.164573073387146,0.027867095391211148
97.429246954,14,0.0001,0.7309219688177109,1765916216.250748,0.9600930213928223,2135596.0,13,1.1565518379211426,0.030010718113612004
104.370659701,15,0.0001,0.7412689924240112,1765916223.1921713,1.0437963008880615,2285621.0,14,1.093316912651062,0.03215434083601286
111.848751608,16,0.0001,0.7485399842262268,1765916230.67025,1.0493968725204468,2441090.0,15,1.067535400390625,0.03429796355841372
118.441656441,17,0.0001,0.7640569508075714,1765916237.2631662,0.9799991250038147,2591858.0,16,1.007280707359314,0.03644158628081458
126.135904671,18,0.0001,0.7597689628601074,1765916244.9573982,0.8768454790115356,2754012.0,17,1.0037612915039062,0.03858520900321544
133.309291228,19,0.0001,0.7637448608875275,1765916252.1307979,0.8391782641410828,2916829.0,18,0.9855736494064331,0.04072883172561629
139.589064485,20,0.0001,0.7597682476043701,1765916258.4105797,0.7621341347694397,3061305.0,19,1.0033764839172363,0.04287245444801715
145.975188172,21,0.0001,0.7694069892168045,1765916264.7967043,0.6121609807014465,3219127.0,20,0.9538848400115967,0.04501607717041801
153.026942956,22,0.0001,0.7701787948608398,1765916271.848458,0.6058728098869324,3380158.0,21,0.9460429549217224,0.04715969989281887
159.470949198,23,0.0001,0.7734181880950928,1765916278.292455,0.46269866824150085,3539898.0,22,0.9384024143218994,0.04930332261521972
164.458594101,24,0.0001,0.7743995934724808,1765916283.2800949,0.4723205864429474,3689574.0,23,0.9202095866203308,0.05144694533762058
172.309933411,25,0.0001,0.765858992934227,1765916291.1314223,0.4272788465023041,3855970.0,24,0.9579770565032959,0.05359056806002144
179.015936972,26,0.0001,0.7776439487934113,1765916297.8374348,0.41079962253570557,4018658.0,25,0.9025585651397705,0.055734190782422297
185.792147453,27,0.0001,0.7609039694070816,1765916304.6136365,0.4089958369731903,4171160.0,26,0.9772433042526245,0.05787781350482315
191.118285119,28,0.0001,0.7843213826417923,1765916309.9397829,0.3966406285762787,4314298.0,27,0.8724910616874695,0.06002143622722401
197.4744984,29,0.0001,0.7787459343671799,1765916316.2960055,0.336433082818985,4468546.0,28,0.8949307203292847,0.06216505894962487
204.763390149,30,0.0001,0.7674507051706314,1765916323.5848835,0.2588939666748047,4635984.0,29,0.9483745098114014,0.06430868167202572
210.737811338,31,0.0001,0.7839638292789459,1765916329.5593467,0.2674693167209625,4790352.0,30,0.8736789226531982,0.06645230439442658
217.926239063,32,0.0001,0.7713234424591064,1765916336.7477405,0.23707632720470428,4956096.0,31,0.9261876344680786,0.06859592711682744
223.762423264,33,0.0001,0.7859665602445602,1765916342.583947,0.22821611166000366,5107640.0,32,0.8608007431030273,0.0707395498392283
230.342029991,34,0.0001,0.7839313745498657,1765916349.163575,0.2322658896446228,5265237.0,33,0.8690080046653748,0.07288317256162916
236.75488064,35,0.0001,0.7859757393598557,1765916355.5763779,0.21585743129253387,5419378.0,34,0.8573968410491943,0.07502679528403002
242.671416088,36,0.0001,0.7807801365852356,1765916361.4929276,0.1928553283214569,5576075.0,35,0.8706141114234924,0.07717041800643087
248.002943843,37,0.0001,0.7857928425073624,1765916366.8244529,0.19763290882110596,5720029.0,36,0.866096556186676,0.07931404072883172
255.179645513,38,0.0001,0.7810591906309128,1765916374.0011783,0.1860455721616745,5884915.0,37,0.8826014399528503,0.08145766345123258
261.706267911,39,0.0001,0.7803523242473602,1765916380.527764,0.18118952214717865,6032758.0,38,0.8764858245849609,0.08360128617363344
268.001497359,40,0.0001,0.7798901945352554,1765916386.823026,0.16614383459091187,6187550.0,39,0.8834350109100342,0.0857449088960343
275.737228634,41,0.0001,0.7749907225370407,1765916394.5587173,0.1580304354429245,6355408.0,40,0.8944872617721558,0.08788853161843516
282.793565468,42,0.0001,0.7761187553405762,1765916401.615075,0.15666893124580383,6519771.0,41,0.8919848203659058,0.09003215434083602
