train/loss,_step,train/global_step,train/learning_rate,train/mean_token_accuracy,train/epoch,train/grad_norm,_timestamp,train/num_tokens,_runtime,eval/accuracy
1.670913815498352,0,1.0,1e-05,0.6688115298748016,0.0021436227224008574,0.7159680724143982,1765916575.526563,136605.0,39.973852048,
1.6694254875183105,1,2.0,1e-05,0.6597208380699158,0.004287245444801715,0.7006455063819885,1765916609.0318518,292128.0,73.478848716,
1.6174678802490234,2,3.0,1e-05,0.6742372214794159,0.006430868167202572,0.7054845094680786,1765916637.4853523,444535.0,101.932314746,
1.674583911895752,3,4.0,1e-05,0.6611424088478088,0.00857449088960343,0.7800022959709167,1765916663.7407804,592263.0,128.187809499,
1.6606584787368774,4,5.0,1e-05,0.6663893461227417,0.010718113612004287,0.8006174564361572,1765916690.2771494,737019.0,154.724181703,
1.600916862487793,5,6.0,1e-05,0.6734833717346191,0.012861736334405145,0.8147782683372498,1765916720.4813533,896813.0,184.928350789,
1.6224892139434814,6,7.0,1e-05,0.6669855713844299,0.015005359056806002,0.8166140913963318,1765916754.5316043,1062679.0,218.978605903,
1.6607348918914795,7,8.0,1e-05,0.6593247652053833,0.01714898177920686,0.9021903276443481,1765916784.1138937,1212566.0,248.56089851,
1.563415288925171,8,9.0,1e-05,0.6759937703609467,0.01929260450160772,0.870039701461792,1765916820.5844483,1373797.0,285.0314184,
1.654401183128357,9,10.0,1e-05,0.6636013686656952,0.021436227224008574,0.9277017116546631,1765916852.1176596,1516877.0,316.564650508,
1.6315267086029053,10,11.0,1e-05,0.6643968224525452,0.023579849946409433,0.9561484456062317,1765916881.3636227,1663977.0,345.81060017,
1.5576668977737427,11,12.0,1e-05,0.6786438822746277,0.02572347266881029,0.9020788073539734,1765916910.1936526,1815907.0,374.640672875,
1.5295491218566895,12,13.0,1e-05,0.681129515171051,0.027867095391211148,0.873537540435791,1765916942.8893826,1971911.0,407.336362534,
1.5290541648864746,13,14.0,1e-05,0.676154762506485,0.030010718113612004,0.8216612935066223,1765916975.5483942,2135596.0,439.995388714,
1.5354063510894775,14,15.0,1e-05,0.6742258369922638,0.03215434083601286,0.8264854550361633,1765917005.3588057,2285621.0,469.8057802,
1.503542184829712,15,16.0,1e-05,0.679652750492096,0.03429796355841372,0.7806087732315063,1765917035.7433083,2441090.0,500.190313954,
1.4895105361938477,16,17.0,1e-05,0.6823269426822662,0.03644158628081458,0.7634449005126953,1765917065.2203794,2591858.0,529.667370432,
1.4536644220352173,17,18.0,1e-05,0.6848019361495972,0.03858520900321544,0.6775379180908203,1765917097.5728784,2754012.0,562.019860645,
1.4406434297561646,18,19.0,1e-05,0.6857932806015015,0.04072883172561629,0.6508802175521851,1765917129.4548798,2916829.0,593.901867566,
1.516601800918579,19,20.0,1e-05,0.670989602804184,0.04287245444801715,0.6752308011054993,1765917159.2935355,3061305.0,623.740526227,
1.4273701906204224,20,21.0,1e-05,0.6869946718215942,0.04501607717041801,0.6190294027328491,1765917187.8330271,3219127.0,652.279996968,
1.4028905630111694,21,22.0,1e-05,0.6878534555435181,0.04715969989281887,0.5808525681495667,1765917221.8805823,3380158.0,686.32758809,
1.3927698135375977,22,23.0,1e-05,0.6907131671905518,0.04930332261521972,0.5579590797424316,1765917250.3389297,3539898.0,714.78591962,
1.4029757976531982,23,24.0,1e-05,0.6881775557994843,0.05144694533762058,0.5713903903961182,1765917271.8115318,3689574.0,736.258541411,
1.3742955923080444,24,25.0,1e-05,0.6900568306446075,0.05359056806002144,0.49545368552207947,1765917308.5293162,3855970.0,772.976283984,
1.3288321495056152,25,26.0,1e-05,0.7026488780975342,0.055734190782422297,0.48081570863723755,1765917337.9569974,4018658.0,802.403978799,
1.417873501777649,26,27.0,1e-05,0.6814238727092743,0.05787781350482315,0.4948257505893707,1765917371.0030313,4171160.0,835.450030087,
1.347999930381775,27,28.0,1e-05,0.6974608302116394,0.06002143622722401,0.5132809281349182,1765917393.7804775,4314298.0,858.227496406,
1.3243656158447266,28,29.0,1e-05,0.6999878585338593,0.06216505894962487,0.4725930094718933,1765917420.43735,4468546.0,884.884355942,
1.3216532468795776,29,30.0,1e-05,0.6984326839447021,0.06430868167202572,0.4325428605079651,1765917455.0816448,4635984.0,919.528641883,
1.2868201732635498,30,31.0,1e-05,0.7091945707798004,0.06645230439442658,0.4571530520915985,1765917479.7750075,4790352.0,944.22200983,
1.2911217212677002,31,32.0,1e-05,0.7036730051040649,0.06859592711682744,0.4268049895763397,1765917510.5790408,4956096.0,975.026004103,
1.2685298919677734,32,33.0,1e-05,0.708469957113266,0.0707395498392283,0.4606046974658966,1765917534.7914455,5107640.0,999.238444207,
1.2439206838607788,33,34.0,1e-05,0.7116529941558838,0.07288317256162916,0.4310406744480133,1765917565.352419,5265237.0,1029.799421339,
