_step,_runtime,train/epoch,_timestamp,train/global_step,train/loss,train/grad_norm,train/num_tokens,train/mean_token_accuracy,train/learning_rate
0,9.744105216,0.0021436227224008574,1765916127.3151672,1,1.6945645809173584,0.09315583854913712,136605.0,0.6562617868185043,1e-05
1,16.891919928,0.004287245444801715,1765916134.4632874,2,1.7007250785827637,0.08548933267593384,292128.0,0.6461580097675323,1e-05
2,23.337802968,0.006430868167202572,1765916140.9091973,3,1.650573968887329,0.08695454895496368,444535.0,0.6622037440538406,1e-05
3,29.757353886,0.00857449088960343,1765916147.3287477,4,1.715660810470581,0.09118076413869858,592263.0,0.6471972167491913,1e-05
4,35.704612766,0.010718113612004287,1765916153.2760005,5,1.6963369846343994,0.09221372753381729,737019.0,0.6536887288093567,1e-05
5,42.41231428,0.012861736334405145,1765916159.9837213,6,1.6464803218841553,0.08864989131689072,896813.0,0.66047203540802,1e-05
6,50.756319626,0.015005359056806002,1765916168.327745,7,1.6722412109375,0.08772466331720352,1062679.0,0.6527893990278244,1e-05
7,57.521734551,0.01714898177920686,1765916175.0931444,8,1.7124578952789307,0.0968221053481102,1212566.0,0.645621195435524,1e-05
8,65.670206289,0.01929260450160772,1765916183.2416117,9,1.6282262802124023,0.09203534573316574,1373797.0,0.6607928574085236,1e-05
9,72.274324032,0.021436227224008574,1765916189.8457417,10,1.723146915435791,0.10467954725027084,1516877.0,0.6477775871753693,1e-05
10,78.881465222,0.023579849946409433,1765916196.452881,11,1.707605004310608,0.10452821105718613,1663977.0,0.6473582535982132,1e-05
11,85.103921329,0.02572347266881029,1765916202.6753361,12,1.6457679271697998,0.10499794036149979,1815907.0,0.662007138133049,1e-05
12,92.319850278,0.027867095391211148,1765916209.8912892,13,1.6307041645050049,0.10499297827482224,1971911.0,0.6626642346382141,1e-05
13,99.639538608,0.030010718113612004,1765916217.2109635,14,1.6407732963562012,0.10457508265972137,2135596.0,0.6579879373311996,1e-05
14,106.663127734,0.03215434083601286,1765916224.2345529,15,1.6592943668365479,0.1128818541765213,2285621.0,0.6544441282749176,1e-05
15,114.329191163,0.03429796355841372,1765916231.9006202,16,1.6445599794387817,0.11133696138858795,2441090.0,0.6575849503278732,1e-05
16,121.033140356,0.03644158628081458,1765916238.6045892,17,1.636258602142334,0.11743344366550446,2591858.0,0.6619604527950287,1e-05
17,128.850201963,0.03858520900321544,1765916246.4216266,18,1.6112432479858398,0.11402509361505508,2754012.0,0.6586926132440567,1e-05
18,136.18716851,0.04072883172561629,1765916253.758579,19,1.608165979385376,0.11499138921499252,2916829.0,0.6606147438287735,1e-05
19,142.604107435,0.04287245444801715,1765916260.1755269,20,1.714561939239502,0.1317390650510788,3061305.0,0.6426290571689606,1e-05
20,149.112962548,0.04501607717041801,1765916266.6843805,21,1.6189124584197998,0.1240077018737793,3219127.0,0.658789798617363,1e-05
21,156.283933609,0.04715969989281887,1765916273.8553495,22,1.6070244312286377,0.12375739216804504,3380158.0,0.6608429551124573,1e-05
22,162.860555506,0.04930332261521972,1765916280.4319854,23,1.605137825012207,0.12526530027389526,3539898.0,0.6611656695604324,1e-05
23,167.978547539,0.05144694533762058,1765916285.5499737,24,1.6345510482788086,0.13464736938476562,3689574.0,0.6559080183506012,1e-05
24,175.943749725,0.05359056806002144,1765916293.5151942,25,1.6025011539459229,0.12338921427726746,3855970.0,0.6582721918821335,1e-05
25,182.847623347,0.055734190782422297,1765916300.4190688,26,1.5594003200531006,0.12265048921108246,4018658.0,0.667511597275734,1e-05
26,189.765903727,0.05787781350482315,1765916307.3373082,27,1.6742316484451294,0.13265985250473022,4171160.0,0.643838956952095,1e-05
27,195.190069793,0.06002143622722401,1765916312.7614963,28,1.6117134094238281,0.1375521868467331,4314298.0,0.6599586755037308,1e-05
28,201.590073382,0.06216505894962487,1765916319.1614966,29,1.5832490921020508,0.13162007927894592,4468546.0,0.6597629487514496,1e-05
29,208.990811155,0.06430868167202572,1765916326.5622387,30,1.5748038291931152,0.12116388976573944,4635984.0,0.6597921848297119,1e-05
30,215.126428729,0.06645230439442658,1765916332.6978478,31,1.5516421794891357,0.1276399940252304,4790352.0,0.6676744967699051,1e-05
31,222.484878841,0.06859592711682744,1765916340.0563073,32,1.553086519241333,0.12082016468048096,4956096.0,0.6628590077161789,1e-05
32,228.454426115,0.0707395498392283,1765916346.02585,33,1.543810486793518,0.13122951984405518,5107640.0,0.6671496629714966,1e-05
33,235.145549569,0.07288317256162916,1765916352.7169788,34,1.5154762268066406,0.12398794293403625,5265237.0,0.6702843904495239,1e-05
34,241.679130514,0.07502679528403002,1765916359.250549,35,1.5150964260101318,0.1253821849822998,5419378.0,0.6706808358430862,1e-05
35,247.693605593,0.07717041800643087,1765916365.2650068,36,1.513695240020752,0.12425655871629715,5576075.0,0.6673602908849716,1e-05
36,253.117149145,0.07931404072883172,1765916370.6885598,37,1.5616294145584106,0.13207533955574036,5720029.0,0.6606008857488632,1e-05
37,260.475034253,0.08145766345123258,1765916378.0464647,38,1.4852774143218994,0.11746527999639511,5884915.0,0.6725190728902817,1e-05
38,267.020279198,0.08360128617363344,1765916384.5916862,39,1.5387496948242188,0.12951238453388214,6032758.0,0.6621651947498322,1e-05
39,273.410595285,0.0857449088960343,1765916390.9820054,40,1.5113213062286377,0.12237928807735443,6187550.0,0.6658458262681961,1e-05
40,281.266926319,0.08788853161843516,1765916398.8383594,41,1.4749678373336792,0.11354399472475052,6355408.0,0.6699611097574234,1e-05
41,288.48167404,0.09003215434083602,1765916406.0530725,42,1.4769816398620605,0.11466109752655029,6519771.0,0.6695850193500519,1e-05
42,294.754734245,0.09217577706323687,1765916412.3261528,43,1.4787122011184692,0.12139061838388443,6672296.0,0.6718218624591827,1e-05
43,303.744359203,0.09431939978563773,1765916421.3157868,44,1.4674062728881836,0.11043772846460342,6843136.0,0.6706389784812927,1e-05
44,311.182617462,0.09646302250803858,1765916428.754047,45,1.5150022506713867,0.12246890366077423,6993296.0,0.6608769744634628,1e-05
45,317.962884023,0.09860664523043944,1765916435.5343168,46,1.4650441408157349,0.12197690457105637,7142356.0,0.6747221797704697,1e-05
46,323.899571086,0.1007502679528403,1765916441.4709775,47,1.446057915687561,0.12117359042167664,7294167.0,0.6765072643756866,1e-05
47,332.413622211,0.10289389067524116,1765916449.9850357,48,1.4520201683044434,0.10557083040475845,7470762.0,0.6705115884542465,1e-05
48,340.347379683,0.10503751339764202,1765916457.918822,49,1.4221572875976562,0.11799892783164978,7629052.0,0.681659385561943,1e-05
49,345.961836651,0.10718113612004287,1765916463.5332508,50,1.4205901622772217,0.12319003790616989,7779609.0,0.6806737184524536,1e-05
50,352.782123114,0.10932475884244373,1765916470.3535662,51,1.4509305953979492,0.12694336473941803,7927458.0,0.6738936454057693,1e-05
51,358.622404392,0.11146838156484459,1765916476.1938348,52,1.4176125526428223,0.12552623450756073,8078023.0,0.6824952214956284,1e-05
52,364.824999161,0.11361200428724544,1765916482.3964195,53,1.4142029285430908,0.1246870756149292,8230483.0,0.6823771744966507,1e-05
53,371.2835589,0.1157556270096463,1765916488.855018,54,1.4021238088607788,0.13260334730148315,8375984.0,0.6861121505498886,1e-05
54,378.496599983,0.11789924973204716,1765916496.0680468,55,1.4080443382263184,0.11462628841400146,8547262.0,0.6800080388784409,1e-05
55,385.672462923,0.12004287245444802,1765916503.2438896,56,1.4128118753433228,0.12400371581315994,8704936.0,0.6807666420936584,1e-05
56,392.861740866,0.12218649517684887,1765916510.4331613,57,1.353597640991211,0.1145733892917633,8867795.0,0.6945783495903015,1e-05
57,399.101173108,0.12433011789924973,1765916516.6725914,58,1.3850455284118652,0.08600097894668579,9019339.0,0.6876542121171951,1e-05
58,405.772254226,0.1264737406216506,1765916523.3436933,59,1.3368604183197021,0.07608189433813095,9189045.0,0.6949925422668457,1e-05
59,412.258579063,0.12861736334405144,1765916529.8299644,60,1.3285679817199707,0.07768985629081726,9353955.0,0.6955115348100662,1e-05
60,419.441365091,0.1307609860664523,1765916537.012778,61,1.3240303993225098,0.08365990966558456,9504744.0,0.7023326009511948,1e-05
61,426.754987015,0.13290460878885316,1765916544.3263984,62,1.3809583187103271,0.08119801431894302,9662901.0,0.6825226098299026,1e-05
62,432.55743732,0.13504823151125403,1765916550.128869,63,1.305741310119629,0.08849859237670898,9809122.0,0.7029661387205124,1e-05
63,439.768357761,0.13719185423365488,1765916557.3397837,64,1.3089280128479004,0.08078844845294952,9968473.0,0.7019321322441101,1e-05
64,447.228671174,0.13933547695605572,1765916564.8000886,65,1.353916049003601,0.0841611921787262,10119334.0,0.6916982382535934,1e-05
65,452.544583514,0.1414790996784566,1765916570.1160066,66,1.3392560482025146,0.0884983167052269,10259437.0,0.6956915259361267,1e-05
66,460.563618187,0.14362272240085744,1765916578.1350665,67,1.3305388689041138,0.0784858986735344,10416011.0,0.6957868188619614,1e-05
67,466.127094011,0.1457663451232583,1765916583.6985266,68,1.3286876678466797,0.0850183516740799,10566185.0,0.6978288739919662,1e-05
68,471.856921774,0.14790996784565916,1765916589.4283676,69,1.2955560684204102,0.08419438451528549,10715715.0,0.7055441290140152,1e-05
69,480.247720841,0.15005359056806003,1765916597.8191578,70,1.267066478729248,0.07549267262220383,10880059.0,0.7088213562965393,1e-05
70,485.756654024,0.15219721329046088,1765916603.328082,71,1.2623794078826904,0.07908113300800323,11036249.0,0.7102204859256744,1e-05
71,492.214805757,0.15434083601286175,1765916609.7862484,72,1.2835464477539062,0.07981789857149124,11186751.0,0.705107793211937,1e-05
72,499.149976135,0.1564844587352626,1765916616.721388,73,1.2562904357910156,0.07102182507514954,11356082.0,0.709175318479538,1e-05
73,506.15779476,0.15862808145766344,1765916623.7292147,74,1.2596091032028198,0.0788816586136818,11514483.0,0.7114423364400864,1e-05
74,512.339464592,0.1607717041800643,1765916629.910874,75,1.2601830959320068,0.08009614050388336,11663606.0,0.7103659361600876,1e-05
75,518.593642852,0.16291532690246516,1765916636.1650639,76,1.241455316543579,0.08345494419336319,11816781.0,0.7154035270214081,1e-05
76,524.85324604,0.16505894962486603,1765916642.4246905,77,1.2321224212646484,0.07595755159854889,11978438.0,0.718223974108696,1e-05
77,531.552743399,0.16720257234726688,1765916649.124178,78,1.1956193447113037,0.08030171692371368,12137976.0,0.7261300384998322,1e-05
78,538.364612501,0.16934619506966775,1765916655.9360266,79,1.2195889949798584,0.07733830064535141,12295505.0,0.723721370100975,1e-05
79,545.22595719,0.1714898177920686,1765916662.7973506,80,1.225642204284668,0.07897579669952393,12452019.0,0.71945521235466,1e-05
80,553.125320747,0.17363344051446947,1765916670.6967652,81,1.2229560613632202,0.07657895237207413,12611435.0,0.7184717804193497,1e-05
81,560.564321219,0.1757770632368703,1765916678.1357687,82,1.1413958072662354,0.07634302973747253,12770621.0,0.739236369729042,1e-05
82,566.470981056,0.17792068595927116,1765916684.0424054,83,1.19474458694458,0.08395683020353317,12917873.0,0.7287131249904633,1e-05
83,571.857558907,0.18006430868167203,1765916689.428977,84,1.188076138496399,0.08906585723161697,13056173.0,0.733007624745369,1e-05
84,578.224991062,0.18220793140407288,1765916695.7964077,85,1.2000641822814941,0.08086831867694855,13211326.0,0.723571166396141,1e-05
85,584.579641811,0.18435155412647375,1765916702.151065,86,1.1737935543060303,0.0818151980638504,13369675.0,0.7309885025024414,1e-05
86,590.54616629,0.1864951768488746,1765916708.117581,87,1.1544322967529297,0.09410206973552704,13509971.0,0.7351870983839035,1e-05
87,598.285425994,0.18863879957127547,1765916715.8568614,88,1.1346378326416016,0.07864116877317429,13673080.0,0.7392987310886383,1e-05
88,605.001942889,0.1907824222936763,1765916722.5733624,89,1.1650654077529907,0.0763603150844574,13838935.0,0.7274230569601059,1e-05
89,612.72850915,0.19292604501607716,1765916730.2999516,90,1.138176679611206,0.07818382978439331,14002150.0,0.7345180362462997,1e-05
90,619.696226437,0.19506966773847803,1765916737.2676482,91,1.1190787553787231,0.08302363753318787,14156247.0,0.7438292503356934,1e-05
91,627.206618902,0.19721329046087888,1765916744.7780411,92,1.0936274528503418,0.07774501293897629,14323035.0,0.7443735599517822,1e-05
92,634.824502353,0.19935691318327975,1765916752.3958979,93,1.1294262409210205,0.0790858045220375,14490759.0,0.738344669342041,1e-05
93,641.048883689,0.2015005359056806,1765916758.6203077,94,1.098201036453247,0.0855330303311348,14642384.0,0.7438967674970627,1e-05
94,646.720414445,0.20364415862808147,1765916764.2918298,95,1.0958374738693237,0.09022245556116104,14786158.0,0.7450216710567474,1e-05
95,652.577917801,0.2057877813504823,1765916770.1493595,96,1.0721943378448486,0.08909059315919876,14929253.0,0.7489578276872635,1e-05
