train/global_step,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/learning_rate,train/num_tokens,_step,train/epoch,train/grad_norm
1,0.6688115298748016,43.528577111,1765916603.1506317,1.670913815498352,0.0001,136605.0,0,0.0021436227224008574,0.127024307847023
2,0.665281355381012,80.863087644,1765916640.4853766,1.6214357614517212,0.0001,292128.0,1,0.004287245444801715,0.16035103797912598
3,0.6861129701137543,112.607293462,1765916672.229562,1.4836983680725098,0.0001,444535.0,2,0.006430868167202572,0.14734424650669098
4,0.6837480962276459,141.995462284,1765916701.617783,1.436396837234497,0.0001,592263.0,3,0.00857449088960343,0.11673226207494736
5,0.6988382339477539,171.306534721,1765916730.928833,1.339335560798645,0.0001,737019.0,4,0.010718113612004287,0.08482785522937775
6,0.7139585316181183,204.833830215,1765916764.4561033,1.245011568069458,0.0001,896813.0,5,0.012861736334405145,0.05766582116484642
7,0.7139500975608826,242.993692518,1765916802.6159894,1.239668369293213,0.0001,1062679.0,6,0.015005359056806002,0.058889348059892654
8,0.7201291024684906,276.171108037,1765916835.7933545,1.1975873708724976,0.0001,1212566.0,7,0.01714898177920686,0.07569669932126999
9,0.7414858043193817,316.792013981,1765916876.4143016,1.0798711776733398,0.0001,1373797.0,8,0.01929260450160772,0.09048649668693542
10,0.7337917983531952,352.083895628,1765916911.7062082,1.1021947860717773,0.0001,1516877.0,9,0.021436227224008574,0.2538353502750397
11,0.7587747573852539,384.278874162,1765916943.9011545,1.008859634399414,0.0001,1663977.0,10,0.023579849946409433,0.09878630936145782
12,0.7736576199531555,416.359932684,1765916975.982178,0.9226739406585693,0.0001,1815907.0,11,0.02572347266881029,0.11229341477155685
13,0.784892350435257,453.082318234,1765917012.7045872,0.8866734504699707,0.0001,1971911.0,12,0.027867095391211148,0.06194194406270981
14,0.778631865978241,489.457256956,1765917049.0795255,0.898820161819458,0.0001,2135596.0,13,0.030010718113612004,0.05763378366827965
15,0.7890302836894989,522.368906344,1765917081.9912028,0.8455026149749756,0.0001,2285621.0,14,0.03215434083601286,0.05878666788339615
16,0.7913227081298828,556.82882569,1765917116.451131,0.8394831418991089,0.0001,2441090.0,15,0.03429796355841372,0.03966381028294563
17,0.7980936765670776,590.500839498,1765917150.1230843,0.804905891418457,0.0001,2591858.0,16,0.03644158628081458,0.03488679602742195
18,0.7904472649097443,626.237242258,1765917185.8595543,0.8256485462188721,0.0001,2754012.0,17,0.03858520900321544,0.03267036750912666
