train/epoch,train/grad_norm,train/global_step,train/learning_rate,_step,_runtime,_timestamp,train/loss,train/num_tokens,train/mean_token_accuracy,eval/accuracy
0.0021436227224008574,0.09414581209421158,1.0,0.0001,0,10.350780375,1765916145.748781,1.6945645809173584,136605.0,0.6562617868185043,
0.004287245444801715,0.0969771295785904,2.0,0.0001,1,17.534786836,1765916152.932971,1.6894986629486084,292128.0,0.6475748270750046,
0.006430868167202572,0.123456671833992,3.0,0.0001,2,23.860764417,1765916159.2589812,1.615036964416504,444535.0,0.6646732240915298,
0.00857449088960343,0.14224673807621002,4.0,0.0001,3,30.303541089,1765916165.7017615,1.6394766569137573,592263.0,0.652624323964119,
0.010718113612004287,0.1408011019229889,5.0,0.0001,4,36.321815351,1765916171.7200112,1.5694855451583862,737019.0,0.6622198522090912,
0.012861736334405145,0.11766229569911957,6.0,0.0001,5,43.190144282,1765916178.5883658,1.4726516008377075,896813.0,0.6761387437582016,
0.015005359056806002,0.10731732845306396,7.0,0.0001,6,51.695025445,1765916187.093223,1.4618241786956787,1062679.0,0.6742519289255142,
0.01714898177920686,0.12511798739433289,8.0,0.0001,7,58.42360467,1765916193.8218224,1.4365620613098145,1212566.0,0.676615297794342,
0.01929260450160772,0.05787090212106705,9.0,0.0001,8,66.677045762,1765916202.0751944,1.3388954401016235,1373797.0,0.6927554160356522,
0.021436227224008574,0.07282678782939911,10.0,0.0001,9,73.235268839,1765916208.6334896,1.3629237413406372,1516877.0,0.6881072521209717,
0.023579849946409433,0.11676640808582306,11.0,0.0001,10,79.917521697,1765916215.3157275,1.3238162994384766,1663977.0,0.6966655999422073,
0.02572347266881029,0.08777503669261932,12.0,0.0001,11,86.222743088,1765916221.620949,1.2304762601852417,1815907.0,0.7181538939476013,
0.027867095391211148,0.09023784101009369,13.0,0.0001,12,93.447568319,1765916228.845777,1.1920702457427979,1971911.0,0.7249925434589386,
0.030010718113612004,0.07896161079406738,14.0,0.0001,13,100.667998873,1765916236.0661862,1.1841259002685547,2135596.0,0.7227530628442764,
0.03215434083601286,0.09137479960918427,15.0,0.0001,14,107.808845987,1765916243.2070434,1.1256277561187744,2285621.0,0.7364100366830826,
0.03429796355841372,0.08411869406700134,16.0,0.0001,15,115.480657607,1765916250.878854,1.0967204570770264,2441090.0,0.7426993399858475,
0.03644158628081458,0.07867800444364548,17.0,0.0001,16,122.19723888,1765916257.5954573,1.0356727838516235,2591858.0,0.7580824047327042,
0.03858520900321544,0.07534003257751465,18.0,0.0001,17,130.084467948,1765916265.4826684,1.0284886360168457,2754012.0,0.753482773900032,
0.04072883172561629,0.07862086594104767,19.0,0.0001,18,137.529826008,1765916272.9280176,1.0085123777389526,2916829.0,0.7597063481807709,
0.04287245444801715,0.07493540644645691,20.0,0.0001,19,144.054913503,1765916279.4531353,1.0228047370910645,3061305.0,0.7575106173753738,
0.04501607717041801,0.06362518668174744,21.0,0.0001,20,150.595346869,1765916285.9935632,0.9698128700256348,3219127.0,0.7656743377447128,
0.04715969989281887,0.05576030910015106,22.0,0.0001,21,157.7938713,1765916293.1920893,0.959969162940979,3380158.0,0.7680315226316452,
0.04930332261521972,0.0498550683259964,23.0,0.0001,22,164.42625247,1765916299.8244774,0.9496205449104309,3539898.0,0.7717964947223663,
0.05144694533762058,0.053249768912792206,24.0,0.0001,23,169.555983073,1765916304.954187,0.9297726154327393,3689574.0,0.7725605666637421,
0.05359056806002144,0.03973731771111488,25.0,0.0001,24,177.574203072,1765916312.9724298,0.9656298756599426,3855970.0,0.7646570801734924,
0.055734190782422297,0.03825686499476433,26.0,0.0001,25,184.408501427,1765916319.806685,0.9099304676055908,4018658.0,0.7766739577054977,
0.05787781350482315,0.03839082270860672,27.0,0.0001,26,191.355993964,1765916326.7541938,0.9847350716590881,4171160.0,0.7595071345567703,
0.06002143622722401,0.035133980214595795,28.0,0.0001,27,196.838765763,1765916332.2369695,0.8788066506385803,4314298.0,0.783215343952179,
0.06216505894962487,0.03299112990498543,29.0,0.0001,28,203.289338027,1765916338.6875594,0.9011735916137695,4468546.0,0.7777497470378876,
0.06430868167202572,0.03028261289000511,30.0,0.0001,29,210.707444966,1765916346.1056461,0.9538077116012573,4635984.0,0.7666681557893753,
0.06645230439442658,0.02773164212703705,31.0,0.0001,30,216.948504985,1765916352.3466995,0.8782692551612854,4790352.0,0.7836965024471283,
0.06859592711682744,0.02216428704559803,32.0,0.0001,31,224.301689188,1765916359.6998918,0.9303996562957764,4956096.0,0.770508885383606,
0.0707395498392283,0.022464245557785034,33.0,0.0001,32,230.212961382,1765916365.611174,0.8644282817840576,5107640.0,0.7855866700410843,
0.07288317256162916,0.022698935121297836,34.0,0.0001,33,236.904388162,1765916372.302609,0.8727515935897827,5265237.0,0.7832992076873779,
0.07502679528403002,0.023278426378965378,35.0,0.0001,34,243.388806325,1765916378.7870197,0.8612801432609558,5419378.0,0.7852157056331635,
0.07717041800643087,0.022401059046387672,36.0,0.0001,35,249.471120602,1765916384.8693206,0.8743494153022766,5576075.0,0.780192419886589,
0.07931404072883172,0.02240173891186714,37.0,0.0001,36,254.92103454,1765916390.3192644,0.8699653744697571,5720029.0,0.7853242456912994,
0.08145766345123258,0.01856314204633236,38.0,0.0001,37,262.324453773,1765916397.7226918,0.8857927918434143,5884915.0,0.7806624621152878,
0.08360128617363344,0.0191522017121315,39.0,0.0001,38,268.953846089,1765916404.3520088,0.8800060749053955,6032758.0,0.780040517449379,
