_runtime,_step,_timestamp,train/loss,train/epoch,train/num_tokens,train/grad_norm,train/global_step,train/learning_rate,train/mean_token_accuracy
9.632146132999999,0,1765916147.5326893,1.6945645809173584,0.0021436227224008574,136605.0,0.09374459832906723,1,0.001,0.6562617868185043
16.532953789,1,1765916154.4338226,1.4973307847976685,0.004287245444801715,292128.0,0.14733032882213593,2,0.001,0.6702926605939865
22.812223196,2,1765916160.7131371,1.3256285190582275,0.006430868167202572,444535.0,0.11531389504671097,3,0.001,0.7021141052246094
29.209976815,3,1765916167.11074,1.1714086532592773,0.00857449088960343,592263.0,0.0677032321691513,4,0.001,0.7274030297994614
35.152358986,4,1765916173.053199,1.0231449604034424,0.010718113612004287,737019.0,0.1659282147884369,5,0.001,0.7491272836923599
41.887673735,5,1765916179.7885075,0.9732836484909058,0.012861736334405145,896813.0,0.04921293631196022,6,0.001,0.7691443264484406
50.101317995,6,1765916188.0021203,0.9932776689529419,0.015005359056806002,1062679.0,0.04319968447089195,7,0.001,0.7600241154432297
56.849722591,7,1765916194.7505376,0.9301682710647583,0.01714898177920686,1212566.0,0.032549403607845306,8,0.001,0.7715477794408798
64.925320774,8,1765916202.826129,0.8883450031280518,0.01929260450160772,1373797.0,0.02309536375105381,9,0.001,0.779414638876915
71.476563193,9,1765916209.3774018,0.8883880972862244,0.021436227224008574,1516877.0,0.0264838095754385,10,0.001,0.7811610996723175
78.049283075,10,1765916215.9501162,0.8952856063842773,0.023579849946409433,1663977.0,0.022785065695643425,11,0.001,0.7776574045419693
84.197445788,11,1765916222.0982916,0.8504022359848022,0.02572347266881029,1815907.0,0.023206643760204315,12,0.001,0.788554385304451
91.37942315,12,1765916229.2802613,0.857241153717041,0.027867095391211148,1971911.0,0.020145252346992493,13,0.001,0.7865215092897415
98.641328573,13,1765916236.542162,0.8980056643486023,0.030010718113612004,2135596.0,0.01404324546456337,14,0.001,0.7765346169471741
105.658412174,14,1765916243.5592575,0.8549423813819885,0.03215434083601286,2285621.0,0.026536058634519577,15,0.001,0.7846492528915405
113.320645155,15,1765916251.221469,0.8715422749519348,0.03429796355841372,2441090.0,0.014219325967133045,16,0.001,0.7817050963640213
120.01059628,16,1765916257.911465,0.833663821220398,0.03644158628081458,2591858.0,0.016035132110118866,17,0.001,0.7916021943092346
127.823959981,17,1765916265.7247946,0.8668279051780701,0.03858520900321544,2754012.0,0.021233655512332916,18,0.001,0.7804697155952454
135.131986801,18,1765916273.0328252,0.867066502571106,0.04072883172561629,2916829.0,0.011023163795471191,19,0.001,0.7822429835796356
141.51827173,19,1765916279.4191346,0.8872794508934021,0.04287245444801715,3061305.0,0.030611857771873474,20,0.001,0.7779186367988586
148.014459186,20,1765916285.9152937,0.8571295738220215,0.04501607717041801,3219127.0,0.021592989563941956,21,0.001,0.7846006900072098
155.195751334,21,1765916293.0965755,0.8603376150131226,0.04715969989281887,3380158.0,0.020715858787298203,22,0.001,0.7827637642621994
161.72919607,22,1765916299.6300375,0.860680878162384,0.04930332261521972,3539898.0,0.025737084448337555,23,0.001,0.7850143164396286
166.829902841,23,1765916304.7307384,0.8432414531707764,0.05144694533762058,3689574.0,0.020156145095825195,24,0.001,0.7861300855875015
174.783402597,24,1765916312.6842086,0.8890606164932251,0.05359056806002144,3855970.0,0.015523497946560383,25,0.001,0.7765973508358002
181.665257358,25,1765916319.566057,0.8371695280075073,0.055734190782422297,4018658.0,0.012382933869957924,26,0.001,0.7888009995222092
188.561784562,26,1765916326.4625897,0.9136395454406738,0.05787781350482315,4171160.0,0.010770877823233604,27,0.001,0.7704068720340729
194.01550422,27,1765916331.9163253,0.8100255727767944,0.06002143622722401,4314298.0,0.018367525190114975,28,0.001,0.7946912944316864
200.401559911,28,1765916338.3024213,0.8380091190338135,0.06216505894962487,4468546.0,0.016506625339388847,29,0.001,0.7875648140907288
207.830958111,29,1765916345.731769,0.8982781171798706,0.06430868167202572,4635984.0,0.011618245393037796,30,0.001,0.7757633030414581
213.969063603,30,1765916351.869895,0.8233738541603088,0.06645230439442658,4790352.0,0.010246263816952705,31,0.001,0.7925932854413986
221.311049457,31,1765916359.2119045,0.8783766031265259,0.06859592711682744,4956096.0,0.011874700896441936,32,0.001,0.7798485159873962
227.294056971,32,1765916365.1948879,0.8142980337142944,0.0707395498392283,5107640.0,0.016852527856826782,33,0.001,0.7938408106565475
233.978850326,33,1765916371.8796868,0.8236312866210938,0.07288317256162916,5265237.0,0.018557313829660416,34,0.001,0.7915681749582291
240.47998384,34,1765916378.3807487,0.8106393814086914,0.07502679528403002,5419378.0,0.029113179072737694,35,0.001,0.7946055680513382
246.546282912,35,1765916384.4470382,0.8276893496513367,0.07717041800643087,5576075.0,0.04268413037061691,36,0.001,0.7889691293239594
251.979518253,36,1765916389.8802798,0.8206684589385986,0.07931404072883172,5720029.0,0.04113186150789261,37,0.001,0.7927448451519012
259.272521139,37,1765916397.1733468,0.842501163482666,0.08145766345123258,5884915.0,0.02837405540049076,38,0.001,0.7875415831804276
265.847566227,38,1765916403.748376,0.8347764015197754,0.08360128617363344,6032758.0,0.009642666205763817,39,0.001,0.7881466299295425
272.239362047,39,1765916410.140064,0.8435401916503906,0.0857449088960343,6187550.0,0.04260155186057091,40,0.001,0.7872211337089539
280.157548029,40,1765916418.0582082,0.8589593172073364,0.08788853161843516,6355408.0,0.04452599212527275,41,0.001,0.7816621214151382
287.342109287,41,1765916425.2428956,0.853461503982544,0.09003215434083602,6519771.0,0.012337836436927319,42,0.001,0.783875435590744
