_step,train/mean_token_accuracy,_timestamp,train/epoch,train/num_tokens,train/global_step,train/grad_norm,_runtime,train/loss,train/learning_rate,eval/accuracy
0,0.6562617868185043,1765916128.5732849,0.0021436227224008574,136605.0,1.0,1.5428335666656494,9.609469638,1.6945645809173584,1e-05,
1,0.646361455321312,1765916135.436606,0.004287245444801715,292128.0,2.0,1.4169929027557373,16.472492955,1.700758695602417,1e-05,
2,0.6621782928705215,1765916141.5529504,0.006430868167202572,444535.0,3.0,1.437568187713623,22.588811548,1.6487972736358643,1e-05,
3,0.6473090946674347,1765916147.8791428,0.00857449088960343,592263.0,4.0,1.5286637544631958,28.915049484,1.7167003154754639,1e-05,
4,0.6534453928470612,1765916153.7803385,0.010718113612004287,737019.0,5.0,1.532759189605713,34.816235596,1.6947287321090698,1e-05,
5,0.660611093044281,1765916160.414748,0.012861736334405145,896813.0,6.0,1.4867662191390991,41.450561001,1.6439218521118164,1e-05,
6,0.65281181037426,1765916168.5189924,0.015005359056806002,1062679.0,7.0,1.4480377435684204,49.554833084,1.6698893308639526,1e-05,
7,0.6452201008796692,1765916175.1175926,0.01714898177920686,1212566.0,8.0,1.6089701652526855,56.153421847,1.7100448608398438,1e-05,
8,0.6609753668308258,1765916183.1117384,0.01929260450160772,1373797.0,9.0,1.5170493125915527,64.147576122,1.624680757522583,1e-05,
9,0.6478139907121658,1765916189.5253105,0.021436227224008574,1516877.0,10.0,1.7096383571624756,70.561264198,1.718904733657837,1e-05,
10,0.6471574753522873,1765916195.961663,0.023579849946409433,1663977.0,11.0,1.733758568763733,76.997568437,1.7043671607971191,1e-05,
11,0.6621622145175934,1765916202.0525956,0.02572347266881029,1815907.0,12.0,1.7230703830718994,83.088418719,1.6387972831726074,1e-05,
12,0.6623976230621338,1765916209.0971456,0.027867095391211148,1971911.0,13.0,1.7324819564819336,90.132966417,1.6246205568313599,1e-05,
13,0.6583301723003387,1765916216.1982565,0.030010718113612004,2135596.0,14.0,1.7004873752593994,97.23408761,1.632692813873291,1e-05,
14,0.6548910290002823,1765916223.1953983,0.03215434083601286,2285621.0,15.0,1.8391995429992676,104.231227316,1.650193691253662,1e-05,
15,0.6578623801469803,1765916230.6389692,0.03429796355841372,2441090.0,16.0,1.7889728546142578,111.674801098,1.6349296569824219,1e-05,
16,0.662684753537178,1765916237.2204018,0.03644158628081458,2591858.0,17.0,1.8813207149505615,118.256221606,1.6257456541061401,1e-05,
17,0.6590525954961777,1765916244.9246476,0.03858520900321544,2754012.0,18.0,1.8181740045547485,125.960480769,1.5991963148117065,1e-05,
18,0.6617755889892578,1765916252.160293,0.04072883172561629,2916829.0,19.0,1.8118752241134644,133.196112252,1.5944722890853882,1e-05,
19,0.643733873963356,1765916258.4636443,0.04287245444801715,3061305.0,20.0,2.0843639373779297,139.499468658,1.698181390762329,1e-05,
20,0.6597913652658463,1765916264.8431048,0.04501607717041801,3219127.0,21.0,1.943263053894043,145.878932899,1.6026670932769775,1e-05,
21,0.6623035967350006,1765916271.913743,0.04715969989281887,3380158.0,22.0,1.9237782955169678,152.949569494,1.5878949165344238,1e-05,
22,0.6634193509817123,1765916278.3450015,0.04930332261521972,3539898.0,23.0,1.9200912714004517,159.380814952,1.5855181217193604,1e-05,
23,0.656830295920372,1765916283.3559217,0.05144694533762058,3689574.0,24.0,2.032146692276001,164.391717753,1.6129695177078247,1e-05,
24,0.6593383252620697,1765916291.1826153,0.05359056806002144,3855970.0,25.0,1.8648408651351929,172.218454449,1.5827982425689697,1e-05,
25,0.668565422296524,1765916297.9349768,0.055734190782422297,4018658.0,26.0,1.8462536334991455,178.97080894,1.5400409698486328,1e-05,
26,0.6460082679986954,1765916304.792481,0.05787781350482315,4171160.0,27.0,2.000882148742676,185.828308425,1.6497032642364502,1e-05,
27,0.6610649675130844,1765916310.172632,0.06002143622722401,4314298.0,28.0,2.084416389465332,191.208439765,1.5866162776947021,1e-05,
28,0.6612779200077057,1765916316.479051,0.06216505894962487,4468546.0,29.0,1.9495352506637573,197.514878945,1.5567796230316162,1e-05,
29,0.6615156084299088,1765916323.8017669,0.06430868167202572,4635984.0,30.0,1.8001731634140015,204.837583163,1.5487338304519653,1e-05,
30,0.669100821018219,1765916329.8032253,0.06645230439442658,4790352.0,31.0,1.9116075038909912,210.839051617,1.5246670246124268,1e-05,
31,0.6650071442127228,1765916337.0725274,0.06859592711682744,4956096.0,32.0,1.7907902002334595,218.108343113,1.5265069007873535,1e-05,
32,0.668320894241333,1765916342.9154937,0.0707395498392283,5107640.0,33.0,1.935430645942688,223.951316862,1.5133056640625,1e-05,
33,0.6727905422449112,1765916349.5753963,0.07288317256162916,5265237.0,34.0,1.8311048746109009,230.611188635,1.4866430759429932,1e-05,
34,0.6736827939748764,1765916355.952808,0.07502679528403002,5419378.0,35.0,1.8470841646194458,236.988635695,1.4845151901245117,1e-05,
35,0.6711325645446777,1765916361.9374235,0.07717041800643087,5576075.0,36.0,1.8275954723358154,242.973255866,1.4834063053131104,1e-05,
36,0.6653898060321808,1765916367.2668622,0.07931404072883172,5720029.0,37.0,1.9995075464248657,248.302691568,1.5322151184082031,1e-05,
37,0.6762924641370773,1765916374.5056443,0.08145766345123258,5884915.0,38.0,1.7527949810028076,255.541440809,1.4576783180236816,1e-05,
